year,un_DET étroit_ADJ,un_DET etroit_ADJ,un_DET détroit_NOUN
1800,2.7354229814591235e-07,0.0,6.47697856237528e-07
1801,3.5003383880294336e-07,4.7623651688866175e-09,4.2623168994282423e-07
1802,3.3791386044867977e-07,0.0,7.787683671267587e-07
1803,2.945012340660469e-07,0.0,6.221582218302046e-07
1804,3.5594652691983697e-07,2.4718509461507665e-09,1.260644012290868e-06
1805,3.809456075032358e-07,0.0,5.714183961558206e-07
1806,3.1410192136149817e-07,0.0,4.120786911698815e-07
1807,2.733076955863112e-07,0.0,6.775753433885257e-07
1808,4.1015940155375574e-07,0.0,7.591347750413036e-07
1809,4.5858318942215703e-07,2.259030518203531e-09,5.512034615406947e-07
1810,4.750457218705151e-07,2.3401267590372754e-09,5.826915350226614e-07
1811,3.585119721094543e-07,0.0,5.640922715599572e-07
1812,2.800568679184323e-07,0.0,7.57487160107928e-07
1813,4.5436718676405974e-07,0.0,7.074324201994386e-07
1814,4.059213551954599e-07,1.5733386149463513e-08,3.461344864064131e-07
1815,2.1308066777692147e-07,0.0,4.5852799779311226e-07
1816,2.804300791581227e-07,0.0,5.56224915015946e-07
1817,3.0514719961960424e-07,3.113746815941454e-09,2.895784669831869e-07
1818,3.5763532135746345e-07,0.0,4.7207863751452805e-07
1819,3.426197429101663e-07,1.035105001712111e-09,4.3991963250000765e-07
1820,3.073418497478997e-07,1.1866481131050932e-09,6.241768808479264e-07
1821,4.112240610254503e-07,0.0,4.526422991979473e-07
1822,3.138017916626268e-07,1.0025615893027862e-09,4.4513734565043706e-07
1823,3.290934627031561e-07,0.0,3.7060075364081513e-07
1824,3.949501756750351e-07,8.421112696055388e-10,4.901087704567431e-07
1825,4.851799360050535e-07,8.805443041381977e-10,4.7637448119530745e-07
1826,5.681150043734817e-07,0.0,4.66823168565611e-07
1827,4.544115483895439e-07,0.0,3.7882992298676754e-07
1828,4.842974778984654e-07,9.172301251858528e-10,5.430002496531472e-07
1829,5.966930309853069e-07,2.571952872898464e-09,4.363746537450197e-07
1830,6.397780643041528e-07,1.0436835840010872e-09,4.09123956046642e-07
1831,8.200974406236128e-07,1.5591206103948707e-09,4.989185926618234e-07
1832,8.550940546747654e-07,1.3529969367098715e-09,2.462454544716053e-07
1833,1.12940377761106e-06,3.4750886612755494e-09,7.737863789714083e-07
1834,8.783793399302908e-07,0.0,4.1818698726103776e-07
1835,8.81099772698235e-07,0.0,4.976511860377286e-07
