year,ton_DET art_NOUN,ton_DET dard_NOUN
1800,2.924072983745418e-07,0.0
1801,3.166972817325586e-07,0.0
1802,1.2755688771903806e-07,1.5664880947952042e-08
1803,2.2038833602522345e-07,0.0
1804,3.930243153149604e-07,0.0
1805,2.4448748425776046e-07,8.24434565060983e-08
1806,5.042921031872538e-07,8.645007376628655e-09
1807,1.6797034518845066e-07,2.8469551160981155e-09
1808,4.328201370640272e-07,5.891792298484688e-08
1809,2.7560172810581207e-07,0.0
1810,3.299578850146645e-07,0.0
1811,3.68540277406737e-07,0.0
1812,8.268345208506389e-08,2.6672082320544632e-09
1813,3.795978926746102e-07,2.8757416448144113e-09
1814,2.2341407124315538e-07,0.0
1815,7.552225866902518e-08,1.8880564667256294e-08
1816,7.879853569647821e-08,2.3176038865813098e-09
1817,2.0706415870819228e-07,0.0
1818,1.5497531258290564e-07,0.0
1819,1.9977526655168276e-07,2.070210003424222e-09
1820,2.741157132390981e-07,1.542642635854463e-08
1821,1.863821275094324e-07,0.0
1822,2.2156611123591574e-07,2.0051231786055723e-09
1823,1.6009952830131624e-07,1.3835761869529506e-08
1824,2.2905426000363605e-07,5.726356633317664e-08
1825,2.3334424592569292e-07,7.044354433105582e-09
1826,1.770404884915422e-07,0.0
1827,1.1890282447524214e-07,1.1982455028203276e-08
1828,1.164882235116238e-07,5.503380751115117e-09
1829,1.3888545602469549e-07,8.57317605795771e-10
1830,1.3463518122591722e-07,3.1310507520032616e-09
1831,1.07579318786577e-07,1.5591206103948707e-09
1832,1.5965364452696917e-07,4.058990921151917e-09
1833,2.0039677350869312e-07,6.950177322551099e-09
1834,1.3721760616647316e-07,1.3068342852307069e-08
1835,1.3084142125308063e-07,3.781543966852041e-09
1836,1.801161051417921e-07,8.736974699274924e-09
1837,1.287209822065094e-07,8.349468672008697e-09
1838,1.6032891592132614e-07,8.837027110075724e-09
1839,9.088917840571753e-08,4.894032734625853e-09
1840,1.1656529996795228e-07,3.1848443882154243e-09
1841,1.8619590314017387e-07,1.1556987367100646e-08
1842,1.093447177247242e-07,2.817471411731276e-08
1843,1.264079002583074e-07,2.953455480181333e-09
1844,1.1141779476808722e-07,1.6465684371524958e-09
1845,1.2611314748056657e-07,5.022205318283568e-09
1846,9.191566885391467e-08,4.0981511517657054e-09
1847,5.878613684728862e-08,6.47186837454683e-09
1848,4.746680815070903e-08,1.6090443422100975e-09
1849,1.0139092232464009e-07,1.8434713311421547e-08
1850,1.3238541907156787e-07,6.788996032014438e-09
1851,9.222697094912746e-08,5.159551008659946e-09
1852,9.244974674693651e-08,5.859490670445666e-09
1853,7.524634249023165e-08,5.971931837933653e-09
1854,9.404152412351152e-08,2.0782658372020535e-09
1855,1.0348527368364557e-07,1.1144567935161831e-08
1856,5.798452090699513e-08,5.177189066341015e-09
1857,1.4742157805613942e-07,1.025116885822186e-08
1858,1.0668213468179033e-07,2.4468380654951716e-09
1859,1.2730433596175317e-07,3.055304009791371e-09
1860,9.291683156220643e-08,4.119465657481669e-09
1861,1.0799556859897308e-07,2.357981809808507e-09
1862,9.894390110010143e-08,8.584174260306554e-09
1863,1.0139080242055343e-07,4.495158911765884e-09
1864,1.2274503613518561e-07,2.8768367688059016e-09
1865,7.436814275507686e-08,1.882737743486018e-09
1866,9.098696462928046e-08,1.0217787504984699e-08
1867,5.7263173758315133e-08,4.367530337390235e-09
