year,son_DET oeil_NOUN,son_DET deuil_NOUN
1800,5.093546420198436e-07,4.559038586648967e-07
1801,2.97647822833369e-07,2.9764782993879635e-07
1802,2.953948978756671e-07,5.303681120949477e-07
1803,5.070881883284528e-07,3.081535868698637e-07
1804,2.6943175757132565e-07,7.020056695949961e-07
1805,5.117179853186826e-07,5.259323856421361e-07
1806,2.42060210098316e-07,6.743105469553257e-07
1807,1.3095993800504857e-07,2.6761377558415234e-07
1808,3.2404858929524494e-07,4.668112509875755e-07
1809,1.626501919815837e-07,2.620475276771117e-07
1810,2.7613495579004166e-07,5.171680257376465e-07
1811,1.2535383930867283e-07,4.1617474266786303e-07
1812,1.5736528169441044e-07,4.160844766509797e-07
1813,1.811717276201108e-07,5.722725902046477e-07
1814,1.9194730249694203e-07,3.650145377065428e-07
1815,1.2137505756015798e-07,3.3715294289748954e-07
1816,1.4832664874120383e-07,2.781124770478982e-07
1817,1.1520863552050287e-07,3.2538654370917186e-07
1818,1.8120190148351867e-07,3.7074860625985195e-07
1819,1.2835301888003414e-07,4.740780843448533e-07
1820,1.6494408328071586e-07,4.3787316617027727e-07
1821,2.573848502107623e-07,3.0077538859529795e-07
1822,1.373509377344817e-07,4.341091539572517e-07
1823,1.4725203600907122e-07,3.9728401723948537e-07
1824,1.776854690049845e-07,4.244240727757642e-07
1825,2.1397227101260796e-07,5.943673784258863e-07
1826,1.330005634514464e-07,5.557837958747314e-07
1827,9.678136692059525e-08,4.516463700809936e-07
1828,1.27494987567367e-07,2.7516902889601624e-07
1829,1.0716469828198072e-07,4.192282982984352e-07
1830,1.335915051914327e-07,2.7657615220277876e-07
1831,1.9956744168325713e-07,2.7752348152887407e-07
1832,2.435394534927582e-07,4.38371000388571e-07
1833,2.3630601475588264e-07,4.980960022216152e-07
1834,1.7082192016459885e-07,4.807283353613911e-07
1835,1.4369867784580492e-07,3.3353219208720475e-07
1836,1.5793762631055586e-07,3.9114765293390974e-07
1837,1.245462457610813e-07,3.2075878486637066e-07
1838,1.1172526725999887e-07,4.525820020973015e-07
1839,9.927895039396617e-08,3.3139593469400097e-07
1840,9.618229768193487e-08,4.1339278755714304e-07
1841,1.2584274911020543e-07,4.160515416629096e-07
1842,9.324488692286081e-08,4.045083898951418e-07
1843,8.033399145901399e-08,4.1348377388672475e-07
1844,1.1855292225693148e-07,4.138375269135963e-07
1845,9.263178624152602e-08,3.632728411417929e-07
1846,1.0011197049131226e-07,3.9517885319639845e-07
1847,9.815667034729358e-08,4.0179515359284323e-07
1848,8.930195910528127e-08,3.274405147024595e-07
1849,7.038708327300469e-08,4.3153987938637783e-07
1850,8.146795504870852e-08,3.8697278625932086e-07
1851,5.868989205737307e-08,3.1344273487832197e-07
1852,7.422021819358804e-08,4.043048704716057e-07
1853,6.569125021727018e-08,4.138548757026683e-07
1854,7.273930047180244e-08,4.3279884387459333e-07
1855,8.703376863650192e-08,5.126501463337263e-07
1856,6.626802279141586e-08,4.845849250756373e-07
1857,7.127003320839265e-08,5.057243690487212e-07
1858,7.585197792092657e-08,5.001336909060683e-07
1859,7.027199333542455e-08,5.845814965432794e-07
1860,6.774232219619591e-08,6.018997025236672e-07
1861,5.423358162559566e-08,4.848010757285692e-07
1862,7.680576985524823e-08,5.674590859428008e-07
1863,7.54187763352121e-08,4.6350082616442023e-07
1864,6.616724723684797e-08,5.154332365364667e-07
1865,5.8835554761493825e-08,5.812952963424323e-07
1866,8.806759499435657e-08,5.449486391029268e-07
1867,7.570385918143074e-08,4.5422315864129814e-07
1868,8.101393378368016e-08,5.11770950950563e-07
1869,8.253147676384742e-08,5.396288873527055e-07
1870,7.454263606376799e-08,5.131973761507425e-07
1871,7.328612561252612e-08,4.2378496334372073e-07
1872,9.312902315983251e-08,5.702641203697567e-07
1873,8.260685979699645e-08,4.2201330785474056e-07
1874,7.348769193171734e-08,5.281554376068698e-07
