year,aucun_DET essai_NOUN,aucun_DET décès_NOUN
1800,1.3519906971737328e-07,0.0
1801,1.4287095595477695e-07,0.0
1802,1.0741632650024258e-07,2.2378401354217203e-09
1803,4.290746380419819e-08,0.0
1804,6.921182982289054e-08,7.4155526164076946e-09
1805,5.970043304159844e-08,5.685755422035754e-09
1806,1.3543845511776453e-07,0.0
1807,1.9928686256776018e-08,0.0
1808,4.985362878073829e-08,0.0
1809,5.421673421324158e-08,4.518061036407062e-09
1810,5.8503168531842675e-08,2.3401267590372754e-09
1811,6.016983888912364e-08,2.5070767684098882e-09
1812,1.1202274663446588e-07,5.3344164641089264e-09
1813,1.0352670187785407e-07,5.751483289628823e-09
1814,2.5173416684509675e-08,0.0
1815,8.90083740046066e-08,2.697223555614414e-09
1816,1.1356259221884102e-07,0.0
1817,2.9580593974287694e-08,1.556873407970727e-09
1818,7.629553522292554e-08,0.0
1819,4.45095160728215e-08,0.0
1820,5.458581497919113e-08,0.0
1821,5.226588939422072e-08,9.86148829262845e-10
1822,2.0051231786055723e-08,6.015369535816717e-09
1823,2.174191138237802e-08,1.9765373782121287e-09
1824,2.7789671008804362e-08,2.5263338088166165e-09
1825,3.6102318246022946e-08,1.7610886082763955e-09
1826,5.637109878886548e-08,1.7615968683770689e-09
1827,7.926854905804248e-08,0.0
1828,3.393751413227619e-08,3.668920500743411e-09
1829,6.772809318933426e-08,1.714635211591542e-09
1830,8.349468938462223e-08,2.0873671680021744e-09
1831,1.4655733782120706e-07,6.236482441579483e-09
1832,1.0012177398266431e-07,9.470978667991403e-09
1833,9.266903155946693e-08,3.4750886612755494e-09
1834,5.694063887062839e-08,9.334531148041947e-09
1835,6.882410019670715e-08,3.7059130875150004e-08
1836,4.1668651196147266e-08,8.736974699274924e-09
1837,6.957890619219143e-08,1.461157062010443e-08
1838,6.312161815458239e-08,4.418513332993257e-09
1839,5.0338619494993964e-08,1.0487212875887053e-08
1840,7.962110526449351e-08,1.592422194107712e-08
