year,en_ADP eau_NOUN,en_ADP do_NOUN
1800,3.1787503758096136e-06,1.5720822421627645e-08
1801,2.576439555923571e-06,2.8574191901498125e-08
1802,1.4859258499200223e-06,6.713520406265161e-09
1803,2.201932985057553e-06,2.7304748240197796e-08
1804,3.030489324373775e-06,4.449331747480301e-08
1805,2.771805839074659e-06,8.528633133053631e-09
1806,1.8154515828427975e-06,1.729001475325731e-08
1807,1.3608445215140819e-06,1.7081731584767113e-08
1808,1.4004336890138802e-06,3.852325747288887e-08
1809,2.3855361632740824e-06,4.518061036407062e-09
1810,1.8884823020925978e-06,1.1700633351097167e-08
1811,1.5669229469494894e-06,7.521230305229665e-09
1812,1.2935960285176407e-06,1.8670456736202823e-08
1813,4.155446731601842e-06,5.751483289628823e-09
1814,1.2838443126383936e-06,6.293354282149721e-09
1815,1.4484090797850513e-06,5.394447111228828e-09
1816,2.1762300548289204e-06,2.3176038865813098e-09
1817,1.3918448757976876e-06,2.4909973861397816e-08
1818,1.5902850138971303e-06,1.0729059640723904e-08
1819,1.3725492635785486e-06,1.7803805896221547e-07
1820,9.97971028482425e-07,1.1866481131050932e-08
1821,1.6942037053269132e-06,8.875339574387908e-09
1822,1.7294187273364514e-06,2.7069162911175226e-08
1823,1.5199573006885458e-06,2.273017940535027e-08
1824,1.6134852103277808e-06,1.2631669044083083e-08
1825,9.906123521474797e-07,1.0566531871702978e-08
1826,1.0745741292339517e-06,9.688782776073879e-09
1827,1.295948550250614e-06,1.5669363973014327e-08
1828,1.5776357807917307e-06,1.46756822805294e-08
1829,1.1325165587550146e-06,1.3717081359665428e-08
1830,1.4121038334202751e-06,1.5655253982060913e-08
1831,1.3642305702887825e-06,4.677361609140007e-09
1832,1.2853470745533002e-06,8.117981731281532e-09
1833,1.4502702546659307e-06,2.3167257112710615e-08
1834,1.1350789714814624e-06,5.600718555598405e-09
1835,1.5663155323863975e-06,1.1344631900556124e-08
1836,1.5007434512881446e-06,1.008112526790228e-08
1837,1.0840394311095736e-06,5.566312633042969e-09
1838,1.4972448525440996e-06,2.019891809368346e-08
1839,1.4038881772648892e-06,2.237272089811171e-08
1840,1.4242623365134932e-06,1.7835128651721988e-08
1841,1.6276090946121258e-06,1.0272877215555809e-08
1842,1.3577528821251406e-06,2.1466447286400125e-08
1843,1.7366319041145495e-06,1.1223130924609137e-08
1844,1.482460447732592e-06,1.427025975164753e-08
1845,1.506103540216408e-06,1.2834524554250493e-08
1846,1.391614934398433e-06,7.610851726624901e-09
1847,1.3439913750801225e-06,1.4022381478184798e-08
1848,1.6235256907748408e-06,2.8158275988676706e-08
1849,1.2527224966252248e-06,2.3462361831150247e-08
1850,1.2641111135636152e-06,1.8330289286438983e-08
1851,1.2840832823712844e-06,2.4507867735223954e-08
1852,9.987177236325806e-07,1.4323199737376058e-08
1853,1.5377724897902567e-06,2.26933418723263e-08
1854,1.4958318388380576e-06,1.714569292099455e-08
1855,1.4493245217295225e-06,1.963566731433275e-08
1856,1.6701612384206754e-06,5.021873705768343e-08
1857,1.3028747867793733e-06,2.0502338993200198e-08
1858,1.2777388309626048e-06,9.983098997468076e-08
1859,1.353499639922262e-06,9.165911807329508e-09
1860,1.8111916695318087e-06,8.69664942837467e-09
1861,1.883084323139883e-06,1.131831339762357e-08
1862,1.8085498547648626e-06,2.1234536407011007e-08
1863,1.7695941867401643e-06,2.747041433215358e-08
1864,1.517531341921341e-06,3.883729582376816e-08
1865,1.7208223508369258e-06,4.8951181885747985e-08
1866,1.852338885832694e-06,2.481462618719732e-08
1867,1.6955722994538291e-06,1.2132028714972876e-08
1868,2.0530117073036536e-06,1.9759496039384317e-08
1869,1.8576907141465426e-06,1.7580668698613522e-08
1870,2.1290523042338805e-06,1.834895657637503e-08
1871,2.2368199523725707e-06,1.593176635061866e-08
1872,1.9557096111455508e-06,3.084143029852271e-08
1873,2.254329380946274e-06,1.7359412962658638e-08
1874,2.2464530360366552e-06,3.226288874946803e-08
1875,1.9190002786828586e-06,1.7164581478379404e-08
1876,2.4728200003210077e-06,2.2974855351520773e-08
1877,2.013776033038539e-06,2.9068635831741574e-08
1878,2.335919546680998e-06,3.019544247973016e-08
1879,2.146816937553808e-06,1.4051448449237114e-08
1880,2.432363761073475e-06,3.5298153511220676e-08
1881,2.5191669088542312e-06,2.5101027534280007e-08
1882,2.059841768264903e-06,2.928369391419494e-08
1883,2.4588548654946862e-06,1.7062215307284134e-08
1884,2.280226148343445e-06,1.7164411225678577e-08
