year,ton_DET épi_NOUN,ton_DET dépit_NOUN
1800,0.0,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,0.0,8.951360541686881e-09
1803,0.0,4.095712458074274e-08
1804,0.0,4.69651695311768e-08
1805,0.0,2.2743021688143017e-08
1806,2.881669125542885e-09,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,2.2660739951163578e-09
1809,0.0,1.581321384946932e-08
1810,0.0,1.8721014072298203e-08
1811,0.0,5.0141535368197765e-09
1812,0.0,2.6672082320544632e-09
1813,0.0,1.1502966579257645e-08
1814,0.0,1.2586708564299443e-08
1815,0.0,1.3486118000116676e-08
1816,0.0,1.622322720606917e-08
1817,0.0,4.0478707497015876e-08
1818,0.0,7.152706427149269e-09
1819,0.0,4.140420006848444e-09
1820,1.1866481131050932e-09,2.0173018810965004e-08
1821,0.0,7.88919063410276e-09
1822,0.0,1.2030739071633434e-08
1823,0.0,3.9530747564242574e-09
1824,0.0,1.8526447931321854e-08
1825,0.0,2.289415190759314e-08
1826,0.0,5.284790383086602e-09
1827,0.0,7.373818444733615e-09
1828,0.0,6.420610709767516e-09
1829,0.0,1.714635211591542e-09
1830,0.0,2.1917355041978226e-08
1831,0.0,1.091384405071949e-08
1832,0.0,6.764984572527055e-09
1833,0.0,1.1583628500844156e-09
1834,0.0,3.733812370398937e-09
1835,0.0,7.563087933704082e-10
1836,0.0,8.064899859050456e-09
1837,0.0,2.0873671680021744e-09
1838,6.312161904276081e-10,1.009945904684173e-08
1839,0.0,2.0974426639952526e-09
1840,0.0,8.280594876453051e-09
1841,0.0,6.420548537278137e-09
1842,0.0,2.0124794275488966e-08
1843,0.0,2.953455480181333e-09
1844,0.0,4.9397050894128824e-09
1845,0.0,3.9061593959388574e-09
1846,0.0,5.854501328173001e-09
1847,3.235934187273415e-09,4.853901280910122e-09
1848,0.0,2.413566457803995e-09
1849,1.6758829879393033e-09,2.513824481908955e-09
1850,2.0366988096043315e-09,2.0366988096043315e-09
1851,0.0,4.514607354622058e-09
