year,bien_ADV étendre_VERB,bien_ADV détendre_VERB
1800,5.973912209356058e-08,0.0
1801,7.143547975374531e-08,0.0
1802,3.5805442166747525e-08,0.0
1803,2.9255089017965474e-08,0.0
1804,5.9324420931261557e-08,2.4718509461507665e-09
1805,2.842877755426798e-08,0.0
1806,1.152667650217154e-08,0.0
1807,9.964342950752325e-08,0.0
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,3.162642769893864e-08,2.259030518203531e-09
1810,3.2761775514700275e-08,2.3401267590372754e-09
1811,2.5070767684098882e-09,0.0
1812,4.267533171287141e-08,0.0
1813,1.7254450312975678e-08,1.1502966579257645e-08
1814,3.776012391654149e-08,0.0
1815,7.282503844407984e-08,2.697223555614414e-09
1816,5.3304887615013286e-08,0.0
1817,6.383181272440197e-08,0.0
1818,1.9073883805731384e-08,0.0
1819,5.589566853814176e-08,1.035105001712111e-09
1820,4.034603762193001e-08,0.0
1821,2.2681422962023134e-08,0.0
1822,2.8071724500478012e-08,1.0025615893027862e-09
1823,3.854247765389118e-08,0.0
1824,2.6105450245950124e-08,0.0
1825,4.3146670236637874e-08,8.805443041381977e-10
1826,2.554315514657901e-08,0.0
1827,6.820781806027298e-08,0.0
1828,5.961995697134626e-08,9.172301251858528e-10
1829,4.200856196234781e-08,0.0
1830,3.757260813586072e-08,0.0
1831,2.8064171431196883e-08,1.5591206103948707e-09
1832,4.329590197471589e-08,0.0
1833,3.70676112027013e-08,1.1583628500844156e-09
1834,4.947301235347368e-08,0.0
1835,2.8739734148075513e-08,1.5126175867408165e-09
1836,3.1587525484155776e-08,0.0
1837,4.5922078584226256e-08,0.0
1838,3.471689069556305e-08,1.8936485712828244e-09
1839,5.663094881924735e-08,6.9914751765765e-10
1840,4.522479102320176e-08,6.369688665408546e-10
1841,2.118781061710706e-08,0.0
1842,4.22620693996123e-08,1.341653010911159e-09
1843,4.902736350231862e-08,0.0
1844,2.030767731753258e-08,0.0
1845,3.850357188639464e-08,0.0
1846,4.8006910446929396e-08,0.0
1847,4.2067142658197554e-08,5.393223645455691e-10
1848,2.574470947536156e-08,8.045221711050488e-10
1849,3.1841775438579134e-08,0.0
1850,2.9192683825840504e-08,0.0
1851,2.579775504329973e-08,1.2898877521649865e-09
1852,5.468858077506411e-08,6.510545436100301e-10
1853,2.508211416341055e-08,5.971931837933653e-10
1854,4.1045748133683446e-08,1.0391328908454511e-09
1855,3.6087172361476405e-08,5.306937111981824e-10
1856,3.4169449492083004e-08,5.177189232874468e-10
1857,2.9289054737091647e-08,9.763018171682347e-10
1858,3.866004050223637e-08,4.893676019968041e-10
1859,2.64793023063703e-08,1.018434669930457e-09
1860,3.61597543019343e-08,9.154367819341758e-10
1861,2.782418562219391e-08,0.0
1862,3.4336697041226216e-08,2.2589932147099034e-09
1863,4.395266373080631e-08,4.994620828036034e-10
1864,3.308362295229017e-08,0.0
1865,2.5416959203994338e-08,4.706844358715045e-10
1866,4.962925004292629e-08,4.865612912574591e-10
1867,2.426405742994575e-08,4.85281148598915e-10
1868,2.222943251695142e-08,4.93987406535723e-10
1869,3.369628132077196e-08,4.883519144627257e-10
1870,2.3509599600401998e-08,0.0
1871,1.911811864374613e-08,0.0
1872,3.0236694925633856e-08,6.047339295989218e-10
1873,3.8909028887701425e-08,3.591602570907071e-09
1874,3.584765551067903e-08,0.0
1875,3.318485752856759e-08,1.1443054281912168e-09
1876,3.3253080289341597e-08,6.04601479992084e-10
1877,2.8450154232473324e-08,2.4739263970730008e-09
1878,3.200716847118201e-08,1.8117265465633636e-09
1879,3.421222061206208e-08,1.221865053580018e-09
1880,3.144744553651435e-08,6.417846254436199e-10
1881,3.346803723047742e-08,2.091752326904839e-09
1882,4.592215674392719e-08,0.0
1883,5.0554710639971745e-08,0.0
1884,4.4891539374702916e-08,1.3203393933736152e-09
1885,4.7697703564608673e-08,0.0
1886,3.0976625708944994e-08,0.0
1887,3.1991731930247624e-08,1.3057849246322917e-09
1888,4.12139939953704e-08,6.340614699951175e-10
1889,5.5759716843795104e-08,1.2530273485467092e-09
1890,3.5393686204088226e-08,1.3108772956016423e-09
1891,4.52569608455633e-08,2.5496880162734215e-09
1892,3.63573704476039e-08,1.8805537127519756e-09
1893,3.387129154930335e-08,1.847525021858587e-09
1894,2.898708117982096e-08,1.2603078580752936e-09
1895,1.8055843042930064e-08,1.8055843487019274e-09
1896,1.533227589334274e-08,5.89702897624278e-10
1897,2.505486840220783e-08,5.826713556089658e-10
1898,3.395012981854961e-08,2.26334195829736e-09
1899,4.311511148102909e-08,1.1055156790007459e-09
1900,2.9589003247565415e-08,5.191053142894475e-10
1901,2.51493244007861e-08,1.1177477832191585e-09
1902,3.4863013809172116e-08,9.820567692386817e-10
1903,2.808114629715419e-08,1.6200660812870638e-09
1904,3.815983973254333e-08,2.6873125946735854e-09
1905,2.6835946798087207e-08,3.096455536422127e-09
