year,bon_ADJ essai_NOUN
1800,3.144164484325529e-09
1801,2.3811826288522298e-08
1802,1.3427040812530322e-08
1803,0.0
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,0.0
1808,4.5321479902327155e-09
1809,4.518061036407062e-09
1810,7.020380277111826e-09
1811,2.5070767684098882e-09
1812,4.000812481308458e-08
1813,2.8757416448144113e-09
1814,0.0
1815,2.1577788444915313e-08
1816,2.0858434979231788e-08
1817,3.113746815941454e-09
1818,1.1921177378582115e-09
1819,1.6561680027393777e-08
1820,3.5599443393152796e-09
1821,1.577838126820552e-08
1822,2.0051231786055723e-09
1823,0.0
1824,3.9579230559638745e-08
1825,4.402721520690989e-09
1826,6.165588817275136e-09
1827,1.2904182611350734e-08
1828,2.7516903755575584e-09
1829,1.714635211591542e-09
1830,8.349468672008697e-09
1831,0.0
1832,2.705993873419743e-09
1833,3.4750886612755494e-09
1834,1.120143711119681e-08
1835,0.0
1836,4.704525213838906e-09
1837,1.6698938232195815e-08
1838,1.009945904684173e-08
1839,1.8177836125232716e-08
1840,3.184844332704273e-09
1841,0.0
1842,5.366612043644636e-09
1843,7.088293507706567e-09
1844,5.488561272137815e-10
1845,3.3481367678334095e-09
1846,5.854501328173001e-10
1847,3.775256551818984e-09
1848,8.045221711050488e-10
1849,2.513824481908955e-09
1850,7.467895635215882e-09
1851,3.2247193804124663e-09
1852,0.0
1853,3.5831591027601917e-09
1854,1.5586993362681767e-09
1855,1.0613874223963649e-09
1856,1.5531567698623405e-09
1857,2.9289055625270066e-09
1858,6.361778881469604e-09
1859,5.092173349652285e-09
1860,5.950338888283113e-09
1861,0.0
1862,1.1294965851504912e-08
1863,7.991393324857654e-09
1864,0.0
1865,2.824106559717876e-09
1866,2.432806400776144e-09
1867,0.0
1868,1.975949626142892e-09
1869,4.883519144627257e-10
1870,2.1789386295267832e-08
1871,6.37270636261178e-09
1872,5.442605477412599e-09
1873,5.986004469882289e-10
1874,5.377148282192934e-09
1875,4.577221712764867e-09
1876,3.02300739996042e-09
1877,1.8554447978047506e-09
1878,8.454724254036705e-09
1879,1.0996785371197859e-08
1880,8.343199908722454e-09
1881,7.669758217421219e-09
1882,4.6587693702804245e-09
1883,8.215140789857855e-09
1884,9.902545450302114e-09
1885,1.160214413431504e-08
1886,8.38950331427668e-09
1887,6.528924512139156e-09
1888,7.60873763994141e-09
1889,6.265136742733546e-10
1890,1.1142457179147414e-08
1891,1.5935549213530464e-08
1892,1.50444294799712e-08
1893,6.158416554491453e-10
1894,1.8904617871129403e-09
1895,8.426059849853118e-09
1896,2.358811590497112e-09
1897,1.2236098356765979e-08
1898,3.960848538042683e-09
1899,8.844125432005967e-09
1900,5.710158568206225e-09
1901,9.500856101851696e-09
1902,1.178468167495339e-08
1903,1.4040573148577096e-08
1904,1.2361637935498493e-08
1905,1.1353670004154992e-08
1906,9.773950537805831e-09
1907,2.4171363577352167e-08
1908,7.367083831866239e-09
1909,1.4302557360679202e-08
1910,1.336037680488289e-08
1911,7.448523575703803e-09
1912,1.0939784189645252e-08
1913,1.2196876397752021e-08
1914,1.808120764223986e-08
1915,0.0
1916,7.69122365795738e-09
1917,1.6449636319748606e-08
1918,8.040463406189247e-09
1919,1.1970203106503874e-08
1920,1.1358347151713133e-08
1921,5.300923311413186e-09
1922,2.1396012073182646e-08
1923,1.2739137744688378e-08
1924,5.156649773851996e-09
1925,7.698724768800957e-09
1926,1.114613823460786e-08
1927,1.0034302722061739e-08
1928,9.140832868403947e-09
1929,7.798284462623428e-09
1930,1.575540553577781e-08
1931,7.983749661377715e-09
1932,1.3151444377967891e-08
1933,6.882397318719313e-09
1934,1.7972370258689807e-08
1935,1.4361940969820353e-08
1936,1.6974599503782883e-08
1937,2.1404900851784703e-08
1938,7.779128452511941e-09
1939,1.070583532936098e-08
1940,5.0715658339584024e-09
1941,5.9030051957620344e-09
1942,2.1239482173029955e-08
1943,2.322588166236983e-08
1944,9.639558484764166e-09
1945,1.3071024262956144e-08
1946,2.3665878146061914e-08
1947,1.0728783861324587e-08
1948,2.174377566888097e-09
1949,3.9268033269479474e-09
1950,2.2334258886758107e-08
1951,1.0661401983469432e-08
1952,1.1599284088781303e-08
1953,9.69644453618912e-09
1954,5.863521668203475e-09
1955,1.2201290200408721e-08
1956,1.5698054633972447e-08
1957,8.8350378124602e-09
1958,1.4890038535497752e-08
1959,9.30089749662244e-09
1960,2.9067499629498172e-08
1961,1.598076693198891e-08
1962,1.3952304034337004e-08
1963,5.819448034571906e-09
1964,1.095114282589904e-08
1965,1.1491291473930687e-08
1966,6.0929824519107e-09
1967,1.7749207881223583e-08
1968,1.2575964047911725e-08
1969,9.537691525451919e-09
1970,8.277704882653225e-09
1971,1.4387512736746544e-08
1972,1.2312352526411274e-08
1973,1.2129048487796723e-08
1974,6.750685899170605e-09
1975,1.2565256390928425e-08
1976,8.570290421783255e-09
1977,5.876781727920388e-09
1978,6.534650598410963e-09
1979,5.851973128301324e-09
1980,1.3075846239107847e-08
1981,6.958104314946922e-09
1982,1.676025618291277e-08
1983,6.946847541655643e-09
1984,1.2177917840805463e-08
1985,7.218669439978953e-09
1986,1.019062523255343e-08
1987,4.888653482026939e-09
1988,1.2592762999030782e-08
1989,3.841685525252103e-09
1990,7.083246211792016e-09
1991,3.5168792322792797e-09
1992,4.958949750832886e-09
1993,1.3848019009277124e-08
1994,5.802419156264449e-09
1995,7.0491861237087505e-09
1996,5.871901409548741e-09
1997,4.794894259418925e-09
1998,4.768129113763564e-09
1999,5.484241422104574e-09
2000,7.068850393920911e-09
2001,3.943090742808408e-09
2002,5.6955880012310445e-09
2003,7.083769015814312e-09
2004,4.404791198453495e-09
2005,4.503749373441224e-09
2006,9.882935358973555e-09
2007,7.988958827809256e-09
2008,5.960415716543821e-09
2009,3.337734755248789e-09
2010,2.3618965117044866e-09
2011,2.6767803529281764e-09
2012,4.765953853791416e-09
2013,7.53063750247307e-09
2014,3.031623174720721e-09
2015,3.546520632724537e-09
2016,5.799752011981241e-09
2017,4.52810025586281e-09
2018,3.0977600484760615e-09
2019,3.3162841361900064e-09
