year,un_DET hiver_NOUN,un_DET divers_ADJ
1800,1.502910571105076e-06,6.288328968651058e-09
1801,1.2834573617226397e-06,5.714838380299625e-08
1802,1.0070280893614836e-06,1.5664880947952042e-08
1803,1.0707362427808675e-06,0.0
1804,1.2482846898365096e-06,0.0
1805,1.2991950910645755e-06,4.264316544322355e-08
1806,8.875540942199223e-07,2.0171682990621775e-08
1807,6.576466553553928e-07,8.540865792383556e-09
1808,7.138133213402398e-07,0.0
1809,1.1859910102884896e-06,0.0
1810,1.380674842010876e-06,3.042164919975221e-08
1811,1.1457340587384124e-06,2.0056614147279106e-08
1812,1.2455862155036357e-06,0.0
1813,1.2221901783959765e-06,5.751483289628823e-09
1814,1.2051773339294414e-06,6.293354282149721e-09
1815,1.0627061362011858e-06,5.394447111228828e-09
1816,9.085007341980145e-07,0.0
1817,1.0010695774553824e-06,9.341240669868967e-09
1818,1.2243048654880795e-06,1.7881765401739358e-08
1819,8.2187338890094e-07,0.0
1820,1.1095160203922205e-06,0.0
1821,8.175173764612964e-07,2.6626018723163725e-08
1822,8.481671187610118e-07,2.0051231786055723e-09
1823,9.556557962753232e-07,9.882687113105248e-09
1824,9.0526962281956e-07,8.421112696055388e-09
1825,9.016773923065102e-07,2.641632912414593e-09
1826,8.816792202992474e-07,1.1450379200361738e-08
1827,8.894668397374517e-07,7.373818444733615e-09
1828,9.126439586282231e-07,2.7516904310687096e-09
1829,9.070420077250674e-07,1.971830521085849e-08
1830,1.056207818095345e-06,1.3567886369969528e-08
1831,1.1786951503722776e-06,4.677361831184612e-09
1832,9.051549660910041e-07,1.488296597074168e-08
1833,1.1155033714516094e-06,3.8225973497674204e-08
1834,9.987948388356926e-07,5.60071877764301e-09
1835,1.1306816745104697e-06,6.806779140333674e-09
1836,1.0376837842329678e-06,4.032449929525228e-09
1837,1.1647509623458063e-06,7.653680356156656e-09
1838,9.474554794053347e-07,1.009945904684173e-08
1839,9.459465637462472e-07,2.7965900706306e-09
1840,1.0955865050732427e-06,5.732719687845389e-09
1841,8.128414457075905e-07,6.420548537278137e-09
1842,9.223864481100463e-07,1.0062397137744483e-08
1843,8.88399405596374e-07,1.8311423488626133e-08
1844,9.775127622901891e-07,3.841992946007622e-09
1845,1.1517589939558093e-06,1.674068439427856e-09
1846,8.933968800306502e-07,2.3418005312692003e-09
