year,en_ADP émissions_NOUN,en_ADP démission_NOUN
1800,0.0,9.432493897065797e-09
1801,0.0,2.3811825844433088e-09
1802,4.475680270843441e-09,1.5664880947952042e-08
1803,3.900678446910888e-09,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,2.881669125542885e-09,0.0
1807,0.0,2.8469551160981155e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,3.1466771410748606e-09
1815,0.0,6.47333635583891e-08
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,1.1921177378582115e-09
1819,0.0,1.0351049795076506e-08
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,4.010246357211145e-09
1823,0.0,2.9648061783404955e-09
1824,0.0,3.3684450784221553e-09
1825,8.805443041381977e-10,1.3208164340028361e-08
1826,0.0,5.284790383086602e-09
1827,9.217273055917019e-10,0.0
1828,0.0,2.7516904310687096e-09
1829,2.571952872898464e-09,8.57317605795771e-10
1830,3.1310507520032616e-09,4.174734336004349e-09
1831,0.0,1.091384405071949e-08
1832,6.764984572527055e-09,4.329590197471589e-08
1833,8.108539617524002e-09,0.0
1834,1.8669061851994684e-09,8.401078055442213e-09
1835,0.0,6.050470346963266e-09
1836,1.3441500135158435e-09,1.3441500135158435e-09
1837,0.0,6.957890930081589e-10
1838,3.1560809521380406e-09,2.5248647617104325e-09
1839,2.0974426639952526e-09,1.4682098203877558e-08
1840,1.9109065441114126e-09,5.732719632334238e-09
1841,7.0626033910059505e-09,2.5682194149112547e-09
1842,1.475818312002275e-08,2.0124795163667386e-09
1843,8.860366662588604e-09,5.906910960362666e-09
1844,3.841992946007622e-09,5.488561272137815e-10
1845,1.1160455892778032e-09,2.7901139176833567e-09
1846,6.439951683034906e-09,8.781752214304106e-09
1847,1.0247124926365814e-08,2.6966118227278457e-09
1848,3.218088684420195e-09,1.689496542667257e-08
1849,0.0,2.4300303991253713e-08
1850,6.788996032014438e-10,1.2899092460827433e-08
1851,5.8044946626978344e-09,9.674158363282004e-09
1852,0.0,5.208436348880241e-09
1853,1.1943863675867306e-09,1.1943863675867306e-08
1854,1.0391328908454511e-09,6.754363734984281e-09
1855,5.837630823180007e-09,4.2455496895854594e-09
1856,5.694908100650764e-09,1.1907535402144731e-08
1857,6.345961978126979e-09,0.0
1858,4.893676019968041e-10,1.9574704079872163e-09
1859,0.0,5.092173349652285e-09
1860,1.1900677776566226e-08,9.15436793036406e-09
1861,4.715963619617014e-09,1.8863854922557266e-09
