year,ses_DET oies_NOUN,ses_DET bois_NOUN
1800,1.8864987794131594e-08,7.766086227434243e-07
1801,5.714838380299625e-08,6.976865067898075e-07
1802,4.475680270843441e-09,7.989089283455542e-07
1803,0.0,7.372282180284628e-07
1804,7.4155526164076946e-09,1.0208744747330911e-06
1805,5.685755422035754e-09,8.073772543859548e-07
1806,1.729001475325731e-08,9.019624656048109e-07
1807,2.562259604488304e-08,6.092484063913162e-07
1808,6.798221985349073e-09,8.588420192801038e-07
1809,5.421673421324158e-08,5.46685392954771e-07
1810,4.680253518074551e-09,6.528953875317711e-07
1811,2.757784400841956e-08,8.724627331702095e-07
1812,1.0668832928217853e-08,7.681559921479675e-07
1813,0.0,5.090062984436372e-07
1814,9.440030979135372e-09,3.8704129279309996e-07
1815,1.0788894222457657e-08,4.288585575551451e-07
1816,2.3176038865813098e-09,6.836931305542748e-07
1817,1.556873407970727e-09,1.0415483018277882e-06
1818,3.5763532135746345e-09,3.659801315336608e-07
1819,0.0,5.558513933578979e-07
1820,1.6613073583471305e-08,5.850174957799936e-07
1821,9.861488403650753e-09,6.518443780301197e-07
1822,2.0051231786055723e-09,5.283499575625683e-07
1823,3.261286707356703e-08,6.04820436844733e-07
1824,1.9368560089105813e-08,5.330564363248413e-07
1825,7.044354433105582e-09,7.326128397266984e-07
1826,3.5231937367541377e-09,7.240162938071393e-07
1827,2.8573547083965423e-08,7.871551446214653e-07
1828,1.3758452155343548e-08,1.9876377397309852e-06
1829,8.57317605795771e-10,2.332761317447307e-06
1830,7.305785310052215e-09,2.968236121780876e-06
1831,1.091384405071949e-08,3.1353915268539367e-06
1832,1.7588959622116818e-08,1.6479502304989069e-06
1833,8.108539617524002e-09,2.013234555064969e-06
1834,6.534171426153534e-09,2.28229272991598e-06
1835,2.0420337421001022e-08,2.0813618419879276e-06
1836,1.68018754465038e-08,1.5766879872813888e-06
1837,9.74104708006962e-09,1.429846566480819e-06
1838,8.2058102535143e-09,9.764914157273097e-07
1839,7.690622583211848e-09,6.879611387233808e-07
1840,8.280594876453051e-09,8.490794991544703e-07
1841,2.5682194149112547e-09,7.512041584334384e-07
1842,4.695785538189057e-09,7.949293987508099e-07
1843,7.088293507706567e-09,6.704344315267008e-07
1844,1.0977122322231025e-08,7.299786588532697e-07
1845,1.339254718235594e-08,7.298938395905452e-07
1846,1.5807152919933287e-08,7.253727094536089e-07
1847,7.011190739092399e-09,7.264672339246658e-07
1848,1.045878850192139e-08,7.86018178544623e-07
1849,1.5920887719289567e-08,1.1111103752625695e-06
1850,8.146795238417326e-09,8.173950947210074e-07
1851,1.870337307252612e-08,9.822494693167982e-07
1852,1.3672145193766028e-08,8.196776768443215e-07
1853,1.2541057081705276e-08,7.578381282513647e-07
1854,2.0782657927931325e-08,5.876296400586511e-07
1855,1.3798036491152743e-08,7.02107762151627e-07
1856,2.174419400091665e-08,6.383474135951417e-07
1857,1.4644527368545823e-08,6.897572131236984e-07
1858,7.34051397444091e-09,5.387937491718731e-07
1859,2.6479302084325695e-08,6.395769602818291e-07
1860,2.380135608048839e-08,7.909374066805697e-07
1861,2.5466203590340797e-08,6.045865692527741e-07
1862,1.3553958982948089e-08,7.391425729252887e-07
1863,2.2975255475898848e-08,8.126248087769739e-07
1864,1.821996631345968e-08,6.525624680620012e-07
1865,2.7299698113214532e-08,7.9169120326128e-07
1866,7.784980660119345e-09,6.018763123449844e-07
1867,5.338092634588065e-09,7.43936020342062e-07
1868,1.1361710683388537e-08,7.617285557870446e-07
1869,1.9534076356464425e-08,5.738135122612675e-07
1870,7.454262984651905e-09,6.479475338494467e-07
1871,2.230447138096281e-08,5.374315559247833e-07
1872,3.205089793567595e-08,7.365659429048321e-07
1873,8.979006871356887e-09,4.992327653496886e-07
1874,3.226288780577846e-08,5.227783024253085e-07
1875,3.2612703648737806e-08,6.041932572031783e-07
1876,5.441413541973361e-09,8.131889899232192e-07
1877,2.22653372405901e-08,6.141522250757703e-07
1878,1.509772218355465e-08,6.812092063768205e-07
