year,vos_DET ailes_NOUN,vos_DET belles_ADJ
1800,2.7354229814591235e-07,1.1004575384276905e-07
1801,1.4763331535050384e-07,2.690736380372982e-07
1802,1.2531904758361634e-07,1.2979472785445978e-07
1803,6.436119548425268e-08,7.996391104825307e-08
1804,1.3100809592714313e-07,1.928043786847411e-07
1805,1.3645812657614442e-07,2.0184431548386783e-07
1806,1.2967511509032192e-07,3.227469278499484e-07
1807,1.7366426163789583e-07,1.4804166426074516e-07
1808,2.039466551195801e-07,1.2010191996481012e-07
1809,1.3102376783535874e-07,2.1686692885936054e-07
1810,3.065566054338831e-07,2.667744514184278e-07
1811,1.6045291317823285e-07,1.9805906514847038e-07
1812,1.0668833283489221e-07,1.8403736268268744e-07
1813,1.9555042740648787e-07,1.8404746526812232e-07
1814,1.321604372606089e-07,1.4160046646338742e-07
1815,6.74305908887618e-08,2.2117233511309564e-07
1816,8.806894413737609e-08,1.4137383175238938e-07
1817,8.749628364057571e-07,2.911353336187972e-07
1818,2.932609675099229e-07,2.431920211876104e-07
1819,2.3393373282942775e-07,1.8942421942114152e-07
1820,3.9040722299432673e-07,3.690475640638624e-07
1821,1.9653946310427273e-06,4.960328441327988e-07
1822,4.351117297574092e-07,2.446250277898798e-07
1823,3.24152125585897e-07,2.935157965566759e-07
1824,5.162141860637348e-07,2.004224848306535e-07
1825,2.896990736189764e-07,1.901975648088694e-07
1826,1.4885493726524146e-07,1.8496767095754763e-07
1827,3.94499295452988e-07,1.7051955825131415e-07
1828,5.824411459798284e-07,1.751909524116968e-07
1829,2.323330699494086e-07,1.920391486942563e-07
1830,4.665265578296385e-07,2.0247461529621091e-07
1831,7.842376521516314e-07,2.1204040479005926e-07
1832,1.830604817509851e-06,4.234880290887588e-07
1833,6.68375378154451e-07,3.208665120268961e-07
1834,5.031312415582079e-07,1.698884659617761e-07
1835,2.843721063072735e-07,1.7621994885530512e-07
1836,2.6748586134939245e-07,1.7272327779149776e-07
1837,4.404345079755956e-07,2.0386621102375102e-07
1838,3.080334889382641e-07,1.7800296037151497e-07
1839,3.9851409117108716e-07,2.3351527644877024e-07
1840,3.140256609190928e-07,1.8153612302285183e-07
1841,1.6243987177588792e-07,1.2584275133065148e-07
1842,1.636816620020909e-07,1.5160679467385307e-07
1843,2.551785512339144e-07,1.6066798114167113e-07
1844,1.7234082794193029e-07,1.3886059346823743e-07
1845,1.4117976832039858e-07,1.958660051926131e-07
1846,3.594663751105287e-07,1.9436943921036232e-07
1847,9.923531507638472e-08,1.1811159783547964e-07
1848,1.3033259449457546e-07,1.1343762706950145e-07
1849,1.1898769258777975e-07,1.080944542763973e-07
1850,1.7379829841956962e-07,1.3238541818338945e-07
1851,1.6510563072280604e-07,1.0835057184799268e-07
1852,1.4323199737376058e-07,1.751336768940348e-07
1853,2.4126604980523325e-07,1.857270794936028e-07
1854,2.3692230399774417e-07,1.04952419199833e-07
1855,3.444202185676204e-07,2.0643985010337929e-07
1856,2.158887960623801e-07,1.6204602415470504e-07
1857,1.9867742162560376e-07,1.9526035810457643e-07
1858,2.1434300911948867e-07,2.3342834509776367e-07
1859,1.7109702699080742e-07,2.2354640649702162e-07
1860,2.3618269562319938e-07,2.3206321930757667e-07
1861,3.4992449848836316e-07,2.2400827015545133e-07
1862,2.0737556427619097e-07,2.8689213937838076e-07
1863,1.8480097541129226e-07,1.9229290693090206e-07
1864,1.7500757509836262e-07,1.68294953084569e-07
1865,1.7321187251173598e-07,1.9486335567364677e-07
1866,1.3039842272632995e-07,2.2819724598832636e-07
1867,2.1255314130996794e-07,1.688778343833519e-07
1868,1.2744875466097483e-07,1.2399084114989023e-07
