year,ses_DET heures_NOUN
1800,7.420228276266982e-07
1801,3.357467566189598e-07
1802,4.87849149521935e-07
1803,4.6613106330362086e-07
1804,4.5482057364765183e-07
1805,5.088751038329065e-07
1806,6.39730568074981e-07
1807,4.839823724012149e-07
1808,4.48682649256682e-07
1809,4.4728804837745884e-07
1810,5.569501664304255e-07
1811,5.991913645253533e-07
1812,4.054156512722784e-07
1813,4.112310634241112e-07
1814,3.8074793451414735e-07
1815,4.3425299955934804e-07
1816,4.0094547948399395e-07
1817,3.954458382970927e-07
1818,3.9459097656013853e-07
1819,5.206578022054487e-07
1820,6.95375773851481e-07
1821,4.950467324960073e-07
1822,3.8799133506017824e-07
1823,6.235975371637892e-07
1824,4.244240896511542e-07
1825,5.855619831240944e-07
1826,5.364062545254455e-07
1827,5.124803728051575e-07
1828,5.090626951087529e-07
1829,5.186771376841648e-07
1830,8.025926838683972e-07
1831,5.378965912683498e-07
1832,6.46732510212189e-07
1833,6.799589700179354e-07
1834,7.122247316360131e-07
1835,8.100067461214167e-07
1836,8.952039243226295e-07
1837,8.565163476248472e-07
1838,8.489857643567689e-07
1839,9.214764569165368e-07
1840,8.713733805620905e-07
1841,8.770469062113762e-07
1842,9.639777154291096e-07
1843,8.263768682681416e-07
1844,8.320658890781374e-07
1845,7.622591287059777e-07
1846,8.348518898415591e-07
1847,8.63455124289203e-07
1848,8.946286484956545e-07
1849,7.935305843531637e-07
1850,7.481473422998874e-07
1851,9.467776180827059e-07
1852,1.0071813516532302e-06
1853,1.1269035411487494e-06
1854,1.023026282354067e-06
1855,1.1961836037244211e-06
1856,1.1472651202382167e-06
1857,1.241367733939569e-06
1858,1.283121879858129e-06
1859,1.4451587571073787e-06
1860,1.3104477787351243e-06
1861,1.2813273189138386e-06
1862,1.3147340229835436e-06
1863,1.2301750516030552e-06
1864,1.3559490250614203e-06
1865,1.4224083599856385e-06
1866,1.2884142783775587e-06
1867,1.4160504200333435e-06
1868,1.3535255494190324e-06
1869,1.3649435457452341e-06
1870,1.3251387285251326e-06
1871,1.1821370315967528e-06
1872,1.3152962647922095e-06
1873,1.1792428278312173e-06
1874,1.3956687165972426e-06
1875,1.356574045985326e-06
1876,1.3803051261973565e-06
1877,1.433640371750755e-06
1878,1.4608555387596311e-06
1879,1.4754020645213473e-06
1880,1.4870149742662875e-06
1881,1.4495843707607037e-06
1882,1.6172586301266278e-06
1883,1.6379726419657459e-06
1884,1.6266580917800866e-06
1885,1.3645410494866894e-06
1886,1.5326976967600103e-06
1887,1.4409336337450895e-06
1888,1.4875081655318922e-06
1889,1.5380911166928968e-06
1890,1.4504857226427248e-06
1891,1.5177017385070712e-06
1892,1.3815800770089481e-06
1893,1.3486932228801152e-06
1894,1.5898783800594174e-06
1895,1.590117895133858e-06
1896,1.5963257773421446e-06
1897,1.4508517072187033e-06
1898,1.5566134128341957e-06
1899,1.2564185727370614e-06
1900,1.340849026476576e-06
1901,1.4525132385756478e-06
1902,1.1922169402822647e-06
1903,1.4434788306871837e-06
1904,1.4151388274541432e-06
1905,1.3825672926515153e-06
1906,1.4876982135092476e-06
1907,1.4533674947969644e-06
1908,1.4974825521818502e-06
1909,1.434656532239842e-06
1910,1.5343056718464254e-06
1911,1.5312037060510875e-06
1912,1.4716614593623945e-06
1913,1.5293821977735433e-06
1914,1.3373396887672584e-06
1915,1.169829666913813e-06
1916,1.3998027217354547e-06
1917,1.4497612630393064e-06
1918,1.3864056631618382e-06
1919,1.6021656277231955e-06
1920,1.6189431946145305e-06
1921,1.4850158009949155e-06
1922,1.5139523665830268e-06
1923,1.5669139763474504e-06
1924,1.692670337227753e-06
1925,1.6398282909335649e-06
1926,1.5192186531010066e-06
1927,1.876414524204506e-06
1928,1.4888131558699058e-06
1929,1.4950425573090342e-06
1930,1.4705044915075405e-06
1931,1.4302316779790658e-06
1932,1.3655582389304755e-06
1933,1.3822147657549522e-06
1934,1.3467295829627801e-06
1935,1.4589338626080917e-06
1936,1.2500581014762702e-06
1937,1.3661362956440826e-06
1938,1.3911675345035235e-06
1939,1.2067006123217539e-06
1940,1.3160713230320198e-06
1941,1.381303270875378e-06
1942,1.380566370556835e-06
1943,1.7332313948514866e-06
1944,1.4395074341422287e-06
1945,1.5815939904406662e-06
1946,1.5689084094105965e-06
1947,1.4924930109572188e-06
1948,1.4970589150564706e-06
1949,1.325296102194784e-06
1950,1.337928463129856e-06
1951,1.2996249152408268e-06
1952,1.1725821433827832e-06
1953,1.250841393130031e-06
1954,1.3398146805343458e-06
1955,1.281135427078084e-06
1956,1.3029385499407908e-06
1957,1.1671085089481892e-06
1958,1.1266796047237904e-06
1959,1.1006062363705382e-06
1960,1.142629561190489e-06
1961,1.2305190422168266e-06
1962,1.2163871998538411e-06
1963,1.233722951354821e-06
1964,1.158387583188869e-06
1965,1.1157496295766123e-06
1966,1.2712177053231244e-06
1967,1.1349632806911814e-06
1968,1.3016122917264283e-06
1969,1.049146095333242e-06
1970,1.044370426583896e-06
1971,1.110921528990616e-06
1972,1.0588623151619458e-06
1973,9.879661106992899e-07
1974,9.287818896197564e-07
1975,9.212617761988895e-07
1976,9.261626932044464e-07
1977,8.709390693084629e-07
1978,1.0188113930276188e-06
1979,9.216858134486472e-07
1980,9.562423497477823e-07
1981,1.0019670888539167e-06
1982,9.658873407758506e-07
1983,9.542442667154205e-07
1984,1.064118036353534e-06
1985,9.99785764399519e-07
1986,1.0370459442299307e-06
1987,1.0046182756795474e-06
1988,1.0428007444218679e-06
1989,1.1272603286371918e-06
1990,1.024891234102654e-06
1991,1.0632697904355837e-06
1992,1.083805970303331e-06
1993,1.1095032697028273e-06
1994,1.0755575470255963e-06
1995,1.1229895604536466e-06
1996,1.165305540951067e-06
1997,1.0932358964765854e-06
1998,1.1543640994204907e-06
