year,étions_VERB aux_ADP,étions_VERB beaux_ADJ,etions_VERB aux_ADP
1800,5.973912209356058e-08,0.0,0.0
1801,4.524246932646747e-08,0.0,2.3811825844433088e-09
1802,1.3427040812530322e-08,0.0,0.0
1803,5.460949736857401e-08,0.0,0.0
1804,3.9549615138412264e-08,0.0,0.0
1805,4.8328921309348516e-08,0.0,0.0
1806,3.7461699520235925e-08,0.0,0.0
1807,5.693910054560547e-08,0.0,0.0
1808,5.4385775882792586e-08,0.0,0.0
1809,5.1957702140725814e-08,2.259030518203531e-09,0.0
1810,7.020380365929668e-08,0.0,0.0
1811,3.5099073869560016e-08,0.0,0.0
1812,1.600324850414836e-08,0.0,0.0
1813,3.738464116054274e-08,0.0,0.0
1814,5.664018942752591e-08,0.0,0.0
1815,5.3944472000466703e-08,2.697223555614414e-09,0.0
1816,8.1116134253989e-08,0.0,0.0
1817,9.185553295765203e-08,1.556873407970727e-09,0.0
1818,3.099506074022429e-08,0.0,1.1921177378582115e-09
1819,3.519356894798875e-08,0.0,0.0
1820,2.7292905713238724e-08,0.0,0.0
1821,9.762873531826699e-08,0.0,0.0
1822,9.123310462655354e-08,0.0,0.0
1823,1.1266263300058199e-07,0.0,0.0
1824,7.915846111927749e-08,0.0,0.0
1825,1.364843740248034e-07,0.0,0.0
1826,5.19671061738336e-08,8.807984341885344e-10,0.0
1827,5.346018383534101e-08,0.0,9.217273055917019e-10
1828,6.787502826455238e-08,0.0,0.0
1829,1.0630738245254179e-07,0.0,0.0
1830,4.905312778191728e-08,0.0,0.0
1831,1.02901957177437e-07,0.0,0.0
1832,6.764985016616265e-08,5.411987746839486e-09,0.0
1833,1.332117278707301e-07,1.2741991461950875e-08,1.1583628500844156e-09
1834,6.16079063320285e-08,9.334530925997342e-10,0.0
1835,7.563087933704082e-08,3.025235173481633e-09,0.0
1836,7.325617445985699e-08,1.3441500135158435e-09,0.0
1837,5.705470584871364e-08,3.478945576063097e-09,0.0
1838,4.5447563934430946e-08,6.312161904276081e-10,0.0
1839,4.61437359433603e-08,1.3982950353153e-09,0.0
1840,3.821813265858509e-08,2.5478754661634184e-09,0.0
1841,5.393260948949319e-08,1.2841097074556274e-09,0.0
1842,4.9641162291891305e-08,2.683306021822318e-09,6.708265054555795e-10
1843,4.1939067330076796e-08,0.0,0.0
1844,3.732221642849254e-08,0.0,0.0
1845,3.682950477923441e-08,0.0,0.0
1846,4.625055893825447e-08,1.7563503984519002e-09,5.854501328173001e-10
1847,4.7999691332734074e-08,4.314578916364553e-09,0.0
1848,4.183515400768556e-08,8.045221711050488e-10,0.0
1849,9.133562173246901e-08,3.3517659758786067e-09,0.0
1850,4.0055077477063605e-08,6.788996032014438e-10,6.788996032014438e-10
1851,5.611011744122152e-08,1.2898877521649865e-09,0.0
1852,3.6459056218518526e-08,6.510545436100301e-10,3.2552727180501506e-09
1853,6.330247970254277e-08,1.1943863675867306e-09,0.0
1854,5.0917510208137173e-08,3.117398783558656e-09,0.0
1855,2.1227748447927297e-08,5.837630823180007e-09,0.0
1856,4.659470320689252e-08,4.659470143053568e-09,0.0
1857,9.616572782533694e-08,2.9289055625270066e-09,0.0
1858,3.866004050223637e-08,9.787352039936081e-10,0.0
1859,6.416138376152958e-08,0.0,5.092173349652285e-10
1860,4.394096464466202e-08,1.373155145145688e-09,0.0
1861,7.545541791387222e-08,5.187560159214399e-09,0.0
1862,7.545037306044833e-08,9.035972525772706e-10,0.0
1863,8.940371287735616e-08,4.994620828036034e-10,4.994620828036034e-10
1864,4.8426752385921645e-08,4.794728170054441e-09,4.794727948009836e-10
