year,mêmes_ADJ ailes_NOUN
1800,1.1633408547595536e-07
1801,4.286128785224719e-08
1802,7.161088433349505e-08
1803,9.361627917314763e-08
1804,4.449331569844617e-08
1805,1.1371510844071508e-08
1806,2.0171682990621775e-08
1807,5.693910232196231e-09
1808,5.211970233176544e-08
1809,3.388545621874073e-08
1810,7.956430891908894e-08
1811,8.524060746140094e-08
1812,2.1337665856435706e-08
1813,5.751483289628823e-09
1814,0.0
1815,2.4275012222574333e-08
1816,5.0987285504788815e-08
1817,9.341240314597599e-08
1818,3.06374261072051e-07
1819,5.693077653745604e-08
1820,8.899861114741725e-08
1821,3.1753992857375124e-07
1822,1.3534581455587613e-07
1823,7.609668983832307e-08
1824,4.378978601948802e-08
1825,1.0654586191094495e-07
1826,5.19671061738336e-08
1827,3.96342727526644e-08
1828,7.521286704559316e-08
1829,1.1145128553380346e-07
1830,1.3985359714752121e-07
1831,9.198811312671751e-08
1832,2.990123277868406e-07
1833,2.490480142114393e-07
1834,4.0698554926166253e-07
1835,1.2630357559828553e-07
1836,4.139982081596827e-07
1837,2.852735292435682e-08
1838,3.099271452811081e-07
1839,6.85164565084051e-08
1840,1.2739377552861697e-08
1841,3.5955071808757566e-08
1842,2.7168474048266944e-07
1843,2.9534556134080958e-08
1844,3.0187088384536764e-08
1845,4.8547981634783355e-08
1846,3.7468808500307205e-08
1847,2.2112217834546755e-08
1848,1.287235473768078e-08
1849,3.267971848686102e-08
1850,5.906426636670403e-08
1851,2.579775504329973e-08
1852,1.4323200048238505e-07
1853,8.480143520728234e-08
1854,4.416314780542052e-08
1855,6.209116065747367e-08
1856,6.471486813097727e-08
1857,1.3765856010650168e-07
1858,5.676664116549546e-08
1859,3.208069188076479e-08
1860,4.8060432078500526e-08
1861,2.2165028923382124e-08
1862,1.7620147119146168e-08
1863,2.3474717281146695e-08
1864,3.835782536043553e-08
1865,1.7415324293779122e-08
1866,1.216403244796993e-08
1867,4.561642796829801e-08
1868,4.890475224783586e-08
1869,4.3463320054115684e-08
1870,3.956493799250893e-08
1871,9.771483178155904e-08
1872,1.3304146229131675e-08
1873,4.6092235805872406e-08
