year,jeunes_ADJ oies_NOUN,jeunes_ADJ bois_NOUN
1800,2.2009151834367913e-08,6.917161954334006e-08
1801,4.524246932646747e-08,7.857902772911984e-08
1802,3.8043282302169246e-08,7.832440473976021e-08
1803,1.950339223455444e-09,1.4627543976075685e-07
1804,7.4155526164076946e-09,3.460591457837836e-08
1805,2.842877711017877e-09,1.5351540127994667e-07
1806,5.76333825108577e-09,5.76333825108577e-08
1807,0.0,2.562259560079383e-08
1808,2.2660739951163578e-09,1.246340701754889e-07
1809,0.0,1.0843346842648316e-07
1810,0.0,8.658469141664682e-08
1811,2.5070767684098882e-09,1.579458341893769e-07
1812,0.0,9.335229123053068e-08
1813,0.0,3.4508900625951355e-08
1814,0.0,2.8320094713762956e-08
1815,0.0,2.697223555614414e-09
1816,6.952811659743929e-09,8.343373991692715e-08
1817,0.0,8.095742032310227e-08
1818,4.768470951432846e-09,1.668964877410417e-08
1819,0.0,2.3807414706311647e-08
1820,1.0679833017945839e-08,1.4239777357261119e-08
1821,2.9584464655840748e-08,1.2819934447350079e-08
1822,1.0025615893027862e-08,1.7043547018147365e-08
1823,5.929612356680991e-09,5.138997138942614e-08
1824,0.0,2.6947560627377243e-08
1825,4.4027217427355936e-09,2.289415235168235e-08
1826,1.7615968683770689e-09,2.9947145208097936e-08
1827,1.8434546111834038e-09,5.069500019772022e-08
1828,5.503380862137419e-09,2.7516904310687096e-08
1829,2.571952872898464e-09,3.1720752247110795e-08
1830,7.305785310052215e-09,6.992679857376061e-08
1831,1.5591206103948707e-09,5.76874619184764e-08
1832,2.705993873419743e-09,3.788391467196561e-08
1833,4.6334514003376626e-09,8.91939393454777e-08
1834,1.3068342852307069e-08,5.600718466780563e-08
1835,6.806779140333674e-09,4.310960122211327e-08
1836,6.048674894287842e-09,5.511014933290426e-08
1837,3.478945576063097e-09,8.488626690450474e-08
1838,4.418513332993257e-09,1.199310784016916e-08
1839,2.7965900706306e-09,3.076248944466897e-08
1840,5.732719632334238e-09,2.993753511759678e-08
1841,7.0626033910059505e-09,2.8892468861840825e-08
1842,8.720744570922534e-09,2.4820581145945653e-08
1843,4.1348376944583265e-09,1.7720733325177207e-08
1844,3.2931368743049916e-09,4.8299337862545144e-08
1845,2.7901139176833567e-09,2.8459162138005922e-08
1846,7.610851726624901e-09,5.561776106333127e-08
1847,9.168480197274675e-09,2.3730184040005042e-08
1848,1.6090443422100975e-09,2.252662056889676e-08
1849,2.3462361831150247e-08,8.798385664476882e-08
1850,7.467895635215882e-09,2.987158254086353e-08
1851,1.9348316282474798e-09,3.676180071465751e-08
1852,1.1067927019325907e-08,3.1250618093281446e-08
1853,7.1663179834757784e-09,2.5679307569248522e-08
1854,3.117398783558656e-09,1.9743524148907454e-08
1855,7.429711956774554e-09,7.270503488143731e-08
1856,1.5531567143511893e-08,3.2616291889553395e-08
1857,2.440754598431738e-09,2.8312753030945714e-08
1858,1.4681028059904122e-09,2.6425849952715907e-08
1859,5.092173349652285e-09,3.920973412618878e-08
1860,3.204028820036342e-09,6.774232019779447e-08
1861,1.4619487842537637e-08,2.9238975685075275e-08
1862,1.671654947799084e-08,3.298130124562704e-08
1863,1.4983863039219614e-09,3.845858032036631e-08
1864,3.835782358407869e-09,2.349416661218129e-08
1865,6.118897832863013e-09,4.000817810378976e-08
1866,2.919367858567057e-09,2.3841502994059738e-08
1867,4.85281148598915e-10,5.095451882652924e-08
1868,8.891772984576107e-09,2.766329387782207e-08
1869,9.767038289254515e-10,2.197583626184496e-08
1870,5.734048791339319e-10,4.243196016773254e-08
1871,2.1242354542039266e-09,1.911811864374613e-08
1872,9.675743095627354e-09,4.535504416480762e-08
1873,4.190203295451056e-09,2.573981916498269e-08
1874,9.559374625212058e-09,4.182226476245887e-08
1875,4.577221712764867e-09,3.776207790906483e-08
1876,1.209202959984168e-08,8.101660142756373e-08
1877,1.0514186854493346e-08,5.071549225021954e-08
1878,7.850815109122777e-09,5.435179772916854e-08
1879,1.9549841301369497e-08,2.932476128592043e-08
1880,1.0910338854586143e-08,4.428314070992201e-08
1881,5.5780060570498335e-09,8.367008774712303e-08
1882,6.655385131892899e-10,7.254369904785563e-08
1883,1.2638677882037541e-09,8.531107908993363e-08
1884,1.7824581810543805e-08,4.2250860587955685e-08
1885,7.7347630522695e-09,3.0939052209078e-08
1886,3.872078380151578e-09,6.130790808356323e-08
1887,9.14049436140374e-09,7.63884173693441e-08
1888,6.340614699951175e-09,5.2627100899371726e-08
1889,3.7590820456401275e-09,4.009687515349469e-08
1890,8.520702365899524e-09,3.47382496102e-08
1891,3.187110020341777e-09,4.716922674674606e-08
1892,1.6924983192723175e-08,5.328235630486233e-08
1893,7.390099865389743e-09,6.281585029910275e-08
1894,1.8904617871129403e-09,6.868678070759415e-08
1895,7.824198622330414e-09,6.379731587458082e-08
