year,aurons_VERB eu_VERB,aurons_VERB bu_VERB
1800,9.118077315406481e-08,0.0
1801,8.572257570449437e-08,4.7623651688866175e-09
1802,8.727576528144709e-08,8.951360541686881e-09
1803,2.145373123596528e-08,0.0
1804,1.0628959046243835e-07,2.4718509461507665e-09
1805,4.8328921309348516e-08,2.842877711017877e-09
1806,6.916005901302924e-08,0.0
1807,1.7081731584767113e-08,0.0
1808,5.211970233176544e-08,2.2660739951163578e-09
1809,3.840352036377226e-08,6.7770917766551975e-09
1810,3.2761775514700275e-08,2.3401267590372754e-09
1811,2.5070768572277302e-08,0.0
1812,6.13457871168066e-08,0.0
1813,5.751483289628823e-09,0.0
1814,1.1328037885505182e-07,3.1466771410748606e-09
1815,1.8880564667256294e-08,0.0
1816,3.244645441213834e-08,2.0858434979231788e-08
1817,5.7604317760251433e-08,0.0
1818,4.2916237674717195e-08,0.0
1819,4.243930362690662e-08,0.0
1820,3.441279616822612e-08,0.0
1821,5.226588939422072e-08,9.86148829262845e-10
1822,1.0326384369818697e-07,3.0076847679083585e-09
1823,4.644862983127496e-08,0.0
1824,3.03160057057994e-08,1.6842225392110777e-09
1825,9.509878395874694e-08,8.805443041381977e-10
1826,5.108631029315802e-08,8.807984341885344e-10
1827,6.452091128039683e-08,0.0
1828,4.035812395386529e-08,9.172301251858528e-10
1829,3.8579290873030914e-08,8.57317605795771e-10
1830,3.339787468803479e-08,4.174734336004349e-09
1831,5.9246584527272717e-08,0.0
1832,4.329590197471589e-08,1.3529969367098715e-09
1833,8.108539617524002e-09,1.1583628500844156e-09
1834,4.29388435918554e-08,9.334530925997342e-10
1835,3.100866052818674e-08,1.0588323107185715e-08
1836,6.72075017860152e-08,4.704525213838906e-09
1837,3.826840000442644e-08,1.3915781860163179e-09
1838,2.840472923537618e-08,0.0
1839,3.216078425793967e-08,6.9914749545318955e-09
1840,3.9492068282243054e-08,1.9109065441114126e-09
1841,2.43980835534785e-08,4.494383976094696e-09
1842,3.890793820460203e-08,6.708265054555795e-09
1843,3.2488010504039266e-08,0.0
1844,3.677336124496833e-08,5.488561272137815e-10
1845,3.627148004170522e-08,1.1160455892778032e-09
1846,4.9177810268474786e-08,2.3418005312692003e-09
1847,5.2314270249098627e-08,5.393223645455691e-10
1848,4.103063133698015e-08,8.045221711050488e-10
1849,3.603148357456121e-08,8.379414939696517e-10
1850,1.1541293254424545e-08,0.0
1851,3.4826967976187007e-08,0.0
1852,3.7761164861649377e-08,1.3021090872200602e-09
1853,3.762317035693741e-08,5.971931837933653e-10
1854,3.4810952342922974e-08,2.5978321716024766e-09
1855,4.351688431825096e-08,1.0613874223963649e-09
1856,3.727576114442854e-08,0.0
1857,3.270611159678083e-08,0.0
1858,4.942612719105455e-08,0.0
1859,2.34239969643113e-08,1.018434669930457e-09
1860,3.249800428761773e-08,9.154367819341758e-10
1861,5.046081241744105e-08,0.0
1862,5.783022416494532e-08,3.162590411776023e-09
1863,5.4940830551686304e-08,7.491931519609807e-09
1864,5.3221480555976086e-08,0.0
1865,5.271665770578693e-08,2.3534221238463715e-09
1866,5.54679857600604e-08,4.379051787850585e-09
1867,3.688136729351754e-08,9.7056229719783e-10
1868,3.853101659956337e-08,4.93987406535723e-10
1869,3.711474505507795e-08,1.953407657850903e-09
1870,7.0528798801206e-08,2.2936195165357276e-09
1871,6.478918379571041e-08,0.0
1872,5.019291648977742e-08,6.047339518033823e-09
1873,4.968383748860106e-08,3.591602570907071e-09
1874,5.675878611555163e-08,3.5847653734322193e-09
1875,3.661777370211894e-08,8.010138330405425e-09
1876,4.17175023414984e-08,2.418405919968336e-09
1877,2.4739264858908427e-08,1.2369631985365004e-09
1878,3.01954443671093e-08,1.2078177347163432e-09
1879,4.459807456669296e-08,1.832797580370027e-09
1880,5.0059199452334724e-08,1.9253538763308597e-09
1881,5.508281120114589e-08,6.972507571312292e-10
1882,4.6587697255517924e-08,1.9966155395678697e-09
1883,4.2971503688704615e-08,3.159669414998234e-09
1884,5.677459569142229e-08,2.6406787867472303e-09
1885,4.254119545521462e-08,3.86738152613475e-09
1886,3.0976625708944994e-08,6.453463874400711e-10
1887,6.137189245691843e-08,0.0
1888,3.6775563927449184e-08,6.340614699951175e-10
1889,2.944614330147033e-08,5.012109394186837e-09
1890,4.0637196718762425e-08,0.0
1891,2.932141285327816e-08,6.3742202627281586e-09
1892,3.949162774574688e-08,6.268512375839919e-10
1893,3.87980243488073e-08,2.463366621796581e-09
1894,3.465846631911518e-08,0.0
1895,3.611168608586013e-08,6.6204757231957956e-09
1896,3.538217541176891e-08,4.717623180994224e-09
1897,3.96216535136773e-08,5.826713556089658e-10
1898,4.3003495875382214e-08,2.8291773368493978e-09
1899,4.145683618617113e-08,5.527578395003729e-10
1900,5.0353214930964896e-08,7.26747462209687e-09
1901,4.470991044058792e-08,1.1177477832191585e-09
1902,2.5042448115186744e-08,0.0
1903,3.6181475593366486e-08,1.0800440541913758e-09
1904,4.72967016662551e-08,3.2247751136083025e-09
1905,6.605771574186292e-08,1.0321518084666081e-09
1906,5.041300710217911e-08,0.0
1907,3.651418722938615e-08,5.142843373384665e-10
1908,4.174680867663483e-08,1.4734167219643268e-09
1909,3.960708028216686e-08,5.500983557560346e-10
1910,5.076943310200477e-08,0.0
1911,2.500575924102577e-08,2.128149656499545e-09
1912,4.5842906359894187e-08,0.0
1913,4.2423916823963737e-08,1.060597942803554e-09
1914,3.549274296688054e-08,0.0
1915,4.7123048574349014e-08,0.0
1916,7.801097723358907e-08,1.0987462051303964e-09
1917,8.005489604556715e-08,0.0
1918,9.763419939190499e-08,0.0
1919,4.603924352863942e-08,1.8415696745321952e-09
1920,7.496509368820625e-08,5.300562211374427e-09
1921,3.256281289054641e-08,1.5145494858259667e-09
1922,6.345024416987144e-08,2.951174193910333e-09
1923,3.290944050604594e-08,6.369568872344189e-09
1924,4.383152329978657e-08,1.289162443462999e-09
1925,4.179307566687385e-08,5.499089184013428e-09
1926,4.7928395474627905e-08,2.229227691330493e-09
1927,3.5677519605314956e-08,2.2298449753321847e-09
1928,5.0274582719112004e-08,1.1426041224282812e-09
1929,5.23599084090165e-08,0.0
1930,3.151081173768944e-08,3.1510811737689437e-09
1931,2.3951248095954725e-08,1.1405356659111021e-09
1932,5.589363638591749e-08,1.0959536611565568e-09
1933,1.261772819560747e-08,1.1470662197865522e-09
1934,3.4746584276490466e-08,1.1981580172459871e-09
1935,4.4282650435434334e-08,0.0
1936,3.031178508194898e-08,1.2124714565686645e-09
1937,3.5255130370615007e-08,1.2591118148108649e-09
1938,4.797129449229942e-08,0.0
1939,1.988226472349197e-08,1.5294050470515685e-09
1940,3.803674530900025e-08,0.0
1941,3.246652724442356e-08,8.854508237732261e-09
1942,4.5513175450651033e-08,3.034211770724937e-09
1943,2.0322646676618206e-08,0.0
1944,3.855823393905666e-08,3.2131861615880553e-09
