year,nos_DET oies_NOUN,nos_DET bois_NOUN
1800,1.8864987794131594e-08,7.042928231726364e-07
1801,2.1430643926123594e-08,7.095924297040312e-07
1802,8.951360541686881e-09,6.691142289128038e-07
1803,5.070882025393075e-08,1.1214450594820846e-06
1804,1.4831105232815389e-08,8.206545327738013e-07
1805,3.41145314219915e-08,8.642347966159036e-07
1806,5.76333825108577e-09,9.970575716167218e-07
1807,8.540865792383556e-09,4.6690064348098304e-07
1808,4.5321479902327155e-09,8.543098797275661e-07
1809,4.0662548883574345e-08,9.713831197188938e-07
1810,0.0,7.090584057678484e-07
1811,5.0141535368197765e-09,9.67731603296329e-07
1812,8.00162425207418e-09,5.04102342091528e-07
1813,0.0,4.514914249131863e-07
1814,3.1466771410748606e-09,6.324820986947088e-07
1815,0.0,3.749140797815187e-07
1816,9.270415546325239e-09,5.979417849744095e-07
1817,2.8023721676539992e-08,7.597541955561837e-07
1818,4.172412104708201e-08,7.188470245722556e-07
1819,7.24573512300708e-09,6.635022895551401e-07
1820,1.6613073583471305e-08,5.92137403110371e-07
1821,8.875339574387908e-09,7.218609314740831e-07
1822,1.2030739071633434e-08,6.837470181153549e-07
1823,5.929612023614084e-09,5.791254462650386e-07
1824,1.1789557774477544e-08,5.928463195914446e-07
1825,3.25801385869795e-08,5.758759735741137e-07
1826,1.7615968683770689e-09,6.940691879009364e-07
1827,7.373818444733615e-09,7.226341818267201e-07
1828,3.485474309172787e-08,4.6595289343587254e-07
1829,2.5719527840806222e-08,1.2971215763712962e-06
1830,6.262101504006523e-09,5.771570315005192e-07
1831,1.5591206548037917e-08,1.1397171286731123e-06
1832,1.352996914505411e-08,4.234880326414725e-07
1833,2.3167257445777523e-08,7.066013507639468e-07
1834,1.8669062296083894e-08,6.944891115523433e-07
1835,1.5882484660778573e-08,6.15635350698085e-07
1836,2.8899224790990274e-08,5.443807382654597e-07
1837,2.574419688539109e-08,6.749154279894753e-07
1838,1.325553999897977e-08,4.58894157562284e-07
1839,8.389769878824893e-09,5.425384492774299e-07
1840,1.2102408852854296e-08,4.0702311854268203e-07
1841,3.017657901338566e-08,7.351528021892761e-07
1842,1.408735617047796e-08,4.0987500682376776e-07
1843,6.497602123012314e-09,3.845399063617805e-07
1844,6.037417454862748e-09,4.813468232889306e-07
1845,5.5802281129224696e-09,4.42512066989309e-07
1846,3.5127007969038004e-09,4.6133469622233747e-07
1847,2.3730184928183462e-08,3.219754400873853e-07
1848,2.011305477722658e-08,4.151334374036253e-07
1849,2.011059585527164e-08,1.023126559474008e-06
1850,5.431196825611551e-09,4.793031305183604e-07
1851,1.2898877521649865e-08,6.27530394758935e-07
1852,1.6276363812295358e-08,5.748811500172479e-07
1853,1.5527023222716707e-08,5.852493096814015e-07
1854,8.832629738719788e-09,4.1149662965977996e-07
1855,9.021793090369101e-09,4.882382107496142e-07
1856,8.28350277259915e-09,3.3185784165112864e-07
1857,3.417056471111124e-09,4.5837371143164773e-07
1858,9.29798454896158e-09,3.5674899212523314e-07
1859,1.171199848215565e-08,4.7204447195525745e-07
1860,1.830873536112776e-09,5.112714704935684e-07
1861,1.1789909493131745e-08,5.687452286906591e-07
1862,3.162590467287174e-09,5.710734654051919e-07
1863,3.496234635136375e-09,4.435223419640977e-07
1864,7.192092144059359e-09,4.23853936837304e-07
1865,1.0355057922240007e-08,5.026910012695396e-07
1866,2.919367858567057e-09,5.094296469110304e-07
1867,5.82337378318698e-09,6.318360750157126e-07
1868,1.2843672791973404e-08,6.540393209242268e-07
1869,1.0255390092694938e-08,4.937238116120568e-07
1870,4.587239033071455e-09,7.127422421149276e-07
1871,0.0,6.25587322389265e-07
1872,5.442605477412599e-09,5.896155845785955e-07
1873,1.1373408437265198e-08,4.657111611905407e-07
1874,5.974609251779839e-09,5.353249972195329e-07
1875,2.8607636259891933e-09,5.338184561054504e-07
1876,1.209202959984168e-09,5.707437775726021e-07
1877,1.2988113695655557e-08,5.727139469335896e-07
1878,4.831270938865373e-09,5.042638804297894e-07
1879,6.720257905712401e-09,4.6736339065489574e-07
1880,1.7328185109022343e-08,4.6144313747831234e-07
1881,2.091752326904839e-09,4.790112748676023e-07
1882,3.9932310791357395e-09,4.605526549017469e-07
1883,6.319338829996468e-09,4.549924130792249e-07
1884,8.582206056928499e-09,4.053441955420567e-07
1885,3.86738152613475e-09,3.9447291255712e-07
1886,1.0970888419947755e-08,3.594579345289617e-07
1887,1.1752063988623718e-08,3.2448755882263924e-07
1888,8.87686035788704e-09,2.967407726206517e-07
1889,8.14467782106476e-09,4.172581185013513e-07
1890,9.176141124722648e-09,3.8867512375251323e-07
1891,7.649064048820264e-09,5.175866419904196e-07
1892,7.522214851007902e-09,3.46648739713018e-07
1893,6.158416665513755e-09,3.9475449509218663e-07
1894,3.150769645188234e-09,4.5245051483178145e-07
1895,1.083350631425617e-08,3.9542296903505303e-07
1896,2.9485144326102386e-09,3.5559083366720756e-07
1897,6.992056267307589e-09,3.6591761709559023e-07
1898,5.658354784721098e-09,3.960848498074654e-07
1899,4.4220627160029835e-09,4.3612594069486477e-07
1900,4.671947717582725e-09,3.571444697758608e-07
1901,3.912117296778206e-09,3.4258968395484146e-07
1902,6.8743973291596205e-09,2.8185028799754264e-07
1903,2.214090244478939e-08,3.5479446269803816e-07
1904,3.7622376325430196e-09,3.455884014513799e-07
1905,1.9094808956232612e-08,3.5764060468679304e-07
1906,8.745113411201544e-09,3.148240881323261e-07
1907,1.1314255032868203e-08,4.119417524317548e-07
1908,1.964555629285769e-09,4.53812347922522e-07
1909,5.500983391026892e-09,3.6031443340078795e-07
1910,4.275320542035388e-09,3.56989252825457e-07
1911,2.128149656499545e-09,3.378437447576488e-07
1912,1.0418842455450772e-09,3.651804423299154e-07
1913,3.71209285532359e-09,3.441640323842421e-07
1914,6.696743715117748e-10,3.9912593852164946e-07
