year,les_DET oies_NOUN,les_DET bois_NOUN
1800,1.2576657759666432e-06,3.0583287525587366e-05
1801,1.1977348979286262e-06,2.362847499171039e-05
1802,1.163676898841004e-06,2.4249234911621897e-05
1803,2.1687771649681054e-06,3.8647923020107555e-05
1804,1.3867083934471225e-06,2.928154685832851e-05
1805,2.2146017630841897e-06,3.3426555773985456e-05
1806,5.79215488016871e-07,2.4785236405477917e-05
1807,5.523092792003581e-07,2.2815498937234224e-05
1808,9.789439445739845e-07,2.7249540153206908e-05
1809,1.5790623262290637e-06,3.498108890198637e-05
1810,8.284048975681912e-07,2.6216440687676368e-05
1811,6.86939027438882e-07,2.5198628009093227e-05
1812,3.040617375660304e-07,2.162038936148747e-05
1813,4.486156939265129e-07,1.8246580566483317e-05
1814,4.6256154684343187e-07,1.6155040839294088e-05
1815,5.772058635500343e-07,2.194461154658711e-05
1816,7.207747927395758e-07,2.586445941687998e-05
1817,6.896949305001954e-07,2.5453322905377718e-05
1818,1.624856460047397e-06,1.9892868408533104e-05
1819,3.560761119292266e-07,1.7400115837062913e-05
1820,6.028172503391716e-07,1.7988399008572742e-05
1821,3.8361188581248484e-07,1.994288788864651e-05
1822,7.128213184159904e-07,1.7351333895021526e-05
1823,6.453394680860924e-07,2.1450372173603682e-05
1824,4.7326652907742073e-07,1.9905826889043965e-05
1825,8.04817498867294e-07,2.2622064193456026e-05
1826,4.862007410011415e-07,2.1431587583720102e-05
1827,7.521294603796136e-07,2.697342733881669e-05
1828,6.741641236374107e-07,1.9882797460013535e-05
1829,5.332515518041703e-07,1.9979787225565815e-05
1830,5.604580937124126e-07,2.077973999803362e-05
1831,5.347783620379687e-07,2.081737898151914e-05
1832,4.7354891563600177e-07,2.0106886950088665e-05
1833,5.444305370971847e-07,2.531022880702949e-05
1834,6.823541847111869e-07,2.1632775087709888e-05
1835,6.239547474251594e-07,2.091647650104278e-05
1836,6.431757593183818e-07,2.155411721105338e-05
1837,5.656765456052426e-07,1.9146723957419454e-05
1838,5.655697066231369e-07,1.7879829385947232e-05
1839,5.949745203182033e-07,1.8585438169793633e-05
1840,4.834593818614508e-07,1.7742130580700177e-05
1841,4.25040309615099e-07,1.8351853555031994e-05
1842,4.320122641843227e-07,1.7528026660329488e-05
1843,4.690087438419255e-07,1.5767317904646916e-05
1844,4.7476054065853646e-07,1.8343320562053123e-05
1845,6.679532877917893e-07,1.6642471678096626e-05
1846,3.9225158054989606e-07,1.704947817415814e-05
1847,7.286245065074581e-07,1.791413137652853e-05
1848,5.044354058902911e-07,1.8038191228697542e-05
1849,4.047257355921374e-07,2.9690781730096205e-05
1850,4.4332145066050543e-07,1.6623535088911012e-05
1851,5.559416085265667e-07,1.964176487945224e-05
1852,5.162862439789251e-07,1.8717818534241815e-05
1853,6.819946207770045e-07,1.9030755311177927e-05
1854,4.494249861153321e-07,1.579430056608544e-05
1855,5.046897229021852e-07,1.668235654506134e-05
1856,4.902798327321989e-07,1.5439414028151077e-05
1857,4.115112304248214e-07,1.751924844484165e-05
1858,4.0519638666580704e-07,1.6306217617056973e-05
1859,5.412980277341717e-07,1.655465598560113e-05
1860,4.641264600979689e-07,1.69561768643689e-05
1861,4.7253954882364724e-07,1.6022486420297355e-05
1862,4.716777590729748e-07,1.6819107713672565e-05
1863,4.390271755028152e-07,1.6059204313023656e-05
1864,5.489963399440967e-07,1.562841566737916e-05
1865,5.492887309443972e-07,1.6268266449515068e-05
1866,4.1406367046192827e-07,1.5534929275418108e-05
1867,5.74572872835688e-07,1.876824921964726e-05
1868,6.001947054912193e-07,1.7197184433825896e-05
1869,4.903053287819148e-07,1.4223737878182874e-05
1870,4.656047671858232e-07,1.686498512754042e-05
1871,5.703572205639773e-07,1.860299289546674e-05
1872,4.3540843108758054e-07,1.635986757264618e-05
1873,5.225781896101012e-07,1.5458856410077715e-05
1874,5.580284909711963e-07,1.710172193725157e-05
1875,4.828969011327899e-07,1.6853902025104617e-05
1876,4.6554313826163707e-07,1.5691826888541982e-05
1877,6.110598054220873e-07,1.662354816289735e-05
1878,4.813153733351783e-07,1.6484295656482573e-05
1879,4.661415058393459e-07,1.6813474303489784e-05
1880,6.327996473487474e-07,1.5851438092795433e-05
1881,5.68956634694473e-07,1.6024217302401667e-05
1882,5.051437419467675e-07,1.8302308376405563e-05
1883,6.243506760483797e-07,1.7402828120793856e-05
1884,5.644450800090794e-07,1.689836346940865e-05
1885,4.10586999510798e-07,1.571703796798829e-05
1886,4.5238780543854773e-07,1.5037861885502934e-05
1887,4.968511522207564e-07,1.681067465142405e-05
1888,4.3496617152527506e-07,1.6982701708911918e-05
1889,4.4858378878132044e-07,1.8388176613370888e-05
1890,4.817473957530183e-07,1.6054313846325385e-05
1891,4.2707273628650455e-07,1.6998769524434465e-05
1892,5.904938618073174e-07,1.4559246551471006e-05
1893,5.413248107544177e-07,1.4487674661722849e-05
1894,3.7494157112405446e-07,1.636887816403032e-05
1895,3.9482110825161953e-07,1.5271030633812188e-05
1896,5.183488394067126e-07,1.4085053635426448e-05
1897,4.492396001865018e-07,1.4512595612359291e-05
1898,4.837893285980499e-07,1.4810743664384063e-05
1899,5.378333831629334e-07,1.535450689971185e-05
1900,4.2981919623485965e-07,1.5000586131463933e-05
1901,3.917705884148859e-07,1.4066297012504947e-05
1902,3.3831854984178733e-07,1.1923642432520865e-05
1903,3.9529613271582775e-07,1.4402387819245632e-05
1904,4.6651745932990707e-07,1.4336812682813616e-05
1905,4.180214836502216e-07,1.6622804423604975e-05
1906,4.840677552131467e-07,1.4920192484169092e-05
1907,4.4639880325547665e-07,1.479544653193443e-05
1908,4.16976919659362e-07,1.5136410411287216e-05
1909,3.9001974716512677e-07,1.3007625852878846e-05
1910,5.509819449578401e-07,1.4134209322946845e-05
1911,4.878783039785617e-07,1.4241045391827356e-05
1912,4.3759138845800294e-07,1.2847474863519892e-05
1913,3.887091333254489e-07,1.2508692520896147e-05
1914,4.855139064119385e-07,1.27860929524104e-05
1915,2.473959943571913e-07,1.496392371791444e-05
1916,2.6809406961092463e-07,1.3449752259475645e-05
1917,3.893080684491679e-07,1.3907619859310216e-05
1918,3.652667697195966e-07,1.4648575870523928e-05
1919,4.797288877256278e-07,1.6444296875306463e-05
1920,4.3616053879702577e-07,1.329305280250992e-05
1921,4.4300572987765463e-07,1.2953941450177808e-05
1922,4.84730355410079e-07,1.3264052199701837e-05
1923,4.299459046563925e-07,1.3128742693879758e-05
1924,4.963275417324553e-07,1.3781146321889537e-05
1925,3.838364168728958e-07,1.3810412042403186e-05
1926,4.514186233706141e-07,1.5129768371480168e-05
1927,4.325899194412841e-07,1.3771522503702727e-05
1928,3.850575769348552e-07,1.2721754274025443e-05
1929,4.1999331834574605e-07,1.285937116790592e-05
1930,3.497700085119959e-07,1.2595921589309e-05
