year,suis_VERB au_ADP,suis_VERB beau_ADV
1800,8.17482771253708e-07,1.2576657937302116e-08
1801,1.4953826621422195e-06,2.3811825844433088e-09
1802,7.742926868559152e-07,0.0
1803,8.932553896556783e-07,2.5354410126965377e-08
1804,2.1455666683323216e-06,1.2359254952798437e-08
1805,1.2195945373605355e-06,8.528632911009026e-09
1806,1.6339064359272015e-06,5.76333825108577e-09
1807,8.512395766047121e-07,0.0
1808,7.070150900290173e-07,2.2660739951163578e-09
1809,1.0504492138352362e-06,2.259030518203531e-09
1810,1.6825511011120398e-06,1.1700633351097167e-08
1811,1.2410030194587307e-06,5.0141535368197765e-09
1812,1.1895748457391164e-06,2.400487453257938e-08
1813,1.1675510904751718e-06,5.751483289628823e-09
1814,8.873629440131481e-07,1.5733386149463513e-08
1815,9.763949719854281e-07,2.1577788444915313e-08
1816,7.972557227731158e-07,2.3176038865813098e-09
1817,1.3716054354517837e-06,6.227493631882908e-09
1818,1.6379697171942098e-06,7.152706427149269e-09
1819,9.440157668905158e-07,2.173720581311045e-08
1820,1.5485758240174619e-06,5.933240565525466e-09
1821,1.876641249509703e-06,4.930744257336528e-09
1822,1.5389319969472126e-06,5.012807946513931e-09
1823,1.5535583770542871e-06,3.261286707356703e-08
1824,1.3069567330603604e-06,1.6842225392110777e-08
1825,1.4159152215142967e-06,1.4969252504215547e-08
1826,7.909570172159874e-07,1.4092774947016551e-08
1827,9.291011338063981e-07,1.3825909306319772e-08
1828,9.851052027443075e-07,1.0089530988466322e-08
1829,9.216164471581578e-07,2.3147574523818548e-08
1830,1.1637072248049662e-06,9.39315203396518e-09
1831,1.3268116845210898e-06,6.236482441579483e-09
1832,1.2758761158693233e-06,1.352996914505411e-08
1833,1.0958112852677004e-06,4.9809603552830595e-08
1834,9.334530659543816e-07,3.360431222176885e-08
1835,1.1208496744075092e-06,2.0420337421001022e-08
1836,1.0901056839429657e-06,1.8818100855355624e-08
1837,9.379236871609464e-07,1.461157062010443e-08
1838,8.849651180753426e-07,3.092959488526503e-08
1839,7.704605877734139e-07,1.11863602825224e-08
1840,7.611777732563496e-07,1.4013314952876499e-08
1841,7.878012979745108e-07,2.247191943638427e-08
1842,9.042741453413328e-07,2.1466448174578545e-08
1843,9.492405865785258e-07,1.8902115428431898e-08
1844,7.497374667764234e-07,1.1525978393933656e-08
1845,8.152712780429283e-07,1.2834524554250493e-08
1846,7.429362085531466e-07,1.1123552745573306e-08
1847,6.196813728820416e-07,1.4022381478184798e-08
1848,8.600342198405997e-07,1.528592186161859e-08
1849,6.728670314259944e-07,6.703531951757213e-09
1850,7.780189434924978e-07,6.788996032014438e-09
1851,6.907349074936064e-07,1.2253933867611977e-08
1852,8.053544888753095e-07,1.3021090872200602e-08
1853,8.127799446810968e-07,5.3747388761848924e-09
1854,7.996127351361793e-07,7.79349651480743e-09
1855,1.0937596925941762e-06,2.865746040470185e-08
1856,9.298231589127681e-07,1.2942972915652717e-08
1857,9.489653507444018e-07,1.4644527368545823e-08
1858,1.0076079206555733e-06,2.6425849952715907e-08
1859,1.0128333087777719e-06,2.5970084749360467e-08
1860,9.927912287821528e-07,1.2358396972445007e-08
1861,1.0040287179435836e-06,4.33868656557479e-08
1862,1.147568468695681e-06,1.2198563048571032e-08
1863,1.034885485751147e-06,2.0477944673302773e-08
1864,1.0874442750719027e-06,1.6302074357099627e-08
1865,1.1442339200584684e-06,1.4120533187167439e-08
1866,1.002316253106983e-06,1.4596838404656864e-08
1867,1.0685890856620972e-06,1.7955402498159856e-08
1868,9.75131115410477e-07,1.0867722721741302e-08
1869,1.0587469887468615e-06,3.369628132077196e-08
1870,9.317829494648322e-07,2.2362790730312554e-08
1871,9.006758432406059e-07,5.3105884134652115e-09
1872,1.0105103456226061e-06,1.9351485747165498e-08
1873,8.146952268361929e-07,1.3767810003173508e-08
1874,8.537716666978667e-07,8.364453130127458e-09
1875,1.171768758467806e-06,2.5174719198162165e-08
1876,9.818728585742065e-07,1.209202959984168e-08
1877,1.0767764706542948e-06,7.421779191219002e-09
1878,8.406411211581144e-07,2.2344627481629686e-08
1879,1.0538585684116697e-06,1.1607718342077078e-08
1880,1.0153032690141117e-06,2.631317030932223e-08
1881,1.084224891201302e-06,2.5798277292210514e-08
1882,1.0289224974258104e-06,9.317538740560849e-09
1883,1.073023781827942e-06,8.21514056781325e-09
1884,9.5460541160719e-07,2.0465261485469455e-08
1885,6.806591272834339e-07,1.0957580620640783e-08
1886,6.685788775939727e-07,7.744156427236248e-09
1887,8.494130838698766e-07,1.5016526688782506e-08
1888,7.538990871580609e-07,1.2047167707862627e-08
1889,8.382752980651276e-07,1.8795409673089125e-08
1890,7.537544206570601e-07,3.2771931834929546e-09
1891,7.311230660889123e-07,1.8485238229004608e-08
1892,8.055038165366568e-07,2.0686091062316336e-08
1893,6.718832423757704e-07,8.621783287310336e-09
1894,6.881280683046498e-07,5.671385139294216e-09
1895,7.992720156835276e-07,4.814891596538473e-09
1896,7.477432859559485e-07,9.435246361988447e-09
1897,7.353312412305968e-07,4.661370844871726e-09
1898,8.634649475425249e-07,2.4896761985360172e-08
1899,8.567746476728644e-07,1.0502398950507086e-08
1900,6.561490977219364e-07,9.863001082521805e-09
1901,7.052988735267718e-07,1.620734302321125e-08
1902,5.813776056129427e-07,1.4239823542538943e-08
1903,5.972643748464179e-07,5.940242076007962e-09
1904,7.169750233515515e-07,1.2361637935498493e-08
1905,7.895961289250408e-07,1.651442893546573e-08
1906,7.561951065326866e-07,1.594697174311932e-08
1907,8.177120776053926e-07,1.5942815068115124e-08
1908,8.089057814686385e-07,2.1118973236866623e-08
1909,8.62554202285537e-07,1.5952851484257735e-08
1910,1.0330243185308063e-06,3.7943468811363346e-08
1911,8.273181606455182e-07,1.3300935464144459e-08
1912,9.694732625575853e-07,1.0418842677495377e-08
1913,7.609790486640122e-07,2.1211958411981868e-08
1914,8.431200058112154e-07,3.3483718020477227e-09
1915,7.645714390491776e-07,1.6493066468115103e-08
1916,9.70192900240363e-07,1.4283700444650549e-08
1917,8.455113515992707e-07,3.070598708632133e-08
1918,7.925599447844434e-07,8.040463406189247e-09
1919,8.342310593434377e-07,1.2890987832747669e-08
1920,8.162865583472012e-07,1.817335615328375e-08
1921,8.640504916002101e-07,2.7261890522822796e-08
1922,9.163395588984713e-07,1.770704471937279e-08
1923,8.874932859725959e-07,1.6985516992917837e-08
1924,1.0919205806203536e-06,4.383152329978657e-08
1925,1.0019340379585628e-06,2.3096173862313663e-08
1926,9.730579222377855e-07,1.114613823460786e-08
1927,1.138335846917471e-06,4.0137209111890115e-08
1928,8.672365083839395e-07,1.3711249025050165e-08
1929,1.0449700766912429e-06,2.4508894469477127e-08
1930,1.0398567837910377e-06,2.7309368988426286e-08
1931,8.759313914197264e-07,1.710803587684495e-08
1932,8.581317274547473e-07,1.0959536389520963e-08
1933,9.199471264764725e-07,6.882397318719313e-09
1934,8.530885224899976e-07,1.677421224144382e-08
1935,8.413703653786797e-07,1.4361940969820353e-08
1936,7.226329898912809e-07,1.8187071404440758e-08
1937,7.353212936322961e-07,8.813782592653752e-09
1938,9.231232525053201e-07,1.6854778905894818e-08
1939,7.203497602858988e-07,1.2235240376412548e-08
1940,5.781585059594363e-07,0.0
1941,9.710443009680603e-07,5.9030051957620344e-09
1942,8.829556463751942e-07,3.034211815133858e-08
1943,8.216155720219831e-07,3.774205836748479e-08
1944,1.0892700856857118e-06,1.2852744646352221e-08
1945,9.45470731039677e-07,1.5249527862692958e-08
1946,1.0649645219018566e-06,2.0881657292193267e-08
1947,1.1193698128408869e-06,3.814678706248742e-08
1948,1.1013222547262558e-06,2.6092530802657166e-08
1949,9.443962198929512e-07,2.6505922789965553e-08
1950,1.1092681688751327e-06,1.808011518278363e-08
1951,1.1716880408130237e-06,2.3455083209000804e-08
1952,9.732854096000665e-07,2.1089608281954497e-08
1953,1.0332100828236435e-06,2.9089333608567358e-08
1954,1.0964785133182886e-06,2.6385848173049453e-08
1955,9.329294243798358e-07,2.2525458831523792e-08
1956,1.127643599829753e-06,1.831439710997529e-08
1957,8.58765645261883e-07,2.738861759610245e-08
1958,9.835697483140393e-07,3.4743422361316334e-08
1959,9.975212833523983e-07,2.2477168570844697e-08
