year,les_DET aveux_NOUN,les_DET baveux_ADJ
1800,1.0218534622907782e-06,0.0
1801,9.905719338121344e-07,0.0
1802,7.474386052308546e-07,0.0
1803,7.216255080155776e-07,0.0
1804,9.393033586491129e-07,0.0
1805,1.4555534271210036e-06,0.0
1806,9.134891216788787e-07,0.0
1807,1.4007019117912023e-06,0.0
1808,8.407134579613285e-07,0.0
1809,8.719857906847039e-07,0.0
1810,1.0717780094537943e-06,0.0
1811,8.198141188131558e-07,0.0
1812,1.4776333792099194e-06,0.0
1813,2.133800236947536e-06,0.0
1814,1.0226700553062074e-06,0.0
1815,8.064698668874826e-07,0.0
1816,8.830070914456201e-07,0.0
1817,1.1287332377651893e-06,0.0
1818,1.276758149870716e-06,0.0
1819,1.5071128793842092e-06,0.0
1820,1.038317093637886e-06,0.0
1821,1.1991569639491217e-06,0.0
1822,1.037651230717529e-06,0.0
1823,1.1019195707007157e-06,0.0
1824,1.213482372364183e-06,0.0
1825,1.105083143881913e-06,0.0
1826,1.204051489400726e-06,0.0
1827,1.6157879135780817e-06,0.0
1828,1.1144346576674735e-06,0.0
1829,1.2113898218979458e-06,0.0
1830,1.2920802188176594e-06,0.0
1831,1.1693404411428077e-06,0.0
1832,1.0363956517434048e-06,0.0
1833,8.583468981138154e-07,0.0
1834,9.530556293046999e-07,0.0
1835,1.0679079807118796e-06,0.0
1836,1.0262585671827473e-06,0.0
1837,8.398174240475953e-07,0.0
1838,9.663919697810996e-07,0.0
1839,9.90692054170239e-07,6.9914751765765e-10
1840,1.0446289486765181e-06,0.0
1841,9.335477462180108e-07,0.0
1842,8.854909769873132e-07,0.0
1843,1.1760660050263994e-06,0.0
1844,1.0181281053789348e-06,0.0
1845,1.2566673746050583e-06,0.0
1846,1.291502996325633e-06,0.0
1847,9.97207021846691e-07,0.0
1848,8.584251458554348e-07,0.0
1849,1.1060827880271518e-06,0.0
1850,9.83046643199259e-07,0.0
1851,1.065447284842591e-06,0.0
1852,1.0937716181658175e-06,0.0
1853,1.1215287860633083e-06,0.0
1854,1.077061250853717e-06,0.0
1855,1.1187023645220506e-06,1.0613874223963649e-09
1856,9.815951025338165e-07,0.0
1857,1.0490363084869614e-06,0.0
1858,1.0717150282779642e-06,0.0
1859,1.2323059643826184e-06,0.0
1860,1.2001376563652855e-06,0.0
1861,9.950683637072189e-07,0.0
1862,1.0635339513509479e-06,0.0
1863,1.1962116586161642e-06,0.0
1864,1.0361406903580672e-06,0.0
1865,1.0806915040628695e-06,0.0
1866,9.49767644531363e-07,0.0
1867,8.497272663277045e-07,0.0
1868,1.0388555115037335e-06,0.0
1869,1.1603241656388263e-06,0.0
