year,nos_DET ailes_NOUN,nos_DET belles_ADJ
1800,4.7162465932615305e-08,2.546773161249405e-07
1801,2.8574191901498125e-08,2.7859834972332465e-07
1802,2.4616241489638924e-08,2.1707049313590687e-07
1803,3.1205427131197894e-08,1.6967950955404376e-07
1804,2.7190360185613827e-08,2.842628692434346e-07
1805,7.107194477384837e-08,3.695741099818406e-07
1806,8.645007376628655e-09,2.3917853742005946e-07
1807,3.131650672116848e-08,1.4804165937576386e-07
1808,2.039466551195801e-08,1.8808413670967639e-07
1809,4.743964154840796e-08,2.1234887181975637e-07
1810,2.574139479349924e-08,1.5210823622879843e-07
1811,3.760615285841595e-08,1.2535383575595915e-07
1812,1.8670456736202823e-08,2.5338477049885455e-07
1813,3.4508900625951355e-08,2.5594101771275746e-07
1814,6.608021774212602e-08,3.461344864064131e-07
1815,3.506390555685357e-08,3.101807122263267e-07
1816,4.4034472068688046e-08,1.83090712368994e-07
1817,7.628679554727569e-08,2.631116071682982e-07
1818,1.668964877410417e-08,3.016057927851534e-07
1819,1.6561680249438382e-08,2.856889924629513e-07
1820,2.610625937649047e-08,2.6818248155535684e-07
1821,2.4653719843392707e-08,3.4712438790052147e-07
1822,5.514088741165324e-08,2.446250277898798e-07
1823,2.1050122711585573e-07,2.450906406714637e-07
1824,6.652679207519441e-08,2.416859317122544e-07
1825,8.101007553662498e-08,2.817741737715096e-07
1826,1.76159691278599e-08,2.589547349884924e-07
1827,1.087638210606201e-07,1.972496388447098e-07
1828,1.7427371545863934e-08,2.036250918990845e-07
1829,7.715858307832946e-08,2.0061231575940752e-07
1830,8.55820516676431e-08,3.5798345887627647e-07
1831,6.704218780129167e-08,3.7730718549511266e-07
1832,2.976593194148336e-08,3.3689622647159467e-07
1833,7.52935847003755e-08,3.7762627869142307e-07
1834,9.054494887195119e-08,3.0710606213624203e-07
1835,3.554651328840919e-08,3.274817146348141e-07
1836,6.787957396170441e-08,2.63453397764124e-07
1837,4.453050017616533e-08,2.9710194660026445e-07
1838,6.880256364638626e-08,2.278690427459651e-07
1839,5.5232654005976656e-08,2.4749821925240667e-07
1840,4.9683572367342776e-08,2.2994576465151795e-07
1841,5.906904743113728e-08,2.703050903107851e-07
1842,7.244926081284575e-08,3.488297899423287e-07
1843,4.075768811340197e-08,2.817596667092914e-07
1844,3.2931367854871496e-08,2.9089373976276534e-07
1845,5.245414191890063e-08,2.907298668475278e-07
1846,4.27378594736183e-08,2.616962220258756e-07
1847,7.06512315318264e-08,2.896161079846138e-07
1848,2.735375304041554e-08,2.8721441536205816e-07
1849,5.9493846293889874e-08,2.7149303605256137e-07
1850,5.974316419354864e-08,3.000736112923619e-07
1851,6.126966911601528e-08,2.921595836369306e-07
1852,3.971432604998881e-08,2.981829947401593e-07
1853,6.210809289086683e-08,2.9143027813205435e-07
1854,6.858277323829043e-08,2.6497889660248575e-07
1855,9.234070574848374e-08,2.632240949651532e-07
1856,1.2891201839337896e-07,2.971706578591693e-07
1857,7.956860059721294e-08,3.212033092836464e-07
1858,9.102237186198181e-08,2.652372268485692e-07
1859,5.9578429301154756e-08,3.075672712071764e-07
1860,7.826984282921501e-08,3.0987534493931435e-07
1861,4.574484901986864e-08,3.5605525638970903e-07
1862,4.9246051236906396e-08,2.7830794468997055e-07
1863,3.845858120854473e-08,2.9767938958258355e-07
1864,5.4180426145578053e-08,3.025473445106286e-07
1865,3.9066808454890634e-08,3.1112240694852744e-07
1866,5.3521742815476614e-08,2.5349843468802646e-07
1867,4.707227141409476e-08,2.499197950811549e-07
1868,3.062721987134864e-08,3.2207978506448853e-07
1869,5.0788599437190385e-08,2.8129069074012136e-07
1870,6.880858594016104e-08,2.5459175745368157e-07
1871,9.983906945620902e-08,2.687157838465737e-07
1872,1.0764263613793901e-07,2.382651729249119e-07
1873,8.200826329129995e-08,2.753561920698644e-07
1874,5.0784177918483664e-08,2.6049296231178687e-07
1875,5.321020313253655e-08,2.986637266388925e-07
1876,3.6880688503160286e-08,2.859764975937651e-07
1877,5.071549180613033e-08,3.234658887407704e-07
1878,4.046189516770937e-08,1.9928992855966499e-07
1879,3.29903571127943e-08,2.572025987745974e-07
1880,5.1984553328665584e-08,2.6826598720219863e-07
1881,3.207353649337108e-08,2.4891852445918516e-07
1882,7.653692790654532e-08,2.3293848627758962e-07
1883,4.170763850952497e-08,2.603567716974453e-07
1884,7.12983307948889e-08,2.9047466654219534e-07
1885,6.703461119528242e-08,2.4106677898316775e-07
1886,4.3238208458085126e-08,2.0844688464194405e-07
1887,5.288428939209666e-08,2.2263632271091183e-07
1888,4.2482117379449846e-08,1.9148656793532837e-07
1889,5.07476087818759e-08,2.2993051862485459e-07
1890,4.7191582197569915e-08,2.484112537892713e-07
1891,4.0157587477551715e-08,2.4668231635160964e-07
1892,3.8864776286118285e-08,2.2378588582228076e-07
1893,3.140792537159598e-08,2.3217229783156768e-07
1894,4.0960006941759275e-08,2.363077165057348e-07
1895,6.259359075500015e-08,2.226887412248857e-07
1896,4.0099798148673926e-08,2.099342335526444e-07
1897,3.088158351260972e-08,2.6628081428725636e-07
1898,3.055511754723739e-08,2.3878257948695136e-07
1899,2.04520400615138e-08,2.808009700316916e-07
1900,4.04902144035546e-08,1.8791612510504763e-07
1901,2.7384819967224416e-08,2.3863914955235543e-07
1902,5.155798099565345e-08,1.9739341361457718e-07
1903,5.778235734332782e-08,2.0412832313354556e-07
1904,3.009790017216574e-08,2.4992006686375134e-07
1905,5.88326523609517e-08,1.888837815045008e-07
1906,4.2696733260072506e-08,2.145124935459819e-07
1907,3.702847217734728e-08,2.7411355585371666e-07
1908,2.603036253212565e-08,2.5784792345717733e-07
1909,4.620826032919467e-08,2.4809436283135256e-07
1910,5.611358311341519e-08,2.2552315614987606e-07
