year,certaines_DET heures_NOUN
1946,1.167980599348084e-06
1947,1.0788388635774027e-06
1948,1.0676193369363318e-06
1949,8.285555281872803e-07
1950,9.454836344957585e-07
1951,7.569595368295268e-07
1952,7.233735459521995e-07
1953,7.961858159433177e-07
1954,7.75939383856894e-07
1955,7.086134132805455e-07
1956,7.107730652933242e-07
1957,6.493752948699694e-07
1958,7.014862717369397e-07
1959,5.689049089596665e-07
1960,6.491741828540398e-07
1961,7.170500566644478e-07
1962,6.532214911203482e-07
1963,6.006963531035581e-07
1964,5.944037297922478e-07
1965,6.59381214518362e-07
1966,6.652428510278696e-07
1967,6.488321560027543e-07
1968,7.374904953394434e-07
1969,6.340293907669547e-07
1970,6.249667308111384e-07
1971,6.546318331857037e-07
1972,4.904420620732708e-07
1973,5.209977302911284e-07
1974,4.326064697579568e-07
1975,4.460665934402641e-07
1976,4.787935381500574e-07
1977,4.172514991296339e-07
1978,4.502968238284666e-07
1979,4.786914473697834e-07
1980,4.144474985423585e-07
1981,4.257094872173184e-07
1982,4.202479146897531e-07
1983,3.561838184396038e-07
1984,4.546422758266999e-07
1985,4.3853418674189015e-07
1986,4.1242060433432925e-07
1987,3.5687170907294785e-07
1988,4.0476737694916665e-07
1989,3.9240072169377527e-07
1990,4.1464232936050394e-07
1991,3.663415668597736e-07
1992,3.515344246807217e-07
1993,3.927298166672699e-07
1994,3.5711252621695166e-07
1995,3.1992459526009043e-07
1996,3.533816936851508e-07
1997,3.433144399878074e-07
1998,3.6905319689140015e-07
1999,3.569327020613855e-07
2000,3.6802202885155566e-07
2001,2.957318088192551e-07
2002,3.7459443547049887e-07
2003,3.3918752251338447e-07
2004,3.73085811133933e-07
2005,3.3192634418810485e-07
2006,3.776105188535439e-07
2007,3.5630756656246376e-07
2008,3.618823711803998e-07
2009,4.081572910763498e-07
2010,3.604254175115784e-07
2011,4.4052157477381115e-07
2012,4.844251861868543e-07
2013,4.398450244025298e-07
2014,5.768745836576272e-07
2015,5.397361064751749e-07
2016,6.170521942294727e-07
2017,3.8237291732912126e-07
2018,4.615662589912972e-07
2019,5.232075750427612e-07
