year,deux_DET aveux_NOUN
1800,6.288328968651058e-09
1801,0.0
1802,6.713520406265161e-09
1803,1.3652374342143503e-08
1804,0.0
1805,5.685755422035754e-09
1806,2.881669125542885e-09
1807,0.0
1808,1.1330369531492579e-08
1809,9.036122072814123e-09
1810,1.6380887757350138e-08
1811,0.0
1812,5.3344164641089264e-09
1813,1.4378708002027452e-08
1814,1.2586708564299443e-08
1815,1.8880564667256294e-08
1816,3.244645441213834e-08
1817,4.670620334934483e-09
1818,1.668964877410417e-08
1819,1.045456041737225e-07
1820,4.746592452420373e-09
1821,9.86148829262845e-10
1822,9.023054303725075e-09
1823,1.3835761869529506e-08
1824,1.431589158329416e-08
1825,1.7610886082763955e-09
1826,1.5854372037438225e-08
1827,3.6869092223668076e-09
1828,1.0089530988466322e-08
1829,8.573175946935407e-09
1830,1.461157062010443e-08
1831,1.5591206548037917e-08
1832,1.3529969367098715e-09
1833,6.950177322551099e-09
1834,4.667265685043276e-09
1835,9.075705520444899e-09
1836,1.1425274948351216e-08
1837,1.7394727436226276e-08
1838,3.1560809521380406e-09
1839,6.292327547896548e-09
1840,1.0191501864653674e-08
1841,4.494383976094696e-09
1842,4.024959032733477e-09
1843,5.31621990873532e-09
1844,6.586273748609983e-09
1845,6.696273757711424e-09
1846,5.854501328173001e-10
1847,5.3932236454556914e-09
1848,0.0
1849,5.02764896381791e-09
1850,4.073397619208663e-09
1851,1.096404567135778e-08
1852,4.557382027314816e-09
1853,1.5527023222716707e-08
1854,2.597832227113628e-09
1855,1.4859423913549108e-08
1856,1.1907535180100126e-08
1857,5.369660049936442e-09
1858,3.4255732694887797e-09
1859,1.4258085601071002e-08
1860,9.15436793036406e-09
1861,1.8863854922557266e-09
1862,9.939570055905733e-09
1863,5.494082799817335e-09
1864,3.3563094525845827e-09
1865,8.001635798393636e-09
1866,7.784980660119345e-09
1867,1.8925964795357686e-08
1868,1.2843672236861892e-08
1869,1.31855019125382e-08
1870,1.0894693147633916e-08
1871,2.7615060460561835e-08
1872,8.466274681317998e-09
1873,2.2746816874530396e-08
1874,1.7326366119618797e-08
1875,1.3731664694205392e-08
1876,1.5719638479794185e-08
1877,6.184815992682502e-10
1878,1.9928991790152395e-08
1879,1.466238042091561e-08
1880,1.3477476912271413e-08
1881,1.4642265844244662e-08
1882,2.1962770935246567e-08
1883,1.8958016156922497e-08
1884,1.4523733327109767e-08
1885,7.283568326243994e-08
1886,1.7424352183326164e-08
1887,2.3504128032758587e-08
1888,1.2681229621946954e-08
1889,1.50363277384713e-08
1890,1.7696843657155625e-08
1891,2.7409146508006188e-08
1892,6.268512153795314e-09
1893,2.52495075958592e-08
1894,4.7261544011689693e-08
1895,3.4306102847381226e-08
1896,1.887049250193229e-08
1897,6.992056378329892e-09
1898,2.6028431632241222e-08
1899,9.39688327150634e-09
1900,1.453494880010453e-08
1901,1.7883964087417326e-08
1902,7.365425880312415e-09
1903,1.6200660812870638e-08
1904,1.4511488011237361e-08
1905,1.7030505006232488e-08
1906,1.0802787775432421e-08
1907,1.3885677219160897e-08
1908,5.402527980535865e-09
1909,8.801573692096554e-09
1910,1.7635697346918278e-08
1911,1.542908534268861e-08
1912,1.3544494859019096e-08
1913,1.749986555665828e-08
1914,6.027069343605973e-09
1915,1.0602685840410686e-08
1916,2.0876177675432928e-08
1917,1.0966424213165737e-08
1918,8.040463406189247e-09
1919,2.8544329566670967e-08
1920,8.329454459499175e-09
1921,9.844571380313027e-09
1922,1.549366501762961e-08
1923,6.369568872344189e-09
1924,2.578324886925998e-09
1925,7.698724324711748e-09
1926,2.229227691330493e-08
1927,1.2264147475349318e-08
1928,6.8556245125250825e-09
1929,4.4561625500705304e-09
1930,1.1553964007759987e-08
1931,2.0529641986399838e-08
1932,6.575722188983946e-09
1933,3.4411986593596566e-09
1934,4.7926320689839486e-09
1935,7.180970484910176e-09
1936,1.2124714565686645e-08
1937,5.036447148221157e-09
1938,7.779128674556546e-09
1939,7.647025235257843e-09
1940,0.0
1941,1.1806010391524069e-08
1942,6.068423541449874e-09
1943,2.9032352077962287e-09
1944,1.927911696952833e-08
1945,6.535512131478072e-09
1946,1.3921104269343232e-08
1947,2.3841741914054637e-09
1948,1.1959076839929139e-08
1949,9.817008095325264e-09
1950,4.2541445921528975e-09
1951,1.0661401539380222e-08
1952,7.381362632230548e-09
1953,3.232148326759443e-09
1954,6.840775279570721e-09
1955,1.3139850985055546e-08
1956,1.5698054633972447e-08
1957,5.3010225653515874e-09
1958,4.1361216673863055e-09
1959,1.6276571201956358e-08
1960,9.689166802218097e-09
1961,6.948159103625784e-09
1962,8.8787386332001e-09
1963,1.5518527352043066e-08
1964,1.0342745992986124e-08
1965,9.849678406226303e-09
1966,9.970334224895794e-09
1967,9.367637221480152e-09
1968,4.0422742653145605e-09
1969,5.904285033109247e-09
1970,6.898087712148282e-09
1971,9.762955111014548e-09
1972,6.669190977248718e-09
1973,7.718485406371656e-09
1974,1.1813700351304135e-08
1975,6.282628195464213e-09
1976,1.1427053969725876e-08
1977,7.05213826224238e-09
1978,8.316827893040113e-09
1979,1.1118749365657266e-08
1980,3.4110903546213933e-09
1981,4.427884725544118e-09
1982,7.449002747961231e-09
1983,9.472973849788957e-09
1984,4.059306057957457e-09
1985,6.015557940663996e-09
1986,2.3977941854269602e-09
1987,4.888653482026939e-09
1988,4.7972429917386705e-09
1989,1.2073868571604862e-08
1990,7.62811153132148e-09
1991,1.2309077312977479e-08
1992,8.264915862810085e-09
1993,8.308811083601597e-09
1994,4.747434001473039e-09
1995,4.337960657352369e-09
1996,7.473328844653793e-09
1997,6.233362825902589e-09
1998,3.814503379828693e-09
1999,7.312321692598545e-09
2000,4.418031385178267e-09
2001,6.571817756650944e-09
