year,petits_ADJ ans_NOUN,petits_ADJ bancs_NOUN
1800,0.0,1.1947824418712116e-07
1801,4.7623651688866175e-09,5.2386017301842e-08
1802,0.0,7.161088433349505e-08
1803,0.0,3.1205427575287104e-08
1804,0.0,5.438072037122765e-08
1805,0.0,5.1171799242411e-08
1806,0.0,2.881669125542885e-09
1807,0.0,3.9857372513552036e-08
1808,0.0,5.211970233176544e-08
1809,0.0,2.25903047379461e-08
1810,2.3401267590372754e-09,4.680253340438867e-08
1811,0.0,4.512738271955641e-08
1812,0.0,5.067695596494559e-08
1813,0.0,8.052076339026826e-08
1814,0.0,7.866692897096073e-08
1815,0.0,6.74305908887618e-08
1816,0.0,1.622322720606917e-08
1817,1.556873407970727e-09,8.407116069975018e-08
1818,0.0,9.536941902865692e-09
1819,0.0,2.898294049202832e-08
1820,0.0,7.357218123615894e-08
1821,0.0,2.465372084259343e-08
1822,0.0,1.0426640528748976e-07
1823,0.0,7.510841726343642e-08
1824,0.0,3.536867154707579e-08
1825,0.0,7.04435478837695e-08
1826,0.0,1.2331177856594877e-07
1827,0.0,7.189472728263979e-08
1828,0.0,5.961995697134626e-08
1829,8.57317605795771e-10,1.0116347937128012e-07
1830,0.0,3.1310506187764986e-08
1831,0.0,1.387617345471881e-07
1832,0.0,1.244757186213974e-07
1833,0.0,1.5174553880115127e-07
1834,0.0,9.801257649932893e-08
1835,0.0,1.8000149282215716e-07
1836,2.688300027031687e-09,4.301280043250699e-08
1837,0.0,4.313892532081809e-08
1838,1.2624323808552163e-09,9.531364497661343e-08
1839,6.9914751765765e-10,1.573081931383058e-07
1840,0.0,5.6053259811505995e-08
1841,6.420548537278137e-10,6.998397594770722e-08
1842,6.708265054555795e-10,7.647422251011449e-08
1843,0.0,7.619915010081968e-08
1844,1.097712254427563e-09,6.641159444598088e-08
1845,5.580227946389016e-10,7.92392356174787e-08
1846,0.0,5.913046408068112e-08
1847,0.0,1.0570718700364523e-07
1848,0.0,1.922807939536142e-07
1849,8.379414939696517e-10,5.614208120618969e-08
1850,0.0,1.0115603998883671e-07
1851,0.0,8.577753618510542e-08
1852,0.0,5.729280161403949e-08
1853,5.971931837933653e-10,6.031650912063924e-08
1854,0.0,2.182179059673217e-08
1855,0.0,6.474463276617826e-08
1856,0.0,1.154513175616323e-07
1857,0.0,9.470127887434288e-08
1858,4.893676019968041e-10,8.563933251437561e-08
1859,0.0,9.471442297126487e-08
1860,0.0,8.971280607283916e-08
1861,0.0,6.696668575223441e-08
