year,ces_DET oies_NOUN,ces_DET bois_NOUN
1800,1.6978488659447066e-07,2.70083734221771e-06
1801,1.2620267497709392e-07,3.2693637308511825e-06
1802,8.727576528144709e-08,2.208748270504657e-06
1803,7.411289004721766e-08,3.1380957352666883e-06
1804,1.1617699158250616e-07,3.1170039278549666e-06
1805,2.2743021688143017e-08,3.2494093034074467e-06
1806,2.305335300434308e-08,3.2188243892505852e-06
1807,6.547996900252429e-08,2.3914423934456863e-06
1808,1.3823051503436545e-07,2.8507211311534775e-06
1809,3.6144488291256494e-08,3.384027650099597e-06
1810,1.6380887757350138e-08,3.1849124866312195e-06
1811,5.515568934910675e-08,2.8781240359876392e-06
1812,2.6672082320544632e-09,2.68054432694953e-06
1813,2.8757416448144113e-09,2.4673863094903936e-06
1814,0.0,2.193233910929848e-06
1815,1.8880564667256294e-08,1.6183341102760096e-06
1816,1.622322720606917e-08,2.171594758237916e-06
1817,4.203558356952186e-08,1.8371106023096218e-06
1818,2.2650237241350624e-07,1.8489745770011723e-06
1819,3.1053151161586356e-09,1.5236745269930907e-06
1820,1.1866481131050932e-08,2.0256083530512115e-06
1821,1.9722976807301507e-08,1.9969514113427067e-06
1822,4.0102463572111446e-08,1.6522215133818463e-06
1823,1.2847493069401139e-08,2.435093932717791e-06
1824,4.210556348027694e-09,2.2871742544339213e-06
1825,6.516027784009282e-08,1.9134227926542735e-06
1826,2.906634755106552e-08,2.164121767123106e-06
1827,1.474763688946723e-08,2.31261381600234e-06
1828,1.3024667566696735e-07,1.894997424756184e-06
1829,6.858540846366168e-09,2.040415864712486e-06
1830,6.992679768558219e-08,2.2157401531330834e-06
1831,4.365537531469954e-08,1.89121335836262e-06
1832,1.3529969367098715e-09,2.0470843935527228e-06
1833,8.108540172635514e-09,2.74068639782854e-06
1834,4.387229601832132e-08,2.0918684100479368e-06
1835,6.882410019670715e-08,2.215228420254789e-06
1836,2.9571300075303952e-08,1.9718680448477244e-06
1837,2.435261814426326e-08,1.8431452701861417e-06
1838,5.680945602826171e-08,1.7434190908716118e-06
1839,5.523265411699896e-08,1.6031453071718715e-06
1840,1.9109066218270243e-08,1.7854237057690625e-06
1841,2.6966304744746594e-08,1.662280070036104e-06
1842,9.391571076378114e-09,1.45233936166278e-06
1843,1.063243981747064e-08,1.4182492975578498e-06
1844,1.756339607084101e-08,1.6097950776838843e-06
1845,2.2320911785556063e-08,1.5083356288414507e-06
1846,2.3418005756781213e-08,1.4671380483832763e-06
1847,4.314578827546711e-08,1.5980121332859198e-06
1848,4.1835152453373325e-08,1.612262451544666e-06
1849,1.256912218750017e-08,3.489188458161152e-06
1850,2.4440385715251978e-08,1.6755242455701591e-06
1851,7.094382636907426e-09,2.14508324347662e-06
1852,3.776116352938175e-08,1.802118958948995e-06
1853,3.5234398509942366e-08,1.593311438341516e-06
1854,4.78001130344019e-08,1.3617836742696454e-06
1855,4.2455496895854594e-08,1.610124769513277e-06
1856,3.313401081284084e-08,1.5940565276650887e-06
1857,2.3919394687155204e-08,1.5928363978900961e-06
1858,1.5170395550878624e-08,1.3565269796345092e-06
1859,2.2405563404603868e-08,1.5327441644785722e-06
1860,2.1512764458719857e-08,1.6807419314091021e-06
1861,1.4147891413962554e-08,1.4855285712656041e-06
1862,2.48489247234307e-08,1.8871628668648555e-06
1863,1.548332484446746e-08,1.531850202241003e-06
1864,1.7261020501813107e-08,1.3780047680711505e-06
1865,1.6473956032658776e-08,1.6525730330840815e-06
1866,2.8707117127879656e-08,1.241217816527751e-06
1867,2.135237053835226e-08,1.6363680543918235e-06
1868,3.062721931623713e-08,1.6523879082797066e-06
1869,2.5882651910613674e-08,1.3541998526989119e-06
1870,1.834895568819661e-08,1.4983069291929496e-06
1871,1.0621176826930423e-08,1.319150229051047e-06
1872,1.5118347462816928e-08,1.2741744512823061e-06
1873,2.2148216927142528e-08,1.2480819293614331e-06
1874,2.8080662239915455e-08,1.4548173083994698e-06
1875,1.4303817685856757e-08,1.6066048686980139e-06
1876,1.8138044621807126e-08,1.2859873805837196e-06
1877,1.1751150386096754e-08,1.452194752005198e-06
1878,1.932508364443919e-08,1.3298073184841996e-06
1879,2.5659166347224982e-08,1.2689068284998939e-06
1880,2.695495404658743e-08,1.102586011825224e-06
1881,1.4642266288333872e-08,1.3575472337379324e-06
1882,1.7304001120876933e-08,1.4708401039342789e-06
1883,2.4013488364449387e-08,1.36560912267214e-06
1884,3.1027976632458376e-08,1.2464004441881116e-06
1885,1.5469525438405185e-08,1.0860895827136119e-06
1886,2.2587123282846733e-08,1.095798182859653e-06
1887,3.852065377785152e-08,1.2058923601898641e-06
1888,3.360525724360741e-08,1.2180320396737443e-06
1889,2.255449160770695e-08,1.2968833544846348e-06
1890,1.7696843102044113e-08,1.29252499903032e-06
1891,4.0157585701194876e-08,1.214926300008301e-06
1892,3.259626435436758e-08,1.3282977988637867e-06
1893,2.0322774685332945e-08,1.0358456421499795e-06
1894,1.260307880279754e-08,1.2092653918216456e-06
1895,9.629782971032341e-09,1.0466370525819002e-06
1896,2.9485144881213898e-08,1.11394874124926e-06
