year,les_DET watts_NOUN,les_DET boîtes_NOUN
1800,0.0,5.690937481261926e-07
1801,0.0,4.643305935303488e-07
1802,0.0,3.737193026154273e-07
1803,0.0,6.845690450063557e-07
1804,0.0,4.004398554968702e-07
1805,0.0,4.491746921075901e-07
1806,0.0,3.0545693618933e-07
1807,0.0,3.9287980690971835e-07
1808,0.0,2.2207525240958148e-07
1809,0.0,3.727400450515006e-07
1810,0.0,2.9485598318501616e-07
1811,0.0,4.3873843580399807e-07
1812,0.0,6.908069138944484e-07
1813,0.0,9.461190160209298e-07
1814,0.0,2.926409763404081e-07
1815,0.0,5.529308353402484e-07
1816,0.0,7.694444974504222e-07
1817,0.0,4.3748141820287856e-07
1818,0.0,4.983052264151411e-07
1819,0.0,5.310088511123467e-07
1820,0.0,3.749808001884958e-07
1821,0.0,4.270024547281537e-07
1822,0.0,4.0703999104607647e-07
1823,0.0,4.2594380289529e-07
1824,0.0,4.951614371861979e-07
1825,8.805443041381977e-10,5.239238731746809e-07
1826,0.0,4.412800045372478e-07
1827,0.0,4.71002657320696e-07
1828,0.0,5.732688208581749e-07
1829,8.57317605795771e-10,3.695038870432654e-07
1830,0.0,4.894875971217516e-07
1831,1.5591206103948707e-09,6.018205809255051e-07
1832,0.0,4.58665972757899e-07
1833,1.1583628500844156e-09,5.224216295118822e-07
1834,0.0,6.291473582109575e-07
1835,0.0,3.819359548629109e-07
1836,6.048674894287842e-09,4.113098981406438e-07
1837,6.957890930081589e-10,4.4669658549878477e-07
1838,0.0,4.778306532671195e-07
1839,6.9914751765765e-10,6.173472542059244e-07
1840,1.910906599622564e-09,5.057532668217846e-07
1841,6.420548537278137e-10,3.409311197799525e-07
1842,4.695785538189057e-09,5.205613859970981e-07
1843,5.906911071384968e-10,4.506973176887641e-07
1844,1.097712254427563e-09,5.247064649438471e-07
1845,0.0,5.70857306314565e-07
1846,5.854501328173001e-10,5.801810658567774e-07
1847,0.0,5.581986570746267e-07
1848,0.0,4.915630604784837e-07
1849,0.0,4.5584017982491787e-07
1850,0.0,4.324590463511413e-07
1851,0.0,5.44332607432807e-07
1852,0.0,6.725393646433986e-07
1853,0.0,6.38996702662098e-07
