year,autres_ADJ boîtes_NOUN
1800,3.458580977167003e-08
1801,3.333655484993869e-08
1802,1.7902721083373763e-08
1803,5.265916058760922e-08
1804,2.4718509461507665e-09
1805,0.0
1806,0.0
1807,2.8469551160981155e-09
1808,9.064295980465431e-09
1809,0.0
1810,5.3822915901946544e-08
1811,7.521229861140455e-09
1812,0.0
1813,8.339650747757332e-08
1814,1.5733386149463513e-08
1815,2.697223555614414e-09
1816,3.0128852301913867e-08
1817,3.113746815941454e-09
1818,8.344824387052086e-09
1819,8.280840013696888e-09
1820,2.966620371580575e-08
1821,0.0
1822,0.0
1823,0.0
1824,2.7789671008804362e-08
1825,1.6730341556581152e-08
1826,3.435113882233054e-08
1827,9.217273055917019e-10
1828,2.7516904310687096e-08
1829,4.286587973467704e-09
1830,6.262101504006523e-09
1831,9.354723218280014e-09
1832,1.3529969367098715e-09
1833,1.9692167896323554e-08
1834,1.3068342852307069e-08
1835,1.1344631900556124e-08
1836,6.048674894287842e-09
1837,7.653680245134353e-09
1838,9.468243078458727e-09
1839,9.088918062616358e-09
1840,6.3696887764308485e-09
1841,1.7977535904378783e-08
1842,9.391571076378114e-09
1843,1.0041748765843295e-08
1844,1.1525978393933656e-08
1845,2.0088821273134272e-08
1846,1.1123552745573306e-08
1847,1.240441438454809e-08
1848,7.24069959545659e-09
1849,5.865590679832167e-09
1850,2.3761487000228954e-08
1851,1.3543821175687754e-08
1852,1.8229528109259263e-08
1853,8.957897534855874e-09
1854,6.754363734984281e-09
1855,1.2736649068756378e-08
1856,1.346069211649592e-08
1857,6.8341128311999455e-09
1858,1.3702292633865909e-08
1859,1.1202780925145817e-08
1860,1.1442959468865865e-08
1861,1.2733101684148096e-08
1862,7.228778020618165e-09
1863,5.494082966350788e-09
1864,1.1507347075223606e-08
1865,1.1296426905005319e-08
1866,7.784980660119345e-09
1867,2.135237053835226e-08
1868,1.7289560005906424e-08
1869,1.0255390314739543e-08
1870,6.307453670473251e-09
1871,1.805600113868877e-08
1872,2.53988243770209e-08
1873,2.6937019725892242e-08
1874,1.6131444624534197e-08
1875,1.5448122780981066e-08
1876,1.1487427897804992e-08
1877,6.184816214727107e-09
1878,2.959153455606156e-08
1879,1.8327975581655664e-08
1880,5.776061406947974e-09
1881,2.8587281875047665e-08
1882,1.3310770263785798e-08
1883,1.1374810426900694e-08
1884,1.9805090012425808e-08
1885,3.674012205578947e-08
1886,1.2906927970846027e-08
1887,2.480991434516966e-08
1888,9.510921605837552e-09
1889,1.7542383545787743e-08
1890,1.8352281472289178e-08
1891,1.5935549768641977e-08
1892,5.202865338560514e-08
1893,1.1700991287000306e-08
1894,1.6384001710889606e-08
1895,1.444467478961542e-08
1896,1.7101383420481397e-08
1897,1.4566784223291052e-08
1898,1.4145887128336199e-08
1899,1.5477219506010442e-08
1900,1.764958135197503e-08
1901,1.397184767881754e-08
1902,6.088752257937813e-08
1903,1.1340462791054051e-08
