year,avez_VERB eu_VERB,avez_VERB bu_VERB
1800,1.9368053472135216e-06,1.5720821977538435e-08
1801,2.512147602828918e-06,1.4287095950749062e-08
1802,2.246791609650245e-06,5.594600338554301e-08
1803,1.7728583543430432e-06,1.1702034896643454e-08
1804,2.867347120627528e-06,9.887403784603066e-09
1805,2.5216324957000325e-06,8.528632911009026e-09
1806,2.8931958695466164e-06,2.5935023018064385e-08
1807,1.9074598185397917e-06,2.2775640928784924e-08
1808,1.774335942172911e-06,1.8128591960930862e-08
1809,2.4374940039706416e-06,2.710836710662079e-08
1810,2.6232821710436838e-06,2.106114038724627e-08
1811,1.6897697605600115e-06,1.504245972228091e-08
1812,2.107094587699976e-06,8.00162425207418e-09
1813,1.5126400967346854e-06,2.300593315851529e-08
1814,1.9540864286682336e-06,2.2026739543434815e-08
1815,1.882661990748602e-06,0.0
1816,1.9769161099247867e-06,2.5493642752394408e-08
1817,2.797701426970889e-06,1.401186100480345e-08
1818,2.561861037975177e-06,4.410835785506606e-08
1819,2.3621096261194907e-06,2.070209959015301e-08
1820,2.950007228719187e-06,2.966620371580575e-08
1821,4.243398507242091e-06,3.254291058851777e-08
1822,2.961566906378721e-06,3.709477880420309e-08
1823,2.855108277799445e-06,4.644862983127496e-08
1824,2.629071332194144e-06,3.115811608722652e-08
1825,2.668049319254351e-06,2.0252519661312363e-08
1826,2.2522015115100658e-06,2.9947145208097936e-08
1827,2.0296436105127214e-06,1.7512819638909605e-08
1828,2.7168355245521525e-06,5.228211819030548e-08
1829,2.062706244032597e-06,1.2002446148073886e-08
1830,2.2908855044079246e-06,3.026682549034376e-08
1831,2.7565251912164968e-06,3.1182413096075834e-08
1832,3.180895873811096e-06,2.976593194148336e-08
1833,2.5657736841822043e-06,1.9692167896323554e-08
1834,2.41951033785881e-06,2.9870498963191494e-08
1835,2.822544502123492e-06,2.647080776796429e-08
1836,2.754163460849668e-06,3.293167694096155e-08
1837,2.3002787656878354e-06,2.852735292435682e-08
1838,2.1145742721273564e-06,1.7674054220151447e-08
1839,2.2351746338244993e-06,3.4957377437194737e-08
1840,2.161872316719382e-06,3.758116307039927e-08
1841,2.1219912014203146e-06,1.7977535904378783e-08
1842,2.1124326394783566e-06,1.7441490030023488e-08
1843,2.2050498955650255e-06,2.008349753168659e-08
1844,1.9402064026508015e-06,1.975882035765153e-08
1845,2.1210446448094444e-06,2.511102614732863e-08
1846,2.2077324501879048e-06,3.805426018743674e-08
1847,1.8719879335549194e-06,2.6966118227278457e-08
1848,2.124743105014204e-06,2.735375304041554e-08
