year,plusieurs_DET os_NOUN,plusieurs_DET bosses_NOUN
1800,1.0690159513160324e-07,6.288328968651058e-09
1801,1.166779455274991e-07,9.52473055981784e-09
1802,7.161088433349505e-08,2.2378401354217203e-09
1803,3.569120767821232e-07,5.851017448321727e-09
1804,1.5572661382634578e-07,7.909923027682453e-08
1805,2.64387618464923e-07,1.7057265822018053e-08
1806,2.132435161783519e-07,2.5935023018064385e-08
1807,1.9074599677537663e-07,2.8469551160981155e-09
1808,7.704651494577774e-08,9.064295980465431e-09
1809,1.106924951699284e-07,2.9367397402779716e-08
1810,5.8503168531842675e-08,1.4040760554223652e-08
1811,3.7606150637969904e-08,2.757784400841956e-08
1812,2.7205524855133945e-07,0.0
1813,2.2143210998137874e-07,0.0
1814,9.125363931161701e-08,3.1466771410748606e-09
1815,1.1598061178119679e-07,2.6972236000233352e-08
1816,1.9931393069327896e-07,1.0429217667251578e-07
1817,1.0431051578052575e-07,4.670620157298799e-08
1818,1.3828565670337412e-07,4.768470951432846e-09
1819,1.6665190827325205e-07,2.173720581311045e-08
1820,9.018525659598708e-08,0.0
1821,6.804426611051184e-08,0.0
1822,1.5840473110984021e-07,0.0
1823,1.452754903041864e-07,3.9530747564242574e-09
1824,1.052639104770492e-07,1.0105335235266466e-08
1825,2.0956954926987237e-07,3.522177216552791e-09
1826,1.109806011534431e-07,1.145037931138404e-08
1827,9.217273300166084e-08,9.217273055917019e-10
1828,1.797770985412228e-07,4.586150570418113e-09
1829,1.6117570567075745e-07,1.8860987438529264e-08
1830,1.4194096564779102e-07,0.0
1831,6.860130952190957e-08,3.1182412207897414e-09
1832,1.867135736022263e-07,0.0
1833,2.2124731025030542e-07,6.950177322551099e-09
1834,2.3803054460813655e-07,6.534171426153534e-09
1835,2.38993578705049e-07,1.1344631900556124e-08
1836,1.9086929592404545e-07,7.392825018825988e-09
1837,2.4491777494972666e-07,4.174734336004349e-09
1838,1.3255540132206534e-07,1.2624323808552163e-09
1839,1.0137639083751537e-07,2.0974426639952526e-09
1840,1.1019561296787828e-07,4.458782232319436e-09
1841,1.7913331129548737e-07,8.988767952189392e-09
1842,7.64742233982929e-08,7.379091560011375e-09
1843,1.0750578316454096e-07,1.1813822142769936e-09
1844,6.970472932188443e-08,2.7442807137845193e-08
1845,1.4117976654404174e-07,3.348136878855712e-09
1846,1.0538102657164927e-07,5.854501328173001e-10
1847,8.25163226636505e-08,0.0
1848,8.608387552788699e-08,7.24069959545659e-09
1849,1.6423653459440857e-07,1.6758829879393033e-09
1850,9.91193420674108e-08,6.788996032014438e-10
1851,1.4059777075914326e-07,6.449438760824933e-10
