year,quelques_DET ans_NOUN,quelques_DET bancs_NOUN
1800,3.458580977167003e-08,1.1947824951619168e-07
1801,2.857419123536431e-08,9.048493865293494e-08
1802,6.713520406265161e-09,5.370816325012129e-08
1803,3.900678446910888e-09,1.053183193988616e-07
1804,4.2021465418429216e-08,1.0381773840606456e-07
1805,1.9900143755080535e-08,9.665784084234019e-08
1806,2.5935023018064385e-08,2.881669125542885e-08
1807,3.131650672116848e-08,1.3095993267597805e-07
1808,6.798221985349073e-09,1.2690014727922971e-07
1809,5.421673243688474e-08,1.6265019553429738e-07
1810,3.978215445954447e-08,1.0062544930633521e-07
1811,1.504245972228091e-08,1.5543875520052097e-07
1812,2.1337665856435706e-08,1.2535878246566767e-07
1813,1.1502966579257645e-08,5.1763348274391774e-08
1814,1.2586708564299443e-08,5.664018765116907e-08
1815,2.966945888971395e-08,9.979727244591174e-08
1816,2.5493642752394408e-08,1.297858247539807e-07
1817,1.5568734412774177e-08,1.2454987174947973e-07
1818,1.907388358368678e-08,8.940882878505363e-08
1819,1.9666995143552413e-08,2.1116142134847138e-07
1820,1.7799721696576398e-08,7.119888678630559e-08
1821,7.297501347647284e-08,6.804426977424782e-08
1822,6.115625694746996e-08,1.1028177482330648e-07
1823,2.371844876059015e-08,1.4329896524944985e-07
1824,1.0021123841852386e-07,8.589534772340812e-08
1825,2.2894151241459326e-08,1.1975402425257187e-07
1826,2.201995996653494e-08,1.788020824733394e-07
1827,2.1199728195142598e-08,5.069500019772022e-08
1828,1.742737265608696e-08,1.412534373912422e-07
1829,1.2859763920403111e-08,1.894671850521945e-07
1830,2.817945699007396e-08,1.5550885645865264e-07
1831,9.510635434750725e-08,1.7618062209123764e-07
1832,1.488296597074168e-08,3.111893072116345e-07
1833,9.26690302271993e-09,1.6912096967303114e-07
1834,1.866906118586087e-08,2.669675804867211e-07
1835,3.025235173481633e-08,1.459675971204888e-07
1836,3.22596004909137e-08,1.4651235602514134e-07
1837,5.427154992077021e-08,1.488988603526309e-07
1838,3.1560809521380406e-08,1.2939932325650716e-07
1839,1.1186360504567006e-08,1.5660904262304598e-07
1840,4.458782187910515e-08,1.6179008799355188e-07
1841,2.6966304744746594e-08,2.4205467852311813e-07
1842,3.287049921141261e-08,1.4624018440656528e-07
1843,4.193906921745594e-08,1.1282200329532088e-07
1844,2.3600813969792966e-08,1.2733462195768652e-07
1845,1.729870580113868e-08,9.709596593410197e-08
1846,1.5807153586067102e-08,2.1486019541328005e-07
1847,1.833696128272777e-08,3.165822324291412e-07
1848,2.413566457803995e-08,1.3982595277184373e-06
1849,3.2679717376637996e-08,7.407402904391347e-07
1850,2.7834883731259197e-08,5.315783928594442e-07
1851,2.063820425668439e-08,5.849640984934013e-07
1852,2.018269107395554e-08,2.2526487342133805e-07
1853,2.6276500530997282e-08,1.7079724834445642e-07
1854,3.013485427860729e-08,1.8080912589368836e-07
1855,4.139410947345823e-08,2.1758442514396847e-07
1856,2.381507024917795e-08,2.246900159263987e-07
1857,3.465871334373816e-08,2.0648783305432516e-07
1858,2.88726889063895e-08,1.844915864523955e-07
1859,1.680417205385254e-08,1.2730433596175317e-07
1860,3.7532908503390416e-08,2.608994851271973e-07
1861,2.4994607272788016e-08,2.0844559350807756e-07
1862,2.5752522003763545e-08,2.9547630564508154e-07
1863,2.0977407033662132e-08,2.2875362937213595e-07
1864,1.7740493518658695e-08,2.8384790695668016e-07
1865,1.3179164426446732e-08,3.9208013991043345e-07
1866,2.5787747603978062e-08,4.914269045031006e-07
1867,3.445495977416613e-08,7.201572440607151e-07
1868,2.519335706718806e-08,7.824760466235148e-07
1869,2.7347706321734222e-08,6.861344559183635e-07
1870,2.6376624884250077e-08,5.69391035654121e-07
1871,2.2304472935275044e-08,2.402510258292523e-06
1872,1.9956219454719815e-08,1.6442715932152296e-06
1873,2.454261771589472e-08,1.6042491814971527e-06
1874,1.1351757034372412e-08,1.3771474272061823e-06
1875,2.6891177895560503e-08,1.4595615596135758e-06
1876,2.176565305767042e-08,8.325362124139701e-07
1877,2.906863472151855e-08,5.597258518896808e-07
1878,1.8721174777081018e-08,5.374789164847016e-07
1879,5.8649524126153096e-08,4.6858525948323404e-07
1880,2.9522092326317306e-08,4.5053280928186723e-07
1881,2.5798277791810875e-08,1.308042429926104e-06
1882,4.725323421439498e-08,7.786800750864131e-07
1883,4.297150424381613e-08,7.279878211363666e-07
1884,2.706695845233753e-08,6.680917046253398e-07
1885,3.351730470946279e-08,7.40603532278783e-07
1886,3.872078235822585e-08,4.562598823198982e-07
1887,3.3950408484528793e-08,5.895618926388124e-07
1888,2.53624587998047e-08,5.028107512572433e-07
1889,4.510898587994916e-08,7.38033119063175e-07
1890,2.3595791986963377e-08,1.0808183361632473e-06
1891,2.7409146508006188e-08,7.228365710432172e-07
1892,2.820830591332424e-08,6.638354435040128e-07
1893,1.4780200174868696e-08,6.50944628866057e-07
1894,3.3398158905129094e-08,5.205071538227912e-07
1895,3.5509824414248214e-08,5.922316788087301e-07
1896,3.125425407368709e-08,5.501928121987021e-07
1897,7.982597294287075e-08,6.217103543093572e-07
1898,1.4145887239358501e-08,4.634192762864586e-07
1899,5.638130140539488e-08,5.289892612836411e-07
1900,3.529916137168243e-08,5.969711356357266e-07
1901,3.688567695725453e-08,4.102134436578808e-07
1902,3.240787266323153e-08,3.1474918138485464e-07
1903,5.4542223182352245e-08,4.860198377087954e-07
1904,3.117282609821359e-08,3.4720077479732936e-07
1905,3.354493349760901e-08,3.999588216174743e-07
1906,4.784091645060329e-08,3.343719949810975e-07
1907,3.188562835987341e-08,3.599990314739898e-07
1908,5.991894691526056e-08,3.6638963507584776e-07
1909,3.300590289967431e-08,2.9760320074956326e-07
1910,3.7409055186898854e-08,4.1096519964867184e-07
1911,2.128149745317387e-08,2.777235330597705e-07
1912,2.6047105361470813e-08,3.5684536214830587e-07
