year,ces_DET watts_NOUN,ces_DET boîtes_NOUN
1800,0.0,2.5153315519332864e-07
1801,0.0,2.54786543862906e-07
1802,0.0,1.3650824826072494e-07
1803,0.0,2.964515495307296e-07
1804,0.0,1.2359254952798437e-07
1805,0.0,1.6488690590676924e-07
1806,0.0,2.334152000571521e-07
1807,0.0,8.825560904313079e-08
1808,0.0,7.024829562496393e-08
1809,0.0,2.394572398145556e-07
1810,0.0,1.2168658969358148e-07
1811,0.0,2.7327136820076703e-07
1812,0.0,1.7336852664584512e-07
1813,0.0,3.767221556927325e-07
1814,0.0,1.9509397475303558e-07
1815,0.0,1.132833897798946e-07
1816,0.0,1.7382028261181404e-07
1817,0.0,9.963989811012652e-08
1818,0.0,1.7524131123991538e-07
1819,0.0,1.573359611484193e-07
1820,0.0,1.874904000942479e-07
1821,0.0,1.4693617167438333e-07
1822,0.0,1.2933044502005941e-07
1823,0.0,1.7492356541026766e-07
1824,0.0,1.330535788213183e-07
1825,0.0,1.664228790332345e-07
1826,0.0,1.585437185980254e-07
1827,0.0,1.2443318286869953e-07
1828,0.0,2.1188015608686328e-07
1829,0.0,1.3974277024431103e-07
1830,0.0,2.2334829097303555e-07
1831,0.0,1.7773975358181815e-07
1832,0.0,1.2312271913117456e-07
1833,0.0,1.3321172609437326e-07
1834,0.0,2.2402874932936356e-07
1835,0.0,1.0739584865859797e-07
1836,0.0,1.485285778812795e-07
1837,0.0,1.8368832144233238e-07
1838,0.0,1.584352666839095e-07
1839,0.0,2.1114254877829808e-07
1840,0.0,1.3121558950501822e-07
1841,0.0,1.476726190219324e-07
1842,0.0,1.1873628835701311e-07
1843,0.0,1.1518476572547343e-07
1844,0.0,1.591682750046175e-07
1845,0.0,1.2722919962016022e-07
1846,0.0,1.8675858548533597e-07
1847,0.0,1.4184177743459259e-07
1848,0.0,2.2285264122956505e-07
1849,0.0,1.6926418844320779e-07
1850,0.0,1.6429370930381992e-07
1851,0.0,1.0899551838861044e-07
1852,0.0,1.5495098892870374e-07
1853,0.0,1.8214392838444837e-07
