year,deux_DET arts_NOUN,deux_DET bars_NOUN
1800,1.3834323731032327e-07,3.144164484325529e-09
1801,3.333655484993869e-08,0.0
1802,1.096541666356643e-07,2.2378401354217203e-09
1803,1.3847407842604298e-07,0.0
1804,1.3347995775347954e-07,0.0
1805,7.675770063997334e-08,0.0
1806,9.797675204481493e-08,0.0
1807,2.1921555060089304e-07,0.0
1808,1.0423940155490641e-07,6.798221985349073e-09
1809,6.551188591608081e-08,2.259030518203531e-09
1810,1.2168659324629516e-07,2.8081521108447305e-08
1811,1.2535384108502967e-07,0.0
1812,1.0135391326215881e-07,1.3336041604361526e-08
1813,7.189353823378042e-08,0.0
1814,2.8320094713762956e-08,0.0
1815,1.8880564667256294e-08,1.3486117778072071e-08
1816,4.4034472068688046e-08,1.1588019432906549e-08
1817,7.161617721074265e-08,3.113746815941454e-09
1818,1.2517236314124602e-07,5.722165141719415e-08
1819,7.866798057420965e-08,2.4842520929269085e-08
1820,1.1273156985680544e-07,5.933240565525466e-09
1821,1.065040748926549e-07,7.88919063410276e-09
1822,9.323822780515911e-08,5.012807946513931e-09
1823,1.1365089847004128e-07,0.0
1824,1.271587990459011e-07,2.5263338088166165e-09
1825,6.42797326477762e-08,1.3208164340028361e-08
1826,6.253669226907732e-08,5.284790383086602e-09
1827,6.54426368096317e-08,0.0
1828,5.503380623439469e-08,4.586150570418113e-09
1829,8.401712392469562e-08,1.3717081692732336e-08
1830,4.383470941782264e-08,1.7742621594152297e-08
1831,5.3010101197514814e-08,9.354723218280014e-09
1832,8.38858085216998e-08,1.2176972319366541e-08
1833,6.370995575544214e-08,4.6334514003376626e-09
1834,7.187588568768888e-08,1.8669061851994684e-09
1835,8.470658485748572e-08,7.563087933704082e-10
1836,6.183090306421946e-08,2.688300027031687e-09
1837,8.34946876082654e-08,4.87052354003481e-09
1838,6.185918977053007e-08,2.1461350030449466e-08
1839,6.292327392465324e-08,4.894032734625853e-09
1840,5.4142353878017246e-08,1.2739377552861697e-08
1841,5.3290552415319326e-08,1.219904177673925e-08
1842,1.0599058697380315e-07,1.0062397137744483e-08
1843,8.033399012674636e-08,3.071593823733565e-08
1844,8.342613450063041e-08,1.3172547497219966e-08
1845,9.98860830714321e-08,2.622707206967334e-08
1846,7.610852037487348e-08,3.2199755972683874e-08
1847,5.3932236454556914e-08,1.9954927488186058e-08
1848,6.194820856286753e-08,1.448139919091318e-08
1849,3.351765842651844e-08,4.608678239037545e-08
1850,6.85688590351674e-08,3.530277936647508e-08
1851,5.224045551699419e-08,1.7413485098316528e-08
1852,1.3346618432663604e-07,2.669323606596663e-08
1853,6.987159983928848e-08,2.030456869306363e-08
1854,6.910233790735631e-08,1.506742641765868e-08
1855,7.164365101175463e-08,2.2289135870323662e-08
1856,1.1545132083679022e-07,3.002769588533738e-08
1857,7.712784366731285e-08,1.8549734193129552e-08
1858,9.493731573106956e-08,1.9085335978274998e-08
1859,9.827894476011068e-08,9.165912473463322e-09
1860,7.872756668803049e-08,1.830873586072812e-08
1861,1.0563758534587464e-07,3.961409689168249e-08
