year,plusieurs_DET oies_NOUN,plusieurs_DET bois_NOUN
1800,0.0,4.7162465932615305e-08
1801,0.0,7.381665767525192e-08
1802,1.5664880947952042e-08,6.937304419807333e-08
1803,0.0,1.2287136996746995e-07
1804,0.0,4.69651695311768e-08
1805,3.1271653710973624e-08,6.822906328807221e-08
1806,0.0,1.181484350354367e-07
1807,5.693910232196231e-09,1.309599397814054e-07
1808,2.039466551195801e-08,9.064296024874352e-08
1809,1.129515236897305e-08,1.1521055398588942e-07
1810,2.3401266702194334e-08,3.042164786748458e-08
1811,0.0,5.766276611751664e-08
1812,0.0,5.601137464950057e-08
1813,0.0,3.45088981834607e-08
1814,6.293354282149721e-09,8.496028014448598e-08
1815,0.0,4.04583526680824e-08
1816,4.6352077731626196e-09,4.4034475621401725e-08
1817,1.556873407970727e-09,6.53886816914806e-08
1818,0.0,4.053200441944682e-08
1819,0.0,5.4860565534831096e-08
1820,4.746592452420373e-09,6.40789963313182e-08
1821,0.0,2.5639868894700157e-08
1822,0.0,3.60922172149003e-08
1823,0.0,2.17419104941996e-08
1824,0.0,2.6105449357771704e-08
1825,1.7610886082763955e-09,2.8177417732422327e-08
1826,0.0,2.6423953580767545e-08
1827,3.6869092223668076e-09,3.686909089140045e-08
1828,0.0,4.494427435774995e-08
1829,0.0,5.486832677092934e-08
1830,9.39315203396518e-09,1.0958677898464941e-07
1831,0.0,6.704218691311326e-08
1832,1.3529969367098715e-09,6.08848611527435e-08
1833,0.0,2.7800708068959068e-08
1834,1.8669061851994684e-09,3.9205031665545675e-08
1835,2.2689263801112247e-09,7.184933537018878e-08
1836,2.016224964762614e-09,6.317505096831155e-08
1837,1.3915781860163179e-09,6.331680857396549e-08
1838,1.2624323808552163e-09,5.302216044000829e-08
1839,0.0,5.6630947598002024e-08
1840,0.0,2.611572313959698e-08
1841,1.926164561183441e-09,4.365973138575896e-08
1842,0.0,2.5491407207312022e-08
1843,6.497602011990011e-09,2.5990408158982348e-08
1844,0.0,3.7322216706048295e-08
1845,5.580227946389016e-10,3.124927483444395e-08
1846,0.0,1.9905304071698993e-08
1847,0.0,1.294373674909366e-08
1848,8.045221711050488e-10,1.367687652020777e-08
1849,2.513824481908955e-09,5.362825605814692e-08
1850,0.0,4.209177539848952e-08
1851,6.449438760824933e-10,3.5471913406581734e-08
1852,0.0,2.8646400807019745e-08
1853,1.0152284346531815e-08,3.105404622338881e-08
1854,0.0,2.4419623156912706e-08
1855,0.0,2.812676669350367e-08
1856,0.0,1.1389815923745772e-08
1857,0.0,3.0265356665282184e-08
1858,4.893676019968041e-10,2.4957746813658588e-08
1859,1.5276520048956854e-09,4.4811125476940106e-08
1860,0.0,4.2567810609739354e-08
