year,soyez_VERB aux_ADP,soyez_VERB beau_ADV
1800,3.144164484325529e-09,3.144164484325529e-09
1801,4.7623651688866175e-09,0.0
1802,4.475680270843441e-09,0.0
1803,1.1702035562777269e-08,0.0
1804,0.0,0.0
1805,2.842877711017877e-09,5.685755422035754e-09
1806,0.0,0.0
1807,1.7081731584767113e-08,0.0
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,2.259030518203531e-09,1.355418288717658e-08
1810,0.0,4.680253518074551e-09
1811,0.0,0.0
1812,1.8670457180292033e-08,0.0
1813,0.0,0.0
1814,6.293354282149721e-09,6.293354282149721e-09
1815,0.0,0.0
1816,2.3176038865813098e-09,0.0
1817,4.670620334934483e-09,1.556873407970727e-09
1818,4.768470951432846e-09,3.5763532135746345e-09
1819,3.1053151161586356e-09,0.0
1820,0.0,7.119888678630559e-09
1821,1.1833785507064931e-08,0.0
1822,2.0051231786055723e-09,4.010246357211145e-09
1823,3.95307486744656e-09,3.95307486744656e-09
1824,9.263223965660927e-09,8.421112696055388e-10
1825,0.0,1.7610886082763955e-09
1826,2.025836387531399e-08,6.165588817275136e-09
1827,0.0,9.217273055917019e-10
1828,9.172301140836225e-09,2.7516904310687096e-09
1829,1.1145129263923081e-08,0.0
1830,6.262101504006523e-09,6.262101504006523e-09
1831,1.5591206103948707e-09,0.0
1832,1.3529969367098715e-09,0.0
1833,1.1583628500844156e-09,3.475088550253247e-09
1834,3.733812370398937e-09,0.0
1835,7.563087933704082e-09,1.5126175867408165e-09
1836,2.0162250202737653e-09,6.720750067579218e-10
1837,2.7831562610103333e-09,6.957890930081589e-10
1838,6.312161904276081e-10,1.8936485712828244e-09
1839,3.4957374772659477e-09,3.4957374772659477e-09
1840,6.369688665408546e-10,5.095750932326837e-09
1841,2.5682194149112547e-09,0.0
1842,4.024959032733477e-09,2.683306021822318e-09
1843,7.088293507706567e-09,0.0
1844,2.085653250105679e-08,6.586273748609983e-09
1845,3.3481367123222583e-09,5.580227946389016e-10
1846,1.2294452789163302e-08,5.854501328173001e-10
1847,5.393223645455691e-10,1.6179670936367074e-09
1848,4.82713291560799e-09,0.0
1849,3.3517659758786067e-09,0.0
1850,6.788996032014438e-09,0.0
1851,4.514607132577453e-09,6.449438760824933e-10
1852,5.208436348880241e-09,0.0
1853,4.777545470346922e-09,2.9859659189668264e-09
1854,1.3508727914057772e-08,5.195664565249558e-09
1855,1.3798036491152743e-08,9.552486801567284e-09
1856,7.248064815001953e-09,2.070875637638636e-09
1857,4.881508974818871e-09,1.2203773103180993e-08
1858,3.425573102955326e-09,2.9362056674919756e-09
1859,4.073738679721828e-09,0.0
1860,1.8308735638683515e-09,6.865775836750743e-09
1861,1.744906619194353e-08,4.715963730639317e-10
1862,1.0391368654438793e-08,2.710791757731812e-09
1863,5.494082966350788e-09,2.996772441310469e-09
1864,4.315255153208852e-09,1.9178911792039344e-09
1865,3.294791106611683e-09,3.2947911621228343e-09
1866,2.919367692033603e-09,6.325297008391573e-09
1867,4.367530337390235e-09,2.426405742994575e-09
1868,3.951899252285784e-09,1.4819622196071691e-09
1869,7.813630631403612e-09,4.395167119142229e-09
1870,6.880858549607183e-09,6.880858549607183e-09
1871,0.0,2.1242354542039266e-09
1872,3.628403577593531e-09,6.047339295989218e-10
1873,5.986004469882289e-10,2.9930022904522957e-09
1874,3.5847653734322193e-09,3.5847653734322193e-09
1875,5.7215269744226305e-09,5.7215269744226305e-09
1876,1.209202959984168e-09,0.0
1877,1.8554447978047506e-09,3.7108897066318036e-09
1878,1.2078177347163432e-09,0.0
1879,7.942122737247814e-09,6.720258016734704e-09
1880,7.059630657835214e-09,1.9253538763308597e-09
1881,6.9725074602899895e-09,0.0
1882,4.6587693702804245e-09,0.0
1883,6.951272890631799e-09,0.0
1884,3.9610181801208455e-09,1.3203393933736152e-09
1885,1.2891271383708158e-09,6.445635691854079e-10
1886,3.2267319927115068e-09,1.2906927748801422e-09
1887,5.223139698529167e-09,0.0
1888,0.0,0.0
1889,3.759081934617825e-09,8.14467782106476e-09
1890,9.176141291256101e-09,0.0
1891,3.824531802365527e-09,7.011642266796514e-09
1892,2.5074049503359674e-09,2.5074049503359674e-09
1893,0.0,0.0
1894,5.041231432301174e-09,6.301539290376468e-10
1895,1.8055843487019274e-09,0.0
1896,1.1204354777305525e-08,5.89702897624278e-10
1897,0.0,0.0
1898,8.487532565659706e-09,0.0
1899,1.6582735185011188e-09,0.0
