year,étiez_VERB aux_ADP,étiez_VERB beau_ADV
1800,5.973912209356058e-08,0.0
1801,1.6668277424969347e-08,0.0
1802,1.1189200677108602e-08,8.951360541686881e-09
1803,1.950339223455444e-09,5.851017448321727e-09
1804,3.213406074564773e-08,4.2021465418429216e-08
1805,1.9900143755080535e-08,0.0
1806,2.0171682990621775e-08,2.881669125542885e-09
1807,2.8469551160981155e-09,0.0
1808,2.4926814390369145e-08,9.064295980465431e-09
1809,1.3554183553310395e-08,0.0
1810,7.020380277111826e-09,0.0
1811,1.2535384286138651e-08,2.5070767684098882e-09
1812,1.8670457180292033e-08,0.0
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,6.922689976818219e-08,3.1466771410748606e-09
1815,2.697223555614414e-09,0.0
1816,1.622322720606917e-08,2.3176038865813098e-09
1817,1.0898113522728181e-08,0.0
1818,3.9339884239097955e-08,7.152706427149269e-09
1819,2.5877625375869684e-08,0.0
1820,9.493184904840746e-09,0.0
1821,2.6626018723163725e-08,1.97229765852569e-09
1822,5.81485721795616e-08,1.0025615893027862e-09
1823,2.2730180404550993e-08,0.0
1824,3.452656116564867e-08,0.0
1825,1.584979791857677e-08,4.402721387464226e-08
1826,7.927186018719112e-09,3.5231937367541377e-09
1827,4.055600300034712e-08,1.8434546111834038e-09
1828,1.1006761724274838e-08,9.172301251858528e-10
1829,4.200856196234781e-08,2.571952872898464e-09
1830,3.339787468803479e-08,0.0
1831,2.3386808933878456e-08,0.0
1832,1.352996914505411e-08,0.0
1833,1.6217079235048004e-08,0.0
1834,3.827157613045529e-08,6.534171426153534e-09
1835,2.571449897459388e-08,7.563087933704082e-10
1836,3.427582484505365e-08,6.720750067579218e-10
1837,1.1828414692161004e-08,0.0
1838,1.3255539776935166e-08,1.2624323808552163e-09
1839,2.23727205650448e-08,6.9914751765765e-10
1840,2.8026629905752998e-08,3.1848443882154243e-09
1841,1.4767261191650505e-08,2.5682194149112547e-09
1842,1.542900918138912e-08,1.0733224087289273e-08
1843,1.2995204023980023e-08,2.953455480181333e-09
1844,1.0977122322231025e-08,5.488561272137815e-10
1845,2.0646844234306627e-08,2.7901139176833567e-09
1846,1.4636253098387897e-08,1.7563503984519002e-09
1847,1.294373674909366e-08,3.235934187273415e-09
1848,2.654923214606697e-08,0.0
1849,2.5976186535103807e-08,0.0
1850,1.0862393651223101e-08,6.788996032014438e-10
1851,2.1283147688677673e-08,1.2898877521649865e-09
1852,1.7578472011337e-08,5.208436348880241e-09
1853,4.060913738612726e-08,5.971931837933653e-09
1854,1.9223959313308114e-08,1.558699391779328e-09
1855,2.2289135870323662e-08,2.653468555990912e-09
1856,2.0708757375587084e-08,1.5531567143511893e-09
1857,1.513267733344037e-08,1.0251168802710708e-08
1858,1.1255455234504552e-08,5.3830437884982985e-09
1859,2.34239969643113e-08,1.018434669930457e-09
1860,3.4328881071132855e-08,1.0069804545764782e-08
1861,2.2165028923382124e-08,7.545541969022906e-09
1862,1.1294965851504912e-08,9.035972525772706e-10
1863,1.9479021062807078e-08,1.2986014041871385e-08
1864,9.109982990196386e-09,3.3563094525845827e-09
1865,2.5416959203994338e-08,2.3534221238463715e-09
1866,1.5083399418358567e-08,4.865612801552288e-09
1867,7.76449837758264e-09,3.396968040192405e-09
1868,2.0253484223076157e-08,0.0
1869,8.30198221279943e-09,4.395167341186834e-09
1870,1.3761717099214366e-08,5.160643912205387e-09
1871,7.434824311758348e-09,3.18635318130589e-09
1872,7.861540751719076e-09,7.861540751719076e-09
1873,1.4366410283628284e-08,1.1972008939764578e-09
1874,4.779687312606029e-09,2.9873046258899194e-09
1875,8.010138330405425e-09,5.149374260327022e-09
1876,7.859819461941697e-09,0.0
1877,7.421779191219002e-09,4.329371083855449e-09
1878,1.3285995414946683e-08,1.8117265465633636e-09
1879,9.163987790827832e-09,6.10932526790009e-10
1880,1.4119262203848848e-08,5.134277003548959e-09
1881,4.183504653809678e-09,2.091752326904839e-09
1882,2.3293848627758962e-08,1.3310770263785798e-09
1883,4.423537092179686e-09,1.2638677882037541e-09
1884,6.601696966868076e-09,1.9805090900604227e-09
1885,1.160214413431504e-08,1.2891271383708158e-09
1886,6.4534639854230136e-09,6.453463874400711e-10
1887,1.1099172247952538e-08,1.9586774424595887e-09
1888,1.521747527988282e-08,1.268122939990235e-09
1889,1.0650732740202784e-08,3.759081934617825e-09
1890,1.1797895993481688e-08,0.0
1891,4.461953917456185e-09,1.2748440081367107e-09
1892,6.8953633913793055e-09,3.761107425503951e-09
1893,5.542574843531156e-09,1.2316833108982905e-09
1894,6.9316934414587195e-09,0.0
1895,1.0833506536300774e-08,6.018614495673091e-10
1896,7.66613794667137e-09,5.89702897624278e-10
1897,1.0488084178916779e-08,5.826713334045053e-09
1898,1.3580051749784161e-08,1.6975064687230201e-09
1899,1.6582735185011188e-08,2.2110313580014918e-09
1900,1.972600216504361e-08,2.595526460424935e-09
1901,1.676621730339889e-09,5.588738916095792e-10
1902,4.910283735171106e-09,1.9641135384773634e-09
1903,7.020286574288548e-09,4.320176216765503e-09
1904,8.599400302955473e-09,2.6873125946735854e-09
1905,1.1353670004154992e-08,5.160759042333041e-10
1906,1.7490227932626112e-08,0.0
1907,5.142843484406967e-09,0.0
1908,1.964555629285769e-09,1.964555629285769e-09
1909,2.3104130164597336e-08,1.6502950117569526e-09
1910,1.0153886620400954e-08,2.137660271017694e-09
1911,3.7242617878519013e-09,2.6601871816467337e-09
1912,6.772247651554153e-09,3.646594803896619e-09
1913,6.893886794756554e-09,2.121195885607108e-09
1914,2.678697486047099e-09,0.0
1915,7.068456930880984e-09,0.0
1916,1.0987462051303964e-09,4.394984820521586e-09
1917,1.315970976634162e-08,2.1932848870420685e-09
1918,5.743188147278033e-09,9.189101035644853e-09
1919,2.301962176431971e-08,1.8415696745321952e-09
1920,1.0601124422748853e-08,3.786115865267448e-09
1921,1.1359120755116692e-08,2.2718242842501013e-09
1922,3.172512208493572e-08,7.377935484775833e-10
1923,1.1677542488541803e-08,1.0615948120573648e-09
1924,1.0313299547703991e-08,2.578324886925998e-09
1925,1.0998178368026856e-08,3.299453377181294e-09
1926,1.671920735191179e-08,1.1146138456652466e-09
1927,4.4596899506643695e-09,0.0
1928,9.14083297942625e-09,1.1426041224282812e-09
1929,6.684243825105796e-09,1.1140406375176326e-09
1930,7.352522590764465e-09,9.453243521306831e-09
1931,5.7026783295555106e-09,1.1405356659111021e-08
1932,1.0959536389520963e-08,2.1919073223131136e-09
1933,1.1470662197865522e-09,2.2941324395731044e-09
1934,3.5944740517379614e-09,1.1981580172459871e-09
1935,9.574627313213568e-09,2.393656828303392e-09
1936,2.0612015205756506e-08,2.424942913137329e-09
1937,1.1332006444320086e-08,1.2591118148108649e-09
1938,1.5558256905023882e-08,3.8895642262559704e-09
1939,6.117620188206274e-09,3.058810094103137e-09
1940,5.0715658339584024e-09,0.0
1941,8.854508237732261e-09,0.0
1942,1.2136847082899749e-08,6.068423541449874e-09
1943,2.322588166236983e-08,1.1612940831184915e-08
1944,2.8918675454292497e-08,0.0
1945,1.089252066321933e-08,4.357008087652048e-09
1946,1.3921104269343232e-08,1.3921104269343232e-09
1947,1.1920871401116528e-08,2.3841741914054637e-09
1948,9.784699273041042e-09,6.523132700664291e-09
1949,3.9268033269479474e-09,2.945102384188658e-09
