year,leurs_DET ans_NOUN,leurs_DET bancs_NOUN
1800,3.458580977167003e-08,1.8864986373046122e-07
1801,2.6193008650921e-08,2.690736380372982e-07
1802,2.2378401354217203e-08,1.6336232988578558e-07
1803,4.290746247193056e-08,1.8333189077957002e-07
1804,2.2246657849223084e-08,1.3347995775347954e-07
1805,3.980028751016107e-08,7.107194477384837e-08
1806,4.610670600868616e-08,1.3543845511776453e-07
1807,5.693910054560547e-08,1.6227643939714653e-07
1808,6.798221763304468e-08,1.2010191596800723e-07
1809,3.162642681076022e-08,6.77709186547304e-08
1810,1.6380887757350138e-08,8.424456154898508e-08
1811,3.5099073869560016e-08,1.9805906958936248e-07
1812,2.6672083208723052e-08,9.068507722531649e-08
1813,2.300593315851529e-08,1.35159851311073e-07
1814,3.776012391654149e-08,1.0069366851439554e-07
1815,3.506390555685357e-08,1.1598061511186586e-07
1816,9.502176112619054e-08,1.9931393069327896e-07
1817,1.71256075987003e-08,1.930523012561025e-07
1818,3.695565098382758e-08,2.14581189483809e-07
1819,4.968504185853817e-08,1.8631889986409078e-07
1820,4.746592452420373e-08,1.8155715508783032e-07
1821,4.043210211079895e-08,1.4890846955495363e-07
1822,3.208197085768916e-08,2.4261990461127425e-07
1823,6.621399961659336e-08,1.7690010034598913e-07
1824,7.494790565942822e-08,2.5179125806573666e-07
1825,1.6730341556581152e-08,1.831532188134588e-07
1826,2.290075862276808e-08,2.1755721135718886e-07
1827,3.3182182335167454e-08,1.4839809797662085e-07
1828,6.604057034564903e-08,1.7794264772774682e-07
1829,2.2290258194779256e-08,3.2920995218788107e-07
1830,2.1917355041978226e-08,1.9099410053513566e-07
1831,3.1182413096075834e-08,2.9155555125726096e-07
1832,1.2176972319366541e-08,2.6789339813149127e-07
1833,3.4750886612755494e-08,2.942241605907725e-07
1834,4.293884248163238e-08,2.2402873867122253e-07
1835,1.3613558280667348e-08,2.8966628207172107e-07
1836,3.6964125260663394e-08,2.5337227888000413e-07
1837,2.6439985201243132e-08,2.0386619947743156e-07
1838,2.335499815764308e-08,2.2913147290637426e-07
1839,1.747868827450816e-08,2.2442635572161862e-07
1840,1.9746034474188434e-08,2.7580750838751555e-07
1841,3.146068650039524e-08,2.0353139396078745e-07
1842,2.951636579595629e-08,2.50889115704922e-07
1843,1.0041748876865597e-08,2.2150916501040285e-07
1844,2.0856533611279815e-08,1.9703935028037023e-07
1845,1.1718478298838875e-08,2.907298825016724e-07
1846,2.5759806732139623e-08,2.324237016182451e-07
1847,8.089835468183537e-09,4.96715882647436e-07
1848,2.494018680465615e-08,3.724937602811451e-07
1849,3.603148401865042e-08,5.077925619989543e-07
1850,1.2220192857625989e-08,3.951195788332029e-07
1851,1.1608989769484879e-08,2.960292342368831e-07
1852,3.7761164861649377e-08,2.6693237176189655e-07
1853,1.7318602996141408e-08,2.818751871913605e-07
1854,2.701745477340367e-08,1.4963514161081548e-07
1855,2.4411910715116392e-08,2.0643985010337929e-07
1856,1.9673318418789165e-08,1.7084725045801719e-07
1857,4.3445430475408386e-08,2.953313018583259e-07
1858,3.523446845399292e-08,2.500668423444097e-07
1859,2.698851964133553e-08,1.660048514207091e-07
1860,2.1055045262841077e-08,1.4875848286521887e-07
1861,2.5937799741360124e-08,2.645655685640236e-07
1862,2.078273733663316e-08,2.656575839310449e-07
1863,2.0477945228414285e-08,1.9678806550960104e-07
1864,2.8288894005079612e-08,1.8315860295103903e-07
1865,1.5532586550293104e-08,2.278112716247449e-07
1866,3.795178094012641e-08,1.9949013640996327e-07
1867,2.232293283555009e-08,2.3147911498710982e-07
1868,2.5193357400254968e-08,2.5736744646565057e-07
1869,1.4162205408396744e-08,2.588265171077353e-07
1870,2.5229814681893004e-08,2.2878854455399278e-07
1871,1.805600113868877e-08,3.090762499269317e-07
1872,1.7537283514279522e-08,2.12866348547891e-07
1873,1.7359413795325906e-08,2.663771851985075e-07
1874,1.911874852877915e-08,2.5750565724180774e-07
1875,1.0870901512305409e-08,2.2600031956976352e-07
1876,2.5997864083748823e-08,2.1402892347310853e-07
1877,1.9172929910382663e-08,2.473926485890843e-07
1878,4.589707236490881e-08,2.476026281783561e-07
1879,2.260450293611882e-08,2.443730203749439e-07
1880,3.2731015897624616e-08,2.5671384129566377e-07
1881,2.161477419271307e-08,2.579827764748188e-07
1882,1.6638463051776853e-08,2.3759724365746138e-07
1883,1.7694149478941767e-08,2.3571134022404294e-07
1884,2.442627877741188e-08,2.1323481202983885e-07
1885,1.5469525438405185e-08,2.7329496005146225e-07
1886,2.5168509276696227e-08,1.8263303047660884e-07
1887,2.4157020495074732e-08,2.990247480738617e-07
1888,7.60873763994141e-09,2.124105991097025e-07
1889,1.9421923069806724e-08,2.2993052029018912e-07
1890,2.4906667839275087e-08,1.6779229383701022e-07
1891,1.7847816891070067e-08,2.0652472565441116e-07
1892,1.2537024973724442e-08,2.1312941678175434e-07
1893,1.4164357742263434e-08,1.7674655344857015e-07
1894,1.7014155417882648e-08,1.7518278672135068e-07
1895,1.444467478961542e-08,1.7574354704841255e-07
1896,3.125425407368709e-08,2.0049898141749622e-07
1897,1.5149455467877715e-08,1.7480140002135158e-07
1898,1.0750874412934763e-08,1.2901049140090493e-07
1899,8.844125432005967e-09,1.5532495467596164e-07
1900,1.2458527431924438e-08,1.9570270026747494e-07
1901,1.0059729993461275e-08,1.5089595706285763e-07
1902,8.838510812125833e-09,1.443623496300006e-07
1903,1.8900770726304472e-08,1.4796603897693217e-07
1904,1.5048950530172078e-08,1.4081517463182536e-07
1905,2.0126960542654615e-08,1.341797318810123e-07
1906,9.773950260250075e-09,1.8004645596647606e-07
1907,1.645709940545359e-08,1.5531386488021326e-07
1908,2.7503779254089977e-08,1.7189861445388033e-07
1909,1.4852655993990993e-08,1.6998038709914454e-07
1910,9.085056040802897e-09,1.5979010636879565e-07
1911,6.916486383623521e-09,1.43650098038961e-07
1912,1.9274858487072777e-08,1.6357582310888574e-07
1913,1.6969566696278804e-08,1.6280178871674877e-07
1914,2.6117300322425763e-08,1.8884816643804925e-07
1915,2.1205371458776767e-08,1.8260180922879954e-07
1916,5.493731025651982e-09,1.69206913369635e-07
1917,6.57985488317081e-09,1.294038014520993e-07
1918,1.2635013924011673e-08,1.711470076770638e-07
1919,1.4732557174212957e-08,1.7126598095273948e-07
1920,2.8017257402979112e-08,1.1964126178654055e-07
1921,9.0872969149558e-09,1.340376343250682e-07
1922,8.853522359686394e-09,1.1657138188070348e-07
1923,2.229349105320466e-08,1.613624132090763e-07
1924,1.5469948877466777e-08,1.817718984220562e-07
1925,7.698724768800957e-09,1.6277303682699085e-07
1926,1.0031524610987219e-08,1.270659737429014e-07
1927,1.1149224876660924e-08,1.7058314505380423e-07
1928,4.570416489713125e-09,2.0224093288945255e-07
1929,1.1140406153131721e-08,1.4036912321380157e-07
