year,leurs_DET eaux_NOUN,leurs_DET beaux_ADJ
1800,2.37384421630793e-06,4.6533635478240853e-07
1801,2.4002320841987057e-06,4.881424295888337e-07
1802,2.9673759058823634e-06,4.5651938762603095e-07
1803,2.1278201174368405e-06,4.5052835062620034e-07
1804,3.220821721328093e-06,4.523487291407946e-07
1805,2.1748014358280443e-06,2.587018703703592e-07
1806,1.948008243601862e-06,4.985287631598112e-07
1807,2.334503134804322e-06,2.590729288876048e-07
1808,2.0893201906346803e-06,2.696628076392926e-07
1809,2.069272007076961e-06,4.1566161002037916e-07
1810,2.2114197371081445e-06,5.405692746762725e-07
1811,1.9028712952007254e-06,4.4124552189828137e-07
1812,2.02974537266698e-06,5.281072503748874e-07
1813,1.9785103546610117e-06,3.422132586194948e-07
1814,1.9540865867639923e-06,4.2165472446953345e-07
1815,1.801745327156823e-06,3.452446097895745e-07
1816,1.5921939109375671e-06,2.9433568116132847e-07
1817,1.3046598770216633e-06,3.456258834688697e-07
1818,1.6534673044077408e-06,4.935367421410319e-07
1819,1.3715141626846616e-06,3.571112294764589e-07
1820,1.664867284034699e-06,4.805924813666707e-07
1821,1.3411623509540505e-06,3.145814675420411e-07
1822,1.7695212051194176e-06,4.641860300580447e-07
1823,1.4280482449890997e-06,4.5361532929888426e-07
1824,1.7524335866880847e-06,5.448460171919578e-07
1825,1.8350543555811782e-06,4.966269608885909e-07
1826,1.8408687090243347e-06,4.095712764495829e-07
1827,1.3263655525008744e-06,3.631605611786881e-07
1828,1.5528705574752166e-06,2.7425181237106244e-07
1829,1.8449474730175552e-06,3.617880235395887e-07
1830,1.7147720896559804e-06,4.4252183073467677e-07
1831,1.8849768714801485e-06,3.9913487803744374e-07
1832,1.4341768022063661e-06,4.559599764419886e-07
1833,2.2703911355392847e-06,4.668202384650044e-07
1834,1.9247802338639985e-06,4.66726541858975e-07
1835,1.8537128951834347e-06,4.590794375758378e-07
1836,1.6707784595837438e-06,4.946471996447599e-07
1837,1.6810264291677868e-06,3.7085558268756813e-07
1838,1.8191650958954142e-06,5.914495844194789e-07
1839,1.5234424424193094e-06,3.740439140642593e-07
1840,1.603250655790589e-06,3.7581162004585167e-07
1841,1.357303966997847e-06,4.3852346642836437e-07
1842,1.4758182649288187e-06,4.803117827911763e-07
1843,1.3916682206627229e-06,4.0285133096062964e-07
1844,1.4314167691154012e-06,4.209726593984442e-07
1845,1.4346766352701934e-06,4.268874311819104e-07
1846,1.3178481932385466e-06,4.068878300955703e-07
1847,1.2911377176294536e-06,3.0525647254364685e-07
1848,1.242986698457571e-06,5.253529611337626e-07
1849,1.4136072472581418e-06,3.075245160744089e-07
1850,1.3306432302684357e-06,3.07541526467503e-07
1851,1.3118157955460674e-06,3.66328123391213e-07
1852,1.3424744675916145e-06,3.105530055336203e-07
1853,1.461928928137013e-06,4.0011943269746553e-07
1854,1.3550292843333978e-06,3.792834988303184e-07
1855,1.4100531942062844e-06,3.6936282299393497e-07
1856,1.3900753312867664e-06,3.825942940238747e-07
1857,1.4498081668534724e-06,5.081650904514845e-07
1858,1.3071008506670978e-06,4.394521178063826e-07
1859,1.2455456204207849e-06,4.6186011459781184e-07
1860,1.2436208720600916e-06,4.192700320260201e-07
1861,1.342634897483208e-06,4.470733561134921e-07
1862,1.3874736257690756e-06,4.174619201435803e-07
1863,1.2971030667330297e-06,4.57007813814414e-07
1864,1.458556289080093e-06,4.214565958449157e-07
1865,1.2684945289720417e-06,3.3795142329040573e-07
1866,1.2431641103205493e-06,4.106577407014811e-07
1867,1.1714686873887104e-06,4.906192678788557e-07
1868,1.3061026660210473e-06,3.6159879535091477e-07
1869,1.3317356568620653e-06,3.5893865479863507e-07
1870,1.406562120109811e-06,3.147992742036365e-07
1871,1.1173478124959502e-06,2.910202638872761e-07
1872,1.1465755296313773e-06,3.537693382682505e-07
1873,1.2187505653571407e-06,3.62751878313361e-07
1874,1.3251683341763965e-06,2.8737868973394143e-07
1875,1.2764727213010474e-06,3.587397543469706e-07
1876,1.4395560707924915e-06,5.193526950719729e-07
1877,1.478171014923646e-06,4.780862905562344e-07
1878,1.2029865033014175e-06,4.245479345854619e-07
1879,1.3183924245652179e-06,4.3498396262720007e-07
1880,1.2457039346713827e-06,3.696679549136661e-07
1881,1.3680059565146507e-06,3.8976318528227694e-07
1882,1.1893173095245402e-06,4.944951363938799e-07
1883,1.2802980187132107e-06,3.842158191602607e-07
1884,1.1658596577035496e-06,3.914806390170611e-07
1885,1.3155542504250661e-06,3.4097413692535383e-07
1886,1.0938621457512454e-06,3.207371417346394e-07
1887,1.1477849781726945e-06,3.460330191273897e-07
1888,1.0512739123669235e-06,3.449294352364518e-07
1889,1.122712486534283e-06,3.9031801524203047e-07
1890,1.1135903026371352e-06,3.939186159485075e-07
1891,9.873666328985564e-07,4.143243028664756e-07
1892,1.2223599092919812e-06,3.4539501925223703e-07
1893,1.1091308387278787e-06,3.251643940771487e-07
1894,1.182798868626378e-06,3.7872251379411637e-07
1895,1.0255718585483464e-06,3.1356980123575795e-07
1896,1.116897330177835e-06,3.6797461788751207e-07
1897,9.142113661653184e-07,3.1114651477537336e-07
1898,1.0864041177782724e-06,3.117753664128031e-07
1899,9.535072944544254e-07,3.2059953625207527e-07
1900,1.0812963360251615e-06,3.259981307124349e-07
1901,1.02273922308882e-06,2.98997538283885e-07
1902,8.376944222732163e-07,2.6122709329001736e-07
1903,9.909404106167585e-07,3.5101430828632374e-07
1904,9.486213539133814e-07,2.9614184615667227e-07
1905,1.0636324176971357e-06,3.622852915441399e-07
1906,1.0067168751959343e-06,2.8138688357159936e-07
1907,1.030111567601466e-06,3.491990749893148e-07
1908,1.0613511740587e-06,3.0745296442091785e-07
1909,8.565031279772484e-07,3.6196470709626283e-07
1910,1.091810023723383e-06,3.7729705049116546e-07
1911,9.816089772129999e-07,3.5274080900649096e-07
1912,8.710152243907032e-07,3.5215687788081595e-07
1913,8.452965651883915e-07,3.611336065745263e-07
1914,9.187932459298054e-07,3.4488230582496726e-07
1915,8.505709878647849e-07,3.16902498909144e-07
1916,8.097759307545971e-07,3.8456117579244165e-07
1917,8.246751193041746e-07,3.180263021818064e-07
1918,7.546549269932257e-07,3.3540218780103714e-07
1919,6.832223444774854e-07,3.370072363395593e-07
1920,6.565124976987136e-07,3.770971499506004e-07
1921,7.345565116168018e-07,3.2865725163588877e-07
1922,8.366578896357169e-07,3.51927532449281e-07
1923,7.484243660371703e-07,3.8323572404408424e-07
1924,8.792087937692372e-07,3.79013753715185e-07
1925,9.579412996174597e-07,3.6953877025069914e-07
1926,7.612812815693815e-07,3.3884259575955866e-07
1927,7.726413127073783e-07,3.3113198405487765e-07
1928,8.032506730870637e-07,3.050753063504885e-07
1929,8.656096017745085e-07,3.353262449934391e-07
1930,7.100435919227266e-07,3.9388513251026325e-07
1931,7.00288884658562e-07,2.7829069093598946e-07
1932,8.121016694673244e-07,2.6083696891276986e-07
1933,6.744749416753848e-07,2.6726642765595443e-07
1934,6.110605959008808e-07,3.1990818527560805e-07
1935,6.259412757003702e-07,3.135690551658854e-07
1936,7.068708445245875e-07,2.679561856844259e-07
1937,7.013253018328669e-07,2.64413480888237e-07
1938,6.210337772927232e-07,3.059790634196702e-07
1939,7.310556071615792e-07,2.584694502871798e-07
1940,7.50591727438632e-07,1.8004059310072762e-07
1941,7.644391892824842e-07,2.6563522936839945e-07
1942,7.555187195862345e-07,3.7927647644764306e-07
1943,6.067761706418651e-07,3.7742056413492264e-07
1944,5.815866721547991e-07,3.405977260229065e-07
1945,5.315549813644793e-07,3.289541239404059e-07
1946,5.554520754458281e-07,2.533641101365447e-07
1947,4.816031857757253e-07,2.562987244658643e-07
1948,4.7510149592255857e-07,2.804947190071516e-07
1949,6.253434357006427e-07,2.1302907704523477e-07
1950,6.26422774985258e-07,3.243785187123649e-07
1951,6.51411619756459e-07,2.516090855664288e-07
