year,ces_DET heures_NOUN
1800,4.779129909593394e-07
1801,2.809795578428975e-07
1802,3.938598638342228e-07
1803,4.0567055314966183e-07
1804,5.759412742278869e-07
1805,4.292745461320635e-07
1806,3.4580029328878936e-07
1807,2.533790075531783e-07
1808,3.58039702774704e-07
1809,3.4111361646438354e-07
1810,5.616304292743735e-07
1811,2.1811567663121423e-07
1812,1.050880054975778e-06
1813,3.882251107256707e-07
1814,4.342414463565092e-07
1815,2.80511247563453e-07
1816,2.757948767140306e-07
1817,4.810738927218949e-07
1818,3.4213778743463763e-07
1819,4.2646326914308474e-07
1820,4.663527022330527e-07
1821,3.747365582285056e-07
1822,5.032859036191439e-07
1823,4.081549775936111e-07
1824,3.5621306437860767e-07
1825,4.6668848341369085e-07
1826,4.254256280589175e-07
1827,3.6776920531167434e-07
1828,3.834021802262555e-07
1829,5.29822282047121e-07
1830,6.251664448342353e-07
1831,5.955840478577556e-07
1832,8.036801786293069e-07
1833,6.927009597035294e-07
1834,7.616977377722378e-07
1835,8.591667679525017e-07
1836,6.539290008933385e-07
1837,6.603038391617133e-07
1838,6.173294133660079e-07
1839,6.278344972798777e-07
1840,6.745500469307331e-07
1841,6.664529230704375e-07
1842,7.72121294900785e-07
1843,7.448614844918211e-07
1844,7.480909118839918e-07
1845,7.617011354987824e-07
1846,6.117954001183534e-07
1847,8.122194863346976e-07
1848,7.06370484659935e-07
1849,1.1261933794415313e-06
1850,7.128445957960139e-07
1851,7.874764538229329e-07
1852,8.821789183599549e-07
1853,9.447596340805831e-07
1854,9.076826055220977e-07
1855,8.793594616918199e-07
1856,8.909942721402331e-07
1857,9.767899662449508e-07
1858,9.3860704808435e-07
1859,1.262349769604043e-06
1860,1.1983067480514364e-06
1861,1.0304380406722657e-06
1862,1.0323598704786718e-06
1863,1.0453741552396423e-06
1864,1.1018284880037754e-06
1865,1.028445485218299e-06
1866,1.0144803077594133e-06
1867,1.0127817731131472e-06
1868,1.0181080236648654e-06
1869,1.1280929532730966e-06
1870,9.88550018732326e-07
1871,1.255423162760394e-06
1872,1.2245862084370174e-06
1873,8.799426467476223e-07
1874,1.1536969939385244e-06
1875,9.835304997096728e-07
1876,9.661531734650453e-07
1877,9.054570888622493e-07
1878,1.0272490058582662e-06
1879,8.614148505614594e-07
1880,9.158266767173018e-07
1881,1.0647018857667945e-06
1882,1.1307498866131027e-06
1883,9.63067265047357e-07
1884,1.1090850584594136e-06
1885,1.006163740768784e-06
1886,9.512405583222971e-07
1887,1.1203634127099349e-06
1888,1.0639551195623653e-06
1889,9.855060216779066e-07
1890,1.1502948300545768e-06
1891,1.0804302590372572e-06
1892,1.0167527051407887e-06
1893,1.178720943961764e-06
1894,1.2388825965103933e-06
1895,1.431828437148397e-06
1896,1.2708097258951057e-06
1897,1.1735000873258628e-06
1898,1.1543043942907616e-06
1899,1.2481271749464895e-06
1900,1.1954995891017006e-06
1901,1.0842153104206886e-06
1902,1.0183928793594532e-06
1903,1.2690518147451257e-06
1904,1.2200399730488698e-06
1905,1.1869746128212455e-06
1906,1.1893354887604346e-06
1907,1.2239966871163688e-06
1908,1.2936599276258676e-06
1909,1.3807468626225727e-06
1910,1.3274870003243677e-06
1911,1.452994148110065e-06
1912,1.3091276080956504e-06
1913,1.5410487677058882e-06
1914,1.5402510875617281e-06
1915,2.8992455529675e-06
1916,2.942442414166635e-06
1917,2.743799454307805e-06
1918,2.7509870408337633e-06
1919,2.8323340682256948e-06
1920,2.0679765544429074e-06
1921,1.8076148275980586e-06
1922,1.6268348019821133e-06
1923,1.692182074464199e-06
1924,1.7919358361595528e-06
1925,1.6937193585420118e-06
1926,1.5638032682119274e-06
1927,1.7671521028717052e-06
1928,1.5562268345092889e-06
1929,1.5284637786550093e-06
1930,1.3990800233898426e-06
1931,1.3595184773507185e-06
1932,1.451042655364887e-06
1933,1.41089141614259e-06
1934,1.38986324671464e-06
1935,1.4601306572714634e-06
1936,1.476790199461675e-06
1937,1.7929752491596673e-06
1938,1.9266308921572772e-06
1939,1.9989323973845785e-06
1940,1.5392202232789032e-06
1941,2.0306337820130693e-06
1942,1.938861319272789e-06
1943,1.9364578425218326e-06
1944,2.0018149449185785e-06
1945,2.230788129331529e-06
1946,1.8974465021415199e-06
1947,1.6593852372182027e-06
1948,1.727542962903783e-06
1949,1.4126675145220702e-06
1950,1.3751522009997075e-06
1951,1.361461002602482e-06
1952,1.310719081715206e-06
1953,1.2465318803833725e-06
1954,1.354473554648905e-06
1955,9.864273540216573e-07
1956,1.2331694585476782e-06
1957,1.2545753076409483e-06
1958,1.214365298096709e-06
1959,1.1137824680318431e-06
1960,1.1578553991142826e-06
1961,1.288883572314603e-06
1962,1.1459915487677108e-06
1963,1.3139020360597442e-06
1964,1.2259195738550943e-06
1965,1.1491291314058572e-06
1966,1.0479929848372649e-06
1967,1.1596149835924052e-06
1968,1.3254167781084902e-06
1969,1.1209057735328543e-06
1970,1.0508086631944025e-06
1971,1.2193417422423636e-06
1972,1.162491233053231e-06
1973,1.0403415382498338e-06
1974,1.0249791462246804e-06
1975,8.984158537117537e-07
1976,1.0050093769420343e-06
1977,8.815172822806971e-07
1978,8.999995975145225e-07
1979,8.309802184136572e-07
1980,9.329332386620592e-07
1981,8.805164908309848e-07
1982,8.349090627746136e-07
1983,1.0319226628752176e-06
