year,aux_ADP ans_NOUN,aux_ADP bancs_NOUN
1800,2.5153315874604232e-08,1.3519907193781933e-07
1801,3.0955374485941434e-08,5.476719877606229e-08
1802,6.713520406265161e-08,8.056224487518193e-08
1803,9.751696339321825e-09,7.996390660736097e-08
1804,4.943701892301533e-09,2.4718509905596875e-08
1805,1.1371510844071508e-08,1.0518647242108159e-07
1806,7.204172636221529e-08,1.2967511509032192e-07
1807,3.131650672116848e-08,1.565825247240582e-07
1808,2.4926813502190726e-08,1.0877155176558517e-07
1809,9.036122072814123e-09,5.4216732658929345e-08
1810,1.4040760554223652e-08,5.148278958699848e-08
1811,8.774768645025688e-08,2.1811567307850055e-07
1812,2.1337665856435706e-08,2.1337665412346496e-07
1813,1.7254450312975678e-08,6.039057609541487e-08
1814,1.8880061958270744e-08,8.496028236493203e-08
1815,4.315557688983063e-08,1.213750584483364e-07
1816,2.3176038865813098e-08,1.4137383175238938e-07
1817,1.5568734412774177e-08,1.401186011662503e-07
1818,2.6226590676969863e-08,7.033494853203592e-08
1819,4.968504008218133e-08,1.8217848207768839e-07
1820,1.6613073583471305e-08,6.526564533260171e-08
1821,1.0847637454958203e-08,8.480879643002481e-08
1822,4.110502516141423e-08,1.0025615893027862e-07
1823,1.1859224047228167e-08,6.917881023582595e-08
1824,7.831634540877985e-08,8.75795747035113e-08
1825,2.0252518551089338e-08,1.1887347994843367e-07
1826,1.6735169472426037e-08,1.2507338453815464e-07
1827,1.198245475064752e-08,1.7512819106002553e-07
1828,1.9261833017480967e-08,1.0272977074565759e-07
1829,1.971830487779158e-08,1.9375378013108957e-07
1830,2.5048405571936883e-08,1.325478167224503e-07
1831,9.354723218280014e-09,2.510184149429051e-07
1832,2.3000947924067816e-08,1.122987483004323e-07
1833,2.5483982257767934e-08,2.629483781824149e-07
1834,2.7070139907436896e-08,1.6148739123700295e-07
1835,1.663879345414898e-08,4.6210467274931943e-07
1836,2.3522625958172227e-08,2.285054984119128e-07
1837,1.2524203452102256e-08,2.1708619157845277e-07
1838,2.398621434807069e-08,1.2939931903765967e-07
1839,1.6080393461237463e-08,1.796809178111758e-07
1840,3.3759350870354865e-08,1.4013315574601393e-07
1841,8.988767952189392e-09,1.7271275387642504e-07
1842,1.609983613093391e-08,2.0326043026486218e-07
1843,3.366939316240547e-08,1.1223131096693706e-07
1844,1.1525978838022866e-08,1.8276908453351837e-07
1845,1.0044410247989077e-08,1.7968334664608676e-07
1846,1.4050803187615202e-08,1.6275513736729863e-07
1847,1.887628364727334e-08,1.9199876799547155e-07
1848,2.091757700384278e-08,2.872144213572625e-07
1849,4.77626631578687e-08,3.368524676972129e-07
1850,2.2403687793826066e-08,1.995964842294029e-07
1851,1.805842853030981e-08,2.66361816159133e-07
1852,2.148479971708639e-08,1.328151251200893e-07
1853,1.4332636411040767e-08,1.3675724330752814e-07
1854,1.8184825922862302e-08,9.248282450968759e-08
1855,1.963566731433275e-08,2.2607552807585307e-07
1856,1.4496130074093116e-08,2.4022158118253145e-07
1857,2.147864064383498e-08,2.435872943351569e-07
1858,2.936205545367443e-08,1.742148689753975e-07
1859,2.4442432078330967e-08,1.1915685838026491e-07
1860,2.8378539518314483e-08,1.2221080777918836e-07
1861,2.640939672504672e-08,1.546836137511498e-07
1862,2.93669109308059e-08,1.6535829433506066e-07
1863,2.697095197179422e-08,1.5433377936746595e-07
1864,2.828889567041415e-08,1.6110285216974773e-07
1865,1.7415323849689912e-08,1.7886008052414581e-07
1866,2.0435575009969398e-08,1.518071220951711e-07
1867,2.329349513274792e-08,1.4558433747424715e-07
1868,1.6795571822214583e-08,1.7635350813005601e-07
1869,1.611561362135916e-08,2.2708363556223077e-07
1870,1.0321287380321564e-08,1.6399380209364267e-07
1871,1.8056001360733376e-08,1.4551012372798766e-07
1872,1.6932550250814415e-08,1.4755508459529665e-07
1873,1.5563611732716254e-08,1.9993254829486773e-07
1874,2.569081986036892e-08,1.792382808285531e-07
1875,3.71899266937703e-08,2.0425851737781997e-07
1876,3.5066884507273244e-08,1.8258964740169858e-07
1877,1.5462039648639347e-08,1.972956251705682e-07
1878,3.200716980344964e-08,1.9506256032642e-07
1879,3.2990356002571275e-08,1.9672027284922677e-07
1880,2.1820677709172287e-08,1.8290861181213813e-07
1881,1.882577010947628e-08,2.252120001600133e-07
1882,1.6638462163598433e-08,2.316073983710254e-07
1883,2.0221884611260066e-08,1.7820535114232428e-07
1884,2.2445769687351458e-08,2.0927380006696694e-07
1885,2.9005360890899112e-08,2.2044073438864942e-07
1886,2.1296431229611557e-08,2.129643053017105e-07
1887,2.219834327465975e-08,2.2785946907077914e-07
1888,2.5362458577760094e-08,2.0416779955567677e-07
1889,1.8795410117178335e-08,2.4183428104507243e-07
1890,1.966316010015845e-08,2.0842948544874673e-07
1891,2.995883363610119e-08,2.090744142257961e-07
1892,3.573051987615372e-08,2.3506921320581853e-07
1893,2.155445777418663e-08,1.93374276646896e-07
1894,2.8987080291642542e-08,2.129920320115275e-07
1895,2.106515117894503e-08,1.9620683500143343e-07
1896,2.0639601361338578e-08,2.052166040988901e-07
1897,3.146425364697336e-08,1.4100647061088267e-07
1898,1.810673555535658e-08,2.365192329767396e-07
1899,1.9346524382513053e-08,1.8019905034805106e-07
1900,1.9206897072798768e-08,1.9777913151663995e-07
1901,1.956058603980182e-08,2.0287122493023446e-07
1902,1.816805017540446e-08,2.111422068296065e-07
1903,2.052083747372535e-08,2.1114861237236937e-07
1904,3.171028861714831e-08,1.5478920722955536e-07
1905,3.302885742684225e-08,1.5637100236887136e-07
1906,2.1091156710006942e-08,2.021664546880686e-07
1907,2.6228502036929058e-08,1.1262826643543278e-07
1908,2.357466755142923e-08,1.0903283476082493e-07
1909,1.8153245295859932e-08,1.4742635945363958e-07
1910,3.580580976159098e-08,1.8276995705779342e-07
1911,2.2345571171200618e-08,1.4737436337952659e-07
1912,2.813087401909442e-08,1.541988676745376e-07
1913,2.1742257771961704e-08,1.1242338499029003e-07
1914,2.7456649620560825e-08,1.8081208441600438e-07
1915,5.772573496987121e-08,1.284103022802796e-07
1916,1.9777432136436346e-08,1.1866459148635045e-07
1917,2.9609346086090227e-08,1.1843738578765084e-07
1918,4.135095377222342e-08,1.1601240412772995e-07
1919,3.222746869369075e-08,1.3995929443177957e-07
1920,3.028892603396116e-08,1.537163010212339e-07
1921,4.013556204052193e-08,1.272221546444463e-07
1922,2.5822774307737717e-08,1.4460754049760993e-07
1923,2.866306125781648e-08,1.645472025302297e-07
1924,1.2891624101563082e-08,2.2818175748895442e-07
1925,2.859526304632709e-08,1.583737569976762e-07
1926,4.124071217859182e-08,1.136906098153645e-07
1927,2.8987985345452216e-08,1.5051453472469944e-07
1928,3.1992915872081085e-08,1.1654562059870699e-07
1929,3.899142186902793e-08,1.6822013759743015e-07
1930,3.046045016219523e-08,1.428490019605988e-07
1931,2.5091785538222666e-08,1.3116160157977674e-07
1932,3.835837791843488e-08,1.7535258312051383e-07
1933,4.014731747048472e-08,1.6288339987902134e-07
1934,2.7557634396657704e-08,1.42580809381343e-07
1935,2.393656828303392e-08,1.1728918458686621e-07
1936,2.7886844389257703e-08,1.2852198061352738e-07
1937,3.52551301485704e-08,1.6620275955503416e-07
1938,4.408173026604345e-08,1.3743127658116805e-07
1939,3.8235126176289214e-08,1.881168154582724e-07
1940,3.2965178364818826e-08,1.5468275549324062e-07
1941,3.5418031174572207e-08,1.7413864927817713e-07
