year,pas_ADV eu_VERB,pas_ADV bu_VERB
1800,2.0210689399391413e-05,6.60274537267469e-08
1801,2.2166428607306443e-05,7.857902772911984e-08
1802,2.083876825054176e-05,6.937304419807333e-08
1803,1.9162082026014104e-05,3.90067853572873e-08
1804,2.4147511794581078e-05,7.662737999680758e-08
1805,2.196407331211958e-05,4.8328921309348516e-08
1806,2.296978527738247e-05,7.492339904047185e-08
1807,2.6012628950411454e-05,4.27043254092041e-08
1808,2.215087260992732e-05,9.517511045942229e-08
1809,2.2766509573557414e-05,8.810219043198231e-08
1810,2.537633372412529e-05,5.616304221689461e-08
1811,2.044521170319058e-05,1.278609147448151e-07
1812,2.512510218366515e-05,3.467370746079723e-08
1813,2.4501317966496572e-05,4.888760685162197e-08
1814,2.291724922542926e-05,9.754699448194515e-08
1815,2.3665439584874548e-05,8.361393355471591e-08
1816,2.2508569600176997e-05,1.622322720606917e-08
1817,2.2201014871825464e-05,3.580808893843823e-08
1818,2.2368896679836325e-05,5.841376804482934e-08
1819,2.2470059775514528e-05,1.449147024601416e-08
1820,2.3604803573107347e-05,9.01852530432734e-08
1821,2.441605829517357e-05,7.297501269931672e-08
1822,2.275012775498908e-05,1.1930482912703155e-07
1823,2.273709833389148e-05,8.004976592701496e-08
1824,2.192099782405421e-05,3.452656116564867e-08
1825,2.2650241589872167e-05,7.924898426381333e-08
1826,2.1821781047037803e-05,8.896063974361823e-08
1827,2.4740082153584808e-05,8.019027575301152e-08
1828,2.553660306148231e-05,7.154395120778645e-08
1829,2.551805846451316e-05,6.258418494553553e-08
1830,2.533228871470783e-05,1.2106730196137505e-07
1831,2.6118388632312417e-05,8.107426907599802e-08
1832,2.672980735951569e-05,7.306183391619925e-08
1833,2.3818256522645243e-05,8.91939393454777e-08
1834,2.4819584723445587e-05,1.2041545005558874e-07
1835,2.3432714442606084e-05,1.3537928111873043e-07
1836,2.2404292394639924e-05,1.0954822471376247e-07
1837,2.3403561499435455e-05,1.0854309806518359e-07
1838,2.2798265490564518e-05,7.32210807541378e-08
1839,2.3339642211794853e-05,7.480878139176639e-08
1840,2.4296539777424186e-05,8.280595409360103e-08
1841,2.450209649396129e-05,1.3290535605392506e-07
1842,2.4369785023736767e-05,9.12324082946725e-08
1843,2.3371874704025686e-05,9.628264763250627e-08
1844,2.384340768912807e-05,7.190015338665035e-08
1845,2.402567224635277e-05,7.700714377278928e-08
1846,2.443903031235095e-05,1.0011197559833818e-07
1847,2.4589324311818928e-05,6.957258591455684e-08
1848,2.550013414293062e-05,9.49336182998195e-08
1849,2.829728509823326e-05,8.547003460535052e-08
1850,2.563253292464651e-05,1.2084413469892752e-07
1851,2.5477862436673604e-05,7.029888138276874e-08
1852,2.4818849851726554e-05,1.0807505645971105e-07
1853,2.3702597900410183e-05,5.1955808544335014e-08
1854,2.4187896997318603e-05,1.1222635265539793e-07
1855,2.4087656129267998e-05,1.0401596739484376e-07
1856,2.4798737285891548e-05,9.526028321715785e-08
1857,2.434701491438318e-05,1.0202354161492622e-07
1858,2.5688374080345966e-05,9.59160502134182e-08
1859,2.5129875211860053e-05,9.624207564229437e-08
1860,2.4018314434215426e-05,1.1854906034614032e-07
1861,2.4906890757847577e-05,1.292174118816547e-07
1862,2.463386772433296e-05,1.436719685443677e-07
1863,2.477481757523492e-05,9.689564706150122e-08
1864,2.532575308578089e-05,8.438721010861627e-08
1865,2.5237157387891784e-05,1.1343495032178907e-07
1866,2.4979570298455656e-05,9.050040006286508e-08
1867,2.5342351364088245e-05,8.783588612004678e-08
1868,2.45813080255175e-05,1.0423134000348e-07
1869,2.582746856205631e-05,9.57169774551403e-08
1870,2.4851367925293744e-05,1.0493309332559875e-07
1871,2.818754182953853e-05,1.656903663160847e-07
1872,2.734183544816915e-05,1.4695034167289123e-07
1873,2.6412048100610264e-05,8.55998649740286e-08
1874,2.6748923119157553e-05,9.977597414945194e-08
1875,2.5674780772533268e-05,8.52507540116676e-08
1876,2.497850618965458e-05,1.5175497480868216e-07
1877,2.4468368792440742e-05,1.1812998224058902e-07
1878,2.4206479793065228e-05,7.911206267863236e-08
1879,2.5364695829921402e-05,1.3562701894898055e-07
1880,2.4315293558174744e-05,1.1102873997970164e-07
1881,2.434241832816042e-05,1.5827592392270162e-07
