year,deux_DET ans_NOUN,deux_DET bancs_NOUN
1800,2.2854931899018993e-05,6.917161954334006e-08
1801,2.3223673565553327e-05,1.619204113012529e-07
1802,2.085667028950411e-05,1.8350289110458107e-07
1803,2.4190056933548476e-05,1.735801902214007e-07
1804,2.3707521563665068e-05,1.6808586433825212e-07
1805,2.2211403233995952e-05,6.822906328807221e-08
1806,2.2747895627617254e-05,1.0374009207225754e-07
1807,2.258774270558206e-05,2.44838133767189e-07
1808,2.4518920781702036e-05,9.744118045773575e-08
1809,2.840279148585978e-05,1.3780085539316644e-07
1810,2.6696166401052324e-05,1.1232608443378922e-07
1811,3.280509974956658e-05,2.1560860474778565e-07
1812,2.6082628437507083e-05,1.2535878246566767e-07
1813,3.1233429126587e-05,1.8404746526812232e-07
1814,2.4880776663849247e-05,2.454408161156607e-07
1815,2.3681622224103194e-05,1.402556275564848e-07
1816,2.473346808073984e-05,2.6188924096004484e-07
1817,2.219478722054191e-05,1.634717063936364e-07
1818,3.026667786798498e-05,8.702459552978326e-08
1819,2.980895442306064e-05,9.83349774941189e-08
1820,2.7404452112023137e-05,8.662531580938548e-08
1821,2.7602306658991438e-05,1.1340711836282935e-07
1822,2.485450363565178e-05,1.7244059336007922e-07
1823,2.552006230871484e-05,1.6701740435109969e-07
1824,2.455596381878422e-05,1.4989581220703485e-07
1825,2.67033868794897e-05,2.0164464054062137e-07
1826,2.652524437962711e-05,1.9113326388264795e-07
1827,2.612636023968662e-05,1.742064563714507e-07
1828,2.5398102252438548e-05,1.4217066279798019e-07
1829,2.4340104346265434e-05,1.903245108181295e-07
1830,2.482610079823644e-05,2.2647933950459276e-07
1831,2.5248398742405698e-05,1.9489007740958186e-07
1832,2.9634691827595816e-05,2.678933994637589e-07
1833,2.7282920427751378e-05,3.0233269399104756e-07
1834,2.739498177106725e-05,2.3896398637646143e-07
1835,2.686635718873731e-05,2.2008585176536144e-07
1836,2.6696162990447192e-05,1.7877194880000502e-07
1837,2.8485605525929714e-05,1.7951359199130934e-07
1838,2.7173224907528493e-05,1.8431512138761263e-07
1839,2.7301010732116993e-05,2.048502283358289e-07
1840,2.7588395710154145e-05,1.3312649682628575e-07
1841,2.8096961841583834e-05,2.2407714794780986e-07
1842,2.8579222544067306e-05,1.3751943583883985e-07
1843,2.9381567173913936e-05,2.0733258487837247e-07
1844,2.8093749506297172e-05,1.383117425035607e-07
1845,2.7340885026205797e-05,1.495501118498055e-07
1846,2.7226357588006067e-05,1.2528633352992813e-07
1847,2.8703275120278704e-05,1.801336697582201e-07
1848,2.6990914420821355e-05,1.9388984018320343e-07
1849,2.7888368208550673e-05,1.6256064583330954e-07
1850,3.013160096543288e-05,1.2491752698906566e-07
1851,2.796025250972889e-05,1.5801124364500652e-07
1852,2.756174353635288e-05,1.5755519910953808e-07
1853,2.838459215581679e-05,1.749775968562517e-07
1854,2.7388944317863206e-05,2.047091847146021e-07
1855,2.8526910000437056e-05,1.761903050123692e-07
1856,2.7127954467687232e-05,2.1071160638541642e-07
1857,2.754928391368594e-05,1.7866323132054163e-07
1858,2.9581783110188553e-05,1.3359735140383577e-07
1859,2.6821495794138173e-05,1.84845895923047e-07
1860,2.7797695111075882e-05,1.748484290686747e-07
1861,2.742851677339786e-05,1.3299017354029274e-07
1862,2.87727953036665e-05,1.816230454920742e-07
1863,2.9034730005150777e-05,1.3685261102125423e-07
1864,2.896159435294976e-05,1.20347672272203e-07
1865,2.775767245566385e-05,2.0192362848447942e-07
1866,2.68596435262225e-05,1.5278024534381984e-07
1867,2.9428904326778138e-05,1.509224336615489e-07
1868,2.9551809120675898e-05,1.748715394711553e-07
1869,2.830145899679337e-05,1.7776010086123506e-07
1870,3.1369834005090524e-05,1.9151723229526851e-07
1871,2.669208049610461e-05,1.4975860018751064e-07
1872,2.914938397680089e-05,1.4211247911788405e-07
1873,2.9397268122011155e-05,2.1250316351029142e-07
1874,2.866796694434015e-05,1.7625097026296999e-07
1875,3.0118691029201727e-05,1.8423316827664848e-07
1876,2.98455477150128e-05,2.2853935988109697e-07
1877,3.3209986895599286e-05,1.7255637319024686e-07
1878,2.9792636951242457e-05,2.2465410420835497e-07
1879,3.0991385528977844e-05,2.3215436684154156e-07
1880,3.225737805223616e-05,2.1692320739674642e-07
1881,3.171235971421993e-05,2.0778072240545953e-07
1882,3.1965148309609503e-05,2.808572405754717e-07
1883,3.178627571287507e-05,2.3318360087287715e-07
1884,3.18584695833124e-05,2.237975245122925e-07
1885,3.1833060688768455e-05,2.5782541879237897e-07
1886,3.253578302064852e-05,2.0522015731216925e-07
1887,3.179912778250582e-05,2.879255731613739e-07
1888,3.195225986019068e-05,2.1494683366540812e-07
1889,3.074615801779146e-05,2.4747289373294734e-07
1890,3.231377991141926e-05,2.7987229245240997e-07
1891,3.154346518385864e-05,2.434952079966024e-07
1892,3.065239866373304e-05,2.4509883189693937e-07
1893,3.1418393291460234e-05,2.746653837704116e-07
1894,3.152282101837045e-05,3.03104044974134e-07
1895,3.274788468843326e-05,2.323185182007137e-07
1896,3.278040458098985e-05,2.989793799201834e-07
1897,3.210926990959706e-05,2.1558840224145115e-07
1898,3.32315192963506e-05,2.2293917645299643e-07
1899,3.468334239187243e-05,2.0009833434642132e-07
1900,3.3337982358716545e-05,4.313765300523187e-07
1901,3.3795664421631955e-05,2.542876247346726e-07
1902,3.1959074135556875e-05,2.067229436519824e-07
1903,3.471207753591443e-05,2.4192986103344083e-07
1904,3.506029383970599e-05,2.0101098563429787e-07
