year,quelques_DET arts_NOUN,quelques_DET bars_NOUN
1800,6.759953361523685e-07,0.0
1801,5.381472782950425e-07,0.0
1802,2.618272958443413e-07,0.0
1803,2.632958018278231e-07,0.0
1804,3.4358727729610905e-07,0.0
1805,2.672305021711452e-07,0.0
1806,1.671368083933089e-07,0.0
1807,4.953701684407008e-07,0.0
1808,3.7616828940656433e-07,0.0
1809,4.992457434127573e-07,0.0
1810,2.3167255225331473e-07,0.0
1811,2.206227520673565e-07,0.0
1812,2.453831555726538e-07,0.0
1813,2.760711899085777e-07,0.0
1814,3.8074792207964947e-07,0.0
1815,8.631115377966125e-08,0.0
1816,1.4832664874120383e-07,0.0
1817,1.588010860587019e-07,0.0
1818,1.4186200480992284e-07,0.0
1819,1.697572156178495e-07,0.0
1820,2.4326286052200885e-07,0.0
1821,1.3313008950799343e-07,0.0
1822,1.373509377344817e-07,0.0
1823,1.7097048399250525e-07,0.0
1824,2.366332712000485e-07,0.0
1825,1.7258668361108676e-07,0.0
1826,1.4885493593297383e-07,0.0
1827,2.6822263876624675e-07,0.0
1828,2.1371461400576663e-07,0.0
1829,2.0318427251808657e-07,0.0
1830,1.868193655329975e-07,0.0
1831,1.34084368497156e-07,0.0
1832,1.975375509832844e-07,0.0
1833,1.2394482951094687e-07,0.0
1834,2.0722659233030072e-07,0.0
1835,2.01934447829899e-07,0.0
1836,9.946710344266307e-08,0.0
1837,1.2037151164712157e-07,0.0
1838,1.1740621319589195e-07,0.0
1839,1.202533725930266e-07,0.0
1840,1.1401742766592449e-07,0.0
1841,9.951850543643559e-08,0.0
1842,7.110761002238064e-08,0.0
1843,1.0337094646928335e-07,0.0
1844,1.1855292081364155e-07,0.0
1845,6.752075681903946e-08,0.0
1846,1.0186832199998719e-07,0.0
1847,7.712309546548113e-08,0.0
1848,5.068489528081699e-08,0.0
1849,7.625267928190738e-08,0.0
1850,5.838536676350259e-08,0.0
1851,4.708090317606661e-08,0.0
1852,1.0156450658271865e-07,0.0
1853,7.285756886687977e-08,0.0
1854,4.676098053213451e-08,0.0
1855,3.980202833986368e-08,0.0
1856,7.299837062602066e-08,0.0
1857,2.782460128969433e-08,0.0
1858,3.474509924217273e-08,0.0
1859,5.652312506931878e-08,5.092173349652285e-10
1860,3.478659782452098e-08,0.0
1861,2.923897596263103e-08,0.0
1862,3.3884898442693157e-08,0.0
1863,2.1476870060155306e-08,0.0
1864,5.8495679411407764e-08,0.0
1865,3.43599646512871e-08,0.0
1866,2.6274309505858184e-08,0.0
1867,3.34843974769683e-08,9.7056229719783e-10
