year,mêmes_ADJ os_NOUN,mêmes_ADJ bosses_NOUN
1800,4.4018303668735825e-08,0.0
1801,7.619784270218588e-08,0.0
1802,4.0281122437590966e-08,0.0
1803,7.80135707145746e-08,0.0
1804,4.943701981119375e-08,0.0
1805,1.1371511021707192e-07,0.0
1806,1.4408345627714425e-08,0.0
1807,1.195721210933698e-07,0.0
1808,3.3991110370834576e-08,0.0
1809,8.584316191218022e-08,2.259030518203531e-09
1810,3.510190182964834e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,9.868670503010435e-08,0.0
1813,1.4091133948568313e-07,0.0
1814,5.034683425719777e-08,0.0
1815,1.6453063267363177e-07,2.697223555614414e-09
1816,6.489290882427667e-08,0.0
1817,9.029865566390072e-08,0.0
1818,1.4782260393531033e-07,0.0
1819,5.4860564091541164e-08,0.0
1820,6.40789963313182e-08,0.0
1821,1.1340711836282935e-07,0.0
1822,1.0326384369818697e-07,0.0
1823,7.510841726343642e-08,0.0
1824,5.3895121254754486e-08,0.0
1825,1.3120110509134975e-07,0.0
1826,5.549030035467695e-08,0.0
1827,5.530363722527909e-08,1.8434546111834038e-09
1828,1.8252879385727283e-07,0.0
1829,1.3116959962644614e-07,0.0
1830,5.9489963177838945e-08,0.0
1831,5.14509785887185e-08,0.0
1832,6.764985016616265e-08,0.0
1833,3.243415847009601e-08,1.1583628500844156e-09
1834,9.614566920390644e-08,2.8003592777992026e-09
1835,1.1269001021219083e-07,7.563087933704082e-10
1836,8.064900214321824e-08,7.392825018825988e-09
1837,1.1410941169742728e-07,1.3915781860163179e-09
1838,6.122797202579022e-08,1.2624323808552163e-09
1839,6.362242288560083e-08,6.9914751765765e-10
1840,4.522479102320176e-08,0.0
1841,7.833069304297169e-08,1.2841097074556274e-09
1842,6.842430622100437e-08,0.0
1843,7.383638944702398e-08,5.906911071384968e-10
1844,7.025358428336403e-08,4.9397050894128824e-09
1845,6.696273402440056e-08,0.0
1846,3.219975752699611e-08,0.0
1847,4.638172157456211e-08,0.0
1848,1.850401076808339e-08,0.0
1849,4.357295679824347e-08,0.0
1850,5.0238568860550004e-08,0.0
1851,6.126966667352463e-08,0.0
1852,5.989701890030119e-08,0.0
1853,6.210809289086683e-08,5.971931837933653e-10
1854,5.507404310378661e-08,0.0
1855,7.90733594158155e-08,0.0
1856,4.4523826403519706e-08,0.0
1857,3.612316845647001e-08,9.763018171682347e-10
1858,3.3766365703513657e-08,9.787352039936081e-10
1859,3.666364989385329e-08,5.092173349652285e-10
1860,5.904567146330919e-08,0.0
1861,3.5369726703038395e-08,0.0
1862,4.653525920161883e-08,0.0
1863,3.296449690992631e-08,4.994620828036034e-10
1864,5.513937040291239e-08,2.8768367688059016e-09
1865,6.542513375507042e-08,3.294791106611683e-09
1866,2.7247432754506917e-08,0.0
1867,4.949867715708933e-08,3.88224918879132e-09
1868,6.718228462432307e-08,4.93987406535723e-10
1869,6.446245492952585e-08,0.0
1870,1.0206606759766146e-07,4.013834153937523e-09
1871,1.2745412902859243e-07,0.0
1872,4.475031190054324e-08,6.047339295989218e-10
1873,3.95076291681562e-08,0.0
1874,1.0515311998915422e-07,0.0
1875,4.691652222277298e-08,0.0
1876,5.2600327649088285e-08,0.0
1877,5.3807898581226254e-08,0.0
1878,4.1065803202400275e-08,5.435179861734696e-09
1879,6.231511662235789e-08,1.221865053580018e-09
1880,3.2089232604448625e-08,2.5671385017744797e-09
1881,2.9284532132578533e-08,0.0
1882,4.592215674392719e-08,0.0
1883,2.8437025179073316e-08,1.2638677882037541e-09
1884,4.8192386969958534e-08,0.0
1885,4.5119449509911647e-08,3.2228177904158883e-09
1886,4.58195934527339e-08,0.0
1887,3.3297514079322355e-08,3.9173548849191775e-09
1888,3.297119732792453e-08,0.0
1889,5.0121094830046786e-08,0.0
1890,3.736000309118026e-08,0.0
1891,5.290602800300803e-08,1.2748440081367107e-09
1892,1.6298132621272998e-08,0.0
1893,4.249307394843527e-08,0.0
1894,2.2685540557176864e-08,0.0
1895,2.1065151400989635e-08,6.018614495673091e-10
1896,2.6536630670648265e-08,0.0
1897,1.806281169081103e-08,0.0
1898,1.6975064909274806e-08,0.0
1899,1.6029977345510815e-08,0.0
1900,1.9206897405865675e-08,5.191053142894475e-10
1901,4.470991132876634e-09,0.0
1902,2.0623192042990013e-08,1.4730852093691738e-09
1903,1.83607493653426e-08,4.320176216765503e-09
