year,leurs_DET ailes_NOUN,leurs_DET belles_NOUN
1800,3.4522926029012524e-06,1.4148740490327327e-07
1801,1.7620751542324342e-06,1.7620750725200196e-07
1802,2.1975589561407105e-06,1.4098392853156838e-07
1803,4.489680804908858e-06,1.2287136996746995e-07
1804,2.5385909694364273e-06,1.3347995775347954e-07
1805,2.385174301622328e-06,1.9331568523739406e-07
1806,1.9566533921988594e-06,1.440834500598953e-07
1807,1.6341522410812104e-06,1.4234775846944103e-07
1808,1.7539412908718077e-06,9.290903335568146e-08
1809,1.7010500101832804e-06,1.4683698168482806e-07
1810,2.8877163060769817e-06,1.33387230150106e-07
1811,1.4215125077043922e-06,2.2312983638528294e-07
1812,1.1015570251515783e-06,1.7603574065105931e-07
1813,8.569710274741738e-07,3.105801102964989e-07
1814,1.0635769132072426e-06,5.97868634599763e-08
1815,1.1409255260552698e-06,8.631115377966125e-08
1816,2.825159100439123e-06,4.8669683394564345e-08
1817,4.413736178321415e-06,2.864647005162979e-07
1818,2.4569545473696053e-06,1.418620172444207e-07
1819,1.7420817108870779e-06,1.376689624521532e-07
1820,1.5556956753925988e-06,2.598759412109075e-07
1821,1.3687746118762334e-06,1.2425475404143072e-07
1822,1.7073624434260637e-06,1.2431763707354548e-07
1823,1.2106290903091121e-06,2.1544257045036375e-07
1824,1.1831662796168985e-06,1.2800092008546926e-07
1825,1.563846630858734e-06,1.479314419849942e-07
1826,1.3423367697384947e-06,1.6823250348352303e-07
1827,1.0046827334520003e-06,1.3641563612054597e-07
1828,1.5776358353036812e-06,1.2199160437376122e-07
1829,1.7403547758476634e-06,1.4060008429739312e-07
1830,1.8368831220527682e-06,1.3046044955444813e-07
1831,1.4297136132768173e-06,1.216114071667107e-07
1832,2.076850371679484e-06,1.6912461830997927e-07
1833,1.8858147647904389e-06,1.2394482951094687e-07
1834,2.2188179116255924e-06,2.00692412022363e-07
1835,2.1380850228069903e-06,1.3462296521993267e-07
1836,2.1338382509838993e-06,1.821323252215734e-07
1837,1.6497159265327355e-06,1.7325147894098336e-07
1838,1.690396977949149e-06,1.5275432163619485e-07
1839,1.6248188430267874e-06,1.1815593126129897e-07
1840,1.2720268749433217e-06,1.407701233357983e-07
1841,1.935153328247452e-06,1.1749603867627911e-07
1842,1.292682714648663e-06,1.2410289684794407e-07
1843,1.7041438127307629e-06,1.3172412227646646e-07
1844,1.4506267653757732e-06,1.3007890681260292e-07
1845,1.447511102981025e-06,1.3001931620237883e-07
1846,1.3980549091741068e-06,1.0245377368711672e-07
1847,1.2102393611712614e-06,9.060615990819088e-08
1848,1.0861049020149949e-06,1.2389641312893218e-07
1849,1.3851173079615364e-06,1.2150151462719805e-07
1850,1.4134689720890492e-06,6.313766220955586e-08
1851,1.140905682817106e-06,6.06247212431299e-08
1852,1.950559401109331e-06,7.55223275028527e-08
1853,1.7300686501187101e-06,1.206330286773749e-07
1854,1.2105898470338161e-06,1.0443285702876892e-07
1855,1.4949642093142756e-06,1.2205955712829564e-07
1856,1.3512463645781736e-06,1.0975640929444808e-07
1857,1.6509264142428037e-06,9.616572782533694e-08
1858,1.1876952132894303e-06,1.0472466982491824e-07
1859,1.4202071376701042e-06,1.4614538201840332e-07
1860,1.8098185421422386e-06,1.3960411235358627e-07
1861,1.3992264236151186e-06,7.734180340612795e-08
1862,1.2681987335838585e-06,1.2243743444106947e-07
1863,1.1837251800983495e-06,1.1387735554535539e-07
1864,1.270123478391838e-06,8.918194249751821e-08
