year,plusieurs_DET ailes_NOUN,plusieurs_DET belles_ADJ
1800,6.288328968651058e-09,6.60274537267469e-08
1801,1.1905912700171939e-08,7.381665945160876e-08
1802,0.0,6.042168365638645e-08
1803,0.0,1.345734048641134e-07
1804,2.2246657849223084e-08,1.60670310833666e-07
1805,5.685755422035754e-09,6.25433100864825e-08
1806,0.0,4.8988376022407465e-08
1807,0.0,9.964342773116641e-08
1808,2.2660739951163578e-09,9.744118401044943e-08
1809,2.9367396514601296e-08,5.873479302920259e-08
1810,4.9142660163425944e-08,8.424456332534191e-08
1811,1.7549536934780008e-08,1.3788922625934674e-07
1812,3.467370746079723e-08,5.601137331723294e-08
1813,5.751483289628823e-09,5.7514833784466646e-08
1814,3.1466772298927026e-08,6.608022040666128e-08
1815,2.6972236000233352e-08,1.8880565111345504e-08
1816,2.3176038865813098e-09,5.3304887615013286e-08
1817,1.401186100480345e-08,4.826307620220405e-08
1818,2.2650237241350624e-08,4.887682769627588e-08
1819,3.1053151161586356e-09,4.8649934414335405e-08
1820,1.6613073583471305e-08,5.221251608844568e-08
1821,1.0847637454958203e-08,8.185035227370463e-08
1822,6.015369535816717e-09,5.1130641054442094e-08
1823,5.929612356680991e-09,4.74368975211803e-08
1824,6.736890156844311e-09,1.6421169579672323e-07
1825,8.805443485471187e-09,7.74878987641614e-08
1826,1.2331177856594877e-08,5.725189744509862e-08
1827,2.7651818612639545e-09,6.912954919613412e-08
1828,4.586150570418113e-09,5.503380595683893e-08
1829,5.143905745796928e-09,8.058785216924491e-08
1830,7.305785310052215e-09,3.757260813586072e-08
1831,3.1182412207897414e-09,5.6128341086036926e-08
1832,6.764984572527055e-09,9.606278439378002e-08
1833,9.266902800675325e-09,7.876867513800789e-08
1834,7.467624740797874e-09,4.760610927689868e-08
1835,1.739510224751939e-08,7.941242330389287e-08
1836,1.5457725766054864e-08,9.341842321930471e-08
1837,6.957891041103892e-09,7.097048904114445e-08
1838,1.2624323808552163e-08,9.973216030800813e-08
