year,êtes_VERB au_ADP,êtes_VERB beau_ADV,etes_VERB au_ADP
1800,2.1694735607979965e-07,0.0,0.0
1801,3.881327472754492e-07,4.7623651688866175e-09,0.0
1802,1.9469209178168967e-07,1.1189200677108602e-08,6.713520406265161e-09
1803,2.7109715006190527e-07,1.3652374342143503e-08,0.0
1804,4.7459536745009245e-07,9.887403784603066e-09,0.0
1805,3.8663137047478813e-07,8.528632911009026e-09,0.0
1806,3.5156364219801617e-07,2.881669125542885e-09,0.0
1807,3.359407116931834e-07,2.8469551160981155e-09,2.8469551160981155e-09
1808,2.1527702642742952e-07,4.5321479902327155e-09,0.0
1809,2.01053723003497e-07,1.3554183553310395e-08,0.0
1810,3.182572356763558e-07,2.574139479349924e-08,0.0
1811,3.685402987230191e-07,2.5070767684098882e-09,0.0
1812,2.827240734859515e-07,3.7340914360584065e-08,0.0
1813,3.335860299102933e-07,1.4378708002027452e-08,0.0
1814,2.171207285073251e-07,1.2586708564299443e-08,0.0
1815,2.022917726662854e-07,2.697223555614414e-09,0.0
1816,3.082413115862437e-07,0.0,0.0
1817,3.26943421669057e-07,3.113746815941454e-09,0.0
1818,3.874382628055173e-07,1.0729059418679299e-08,1.1921177378582115e-09
1819,2.98110251151229e-07,6.210630232317271e-09,1.035105001712111e-09
1820,4.153268378104258e-07,9.493184904840746e-09,1.1866481131050932e-09
1821,4.743375825455587e-07,3.94459531705138e-09,9.86148829262845e-10
1822,3.348555708271306e-07,1.5038423839541792e-08,0.0
1823,4.200142029731069e-07,1.7788837070042973e-08,0.0
1824,3.486340744984773e-07,1.0947446504872005e-08,8.421112696055388e-10
1825,4.922242737848137e-07,1.3208164340028361e-08,0.0
1826,3.267762167524779e-07,3.5231937367541377e-09,0.0
1827,3.7698646337958053e-07,3.6869092223668076e-09,9.217273055917019e-10
1828,4.017468029360316e-07,1.2841221419535032e-08,0.0
1829,2.803428458264534e-07,1.800366966620004e-08,0.0
1830,3.433719086842757e-07,5.218417697960831e-09,2.0873671680021744e-09
1831,3.617159904933942e-07,2.494592976631793e-08,0.0
1832,4.275470359971223e-07,2.570694235259907e-08,0.0
1833,3.092828819717397e-07,2.89590715851773e-08,0.0
1834,3.687139837893483e-07,1.8669062740173104e-08,0.0
1835,4.0840674842002045e-07,4.0084366048631637e-08,4.5378527602224494e-09
1836,3.541835269516014e-07,4.5029025841358816e-08,0.0
1837,3.9103346693991625e-07,3.1310509740478665e-08,0.0
1838,3.509562134240696e-07,1.9567702125300457e-08,1.2624323808552163e-09
1839,2.94341106155116e-07,4.894032734625853e-09,6.9914751765765e-10
1840,2.8663598072853347e-07,1.52872523528913e-08,0.0
1841,2.6645275852388295e-07,2.760835826620678e-08,1.2841097074556274e-09
1842,3.025427588454477e-07,2.1466448174578545e-08,0.0
1843,3.2960562634798407e-07,2.0674189471492355e-08,0.0
1844,4.039580971948453e-07,1.4270259640625227e-08,1.6465684371524958e-09
1845,3.7275921727086825e-07,1.8414752389617206e-08,2.7901139176833567e-09
1846,3.073613186188595e-07,1.2879903366069811e-08,1.1709002656346001e-09
1847,2.648072836564097e-07,1.1325769655456952e-08,5.393223645455691e-10
1848,2.984777154324547e-07,2.172209789819135e-08,2.413566457803995e-09
1849,3.14228060460664e-07,3.3517659758786067e-09,0.0
1850,2.1453227816436993e-07,1.968808760466345e-08,6.788996032014438e-10
1851,2.940944057172601e-07,9.674158363282004e-09,6.449438760824933e-10
1852,3.157614401061437e-07,2.539112742283578e-08,6.510545436100301e-10
1853,3.308450118311157e-07,2.030456869306363e-08,0.0
1854,3.065441944727354e-07,2.286092382064453e-08,1.558699391779328e-09
1855,3.502578351799457e-07,3.502578493908004e-08,1.0613874223963649e-09
1856,3.3910589536390034e-07,2.8992259260007813e-08,3.6240324075009767e-09
1857,3.3535968668729765e-07,3.612316845647001e-08,1.9526036343364694e-09
1858,3.55770254145682e-07,3.6213201326518174e-08,0.0
1859,3.4168482443419634e-07,1.9859475841599306e-08,0.0
1860,3.016364189534215e-07,2.4259074749011234e-08,9.154367819341758e-10
1861,4.041581007641071e-07,3.254015012998934e-08,2.357981809808507e-09
1862,3.569209070519719e-07,3.4788495639759276e-08,4.517986262886353e-10
1863,3.3014444511536567e-07,2.3974180862751382e-08,0.0
1864,3.0830099717604753e-07,3.404256787575832e-08,4.794727948009836e-10
1865,3.5583744306677545e-07,2.0710114512212385e-08,1.4120533631256649e-09
1866,3.8924903833503777e-07,3.113992264047738e-08,4.865612912574591e-10
1867,3.280500493474392e-07,4.076361648230886e-08,1.455843445796745e-09
1868,2.67741171455782e-07,2.1735445443482604e-08,0.0
1869,3.408696329643135e-07,3.564969119906891e-08,3.906815315701806e-09
