year,ses_DET oeufs_NOUN,ses_DET boeufs_NOUN
1800,6.854278495893595e-07,1.3519906794101644e-07
1801,8.619880809135338e-07,2.047817084793735e-07
1802,9.264658160645922e-07,9.84649659585557e-08
1803,3.2453644394081493e-06,3.510610468993036e-08
1804,7.34139717906146e-07,3.2134061411781545e-08
1805,2.3311597452391197e-07,2.5585899399160894e-08
1806,7.780506727783632e-08,3.7461698632057505e-08
1807,1.822051274302794e-07,5.124519120158766e-08
1808,1.7448769229488903e-07,3.852325747288887e-08
1809,1.0165637065462363e-07,2.9367397402779716e-08
1810,1.4976810946976116e-07,2.574139346123161e-08
1811,7.521230127593981e-08,2.0056614147279106e-08
1812,5.067695596494559e-08,0.0
1813,8.339650969801937e-08,3.163315653864629e-08
1814,1.3530711440168375e-07,1.8880061958270744e-08
1815,5.39444717784221e-08,1.3486117778072071e-08
1816,1.8309069993449612e-07,1.1588019432906549e-08
1817,2.2263290322399598e-07,1.2454987263765815e-08
1818,3.0041366372302036e-07,9.536942124910297e-09
1819,2.3910925150971707e-07,1.1386155129855524e-08
1820,4.9839219862235495e-08,9.493184904840746e-09
1821,5.0293590514449704e-08,1.7750679148775816e-08
1822,6.015369535816717e-08,1.1028177482330648e-08
1823,7.016707892493201e-08,1.8777104315859106e-08
1824,7.831634896149353e-08,1.0105335235266466e-08
1825,5.1952114388242876e-08,1.0566531649658373e-08
1826,9.7768624973682e-08,1.7615968128659176e-08
1827,7.558163755971847e-08,1.6591091167583727e-08
1828,6.51233389437067e-08,8.255071293206129e-09
1829,5.3153690893203986e-08,6.858540846366168e-09
1830,7.723258477199124e-08,1.1480519646056564e-08
1831,3.741889442743229e-08,4.677361609140007e-09
1832,4.0589908545385356e-08,1.2176972430388844e-08
1833,2.89590715851773e-08,4.40177885252524e-08
1834,4.947301368574131e-08,4.2005389389032644e-08
1835,4.0840674842002045e-08,1.3613558280667348e-08
1836,6.048675027514605e-08,4.704525213838906e-09
1837,5.635891620059397e-08,1.461157062010443e-08
1838,5.7440673995046154e-08,1.1361890983607736e-08
1839,5.663094793106893e-08,9.08891817363866e-09
1840,3.3759350426265655e-08,7.0066574764382494e-09
1841,5.521671653241356e-08,1.540931604537832e-08
1842,1.0062397848287219e-07,1.2745703159566801e-08
1843,4.961805377678985e-08,1.7130041385371442e-08
1844,3.293136835447186e-08,4.9397050894128824e-09
1845,4.296775690804111e-08,4.464182357111213e-09
1846,4.332331005052481e-08,3.5127007969038004e-09
1847,5.3932236454556914e-08,5.9325460100012606e-09
1848,3.700802103656642e-08,5.63165514222419e-09
1849,4.5248841340495005e-08,5.865590457787562e-09
1850,3.530277759011824e-08,7.467895635215882e-09
1851,2.3862922748918436e-08,6.449438760824933e-09
1852,5.0131199635927715e-08,3.906327261660181e-09
1853,6.628844229084052e-08,8.360704129017904e-09
1854,1.922395914677466e-08,2.0782657816909023e-09
1855,3.078023524949458e-08,5.837630823180007e-09
1856,2.226191442300518e-08,1.0354378410237786e-08
1857,2.8800904106063285e-08,1.9526036898476207e-09
1858,1.5659764096565e-08,2.9362056119808244e-09
1859,3.920973368209957e-08,3.5645213447565993e-09
1860,7.140407021211104e-08,5.950338888283113e-09
1861,2.923897507445261e-08,8.488734437595014e-09
1862,4.292087130153277e-08,2.2589932147099034e-09
1863,3.096664924484571e-08,3.995696662428827e-09
1864,1.7740493851725603e-08,6.233146443435089e-09
1865,2.400490611842443e-08,3.294791106611683e-09
1866,3.259960479340407e-08,1.0704348518686402e-08
1867,2.426405742994575e-08,1.1161466417775046e-08
1868,2.7169306804353255e-08,5.433861360870651e-09
1869,3.076617005604021e-08,6.8369265804335555e-09
1870,2.1789385407089412e-08,5.734048791339319e-09
1871,1.911811864374613e-08,8.496941816815706e-09
1872,2.3584624031514068e-08,5.442605477412599e-09
1873,3.1725821969530443e-08,5.387403856360606e-09
1874,3.764003819739514e-08,4.182226565063729e-09
1875,4.1194994082616176e-08,1.602027666081085e-08
1876,2.8416270225761764e-08,1.813804439976252e-09
1877,3.896434142003358e-08,6.184816214727107e-09
1878,9.058633199110488e-08,1.4493813205174177e-08
1879,2.993569458986656e-08,7.331190321480108e-09
1880,3.016387850607316e-08,5.776061628992579e-09
1881,3.2770783919833235e-08,4.183504653809678e-09
1882,3.926677161203429e-08,5.324308105514319e-09
1883,3.5388296737437486e-08,6.319338829996468e-09
1884,3.6969503014461225e-08,5.941527270181268e-09
1885,1.740321664556177e-08,7.090199094506033e-09
1886,4.646494033977433e-08,5.162771099520569e-09
1887,4.1132223627116105e-08,1.0446279397058333e-08
1888,2.4728396663675767e-08,8.87686080197625e-09
1889,3.445825286219062e-08,1.566284169030041e-08
1890,2.6872984115744458e-08,7.865263995654459e-09
1891,2.42220359325529e-08,2.5496880162734215e-09
1892,4.2625884599800656e-08,5.641661360300532e-09
1893,4.865149016985981e-08,9.853466487186324e-09
1894,3.843939100356408e-08,6.9316934414587195e-09
1895,2.1065151400989635e-08,7.22233739480771e-09
1896,2.6536631059226323e-08,8.845543353341867e-09
1897,4.836172218247725e-08,9.905413378419325e-09
1898,2.4330926717830437e-08,7.355861253444118e-09
1899,4.69844163575317e-08,8.844125432005967e-09
1900,3.6856476093305446e-08,8.305685250675765e-09
1901,2.4590450786732276e-08,7.824234593556412e-09
1902,3.0934789674308405e-08,7.365425880312415e-09
1903,2.8081145186931167e-08,1.0800440541913758e-08
1904,3.9772227289347484e-08,6.449550227216605e-09
1905,3.044847735056422e-08,6.1929109063108e-09
1906,3.240836221607424e-08,6.6874399351490865e-09
1907,3.599990411329301e-08,5.142843484406967e-09
1908,3.3397444809679655e-08,1.3751888960911174e-08
1909,3.850688656825696e-08,1.0451868703853506e-08
1910,3.420256600161764e-08,8.01622590529405e-09
1911,3.2454281040372734e-08,5.852411444351446e-09
1912,3.854971808436858e-08,3.646594803896619e-09
1913,4.4014814126747126e-08,6.363587878865928e-09
1914,3.415339328016742e-08,1.1384464315700171e-08
1915,4.712304846332671e-08,1.0602685729388384e-08
1916,2.8567400889301098e-08,7.69122365795738e-09
1917,3.618920063619413e-08,1.3159709322252411e-08
1918,2.6418664589300533e-08,1.033773866510046e-08
1919,4.143531701084058e-08,1.749491218561161e-08
1920,6.284952558388568e-08,5.300562211374427e-09
1921,3.634918815942356e-08,1.2873671018098776e-08
1922,3.762747063928984e-08,1.2542490601674672e-08
1923,4.0340601970001444e-08,1.0615948120573648e-08
1924,4.1253197746726755e-08,1.5469948877466777e-08
1925,7.258797296572084e-08,1.8696901804560184e-08
1926,3.678225690695314e-08,2.0063049888108253e-08
1927,1.4493991917774451e-07,1.6723836537835268e-08
1928,3.770593604013328e-08,1.0283437212876834e-08
1929,1.3034275525569683e-07,1.2254447234738564e-08
1930,5.461873797685257e-08,1.3654685049324655e-08
1931,7.413481917240006e-08,1.596749932275543e-08
1932,4.38381477785299e-08,8.767629400274757e-09
1933,5.735331098932761e-08,1.0323596200123575e-08
1934,7.66821095510295e-08,4.7926320689839486e-09
1935,5.385727686046948e-08,9.574627313213568e-09
1936,4.9711331051582874e-08,1.091224355320719e-08
1937,3.903246770242674e-08,1.1332006333297784e-08
1938,2.722695080503712e-08,9.075650453382877e-09
1939,7.799965739963e-08,1.070583532936098e-08
1940,4.3108308034334186e-08,1.0143131667916805e-08
1941,8.559357667081713e-08,1.4757512545315876e-08
1942,9.102635334379272e-08,1.2136847082899749e-08
1943,4.064529335323641e-08,1.7419411690866582e-08
1944,5.462416652335378e-08,1.2852744646352221e-08
1945,7.406913615781718e-08,2.3963544037997053e-08
1946,5.0115975369635635e-08,2.0881657292193267e-08
1947,4.8875572700168846e-08,8.344609447874518e-09
1948,1.5111924422939182e-07,1.4133454184772631e-08
1949,7.362756315743013e-08,8.835307596655184e-09
1950,4.1477910883713776e-08,1.1698897850465073e-08
1951,6.610068936652169e-08,9.595261474260042e-09
1952,1.02284600345115e-07,1.1599284532870513e-08
1953,6.24881977273617e-08,1.1851209791302608e-08
1954,4.1044653453781166e-08,1.563605755983133e-08
1955,7.790054246115119e-08,1.1262729415761896e-08
1956,3.924513802822105e-08,1.1337483840634377e-08
1957,6.272876690305296e-08,1.0602045297236629e-08
1958,7.693186110380168e-08,2.6471179026543723e-08
1959,3.100299217351221e-08,1.0851047171911432e-08
1960,4.083291771372899e-08,9.689166802218097e-09
1961,3.265634873628187e-08,1.250668635321972e-08
1962,3.868593267952747e-08,1.0147130247162295e-08
1963,3.620989685870768e-08,1.4871922249248826e-08
1964,4.441296730384181e-08,1.52099203787337e-08
1965,2.3529786674636455e-08,1.4774516721161035e-08
1966,2.880318916709257e-08,6.092982118843793e-09
1967,3.056808001167255e-08,2.1200442290592036e-08
1968,3.2338192984537883e-08,1.1228539820162808e-08
1969,2.7704722072030563e-08,1.3171097990039016e-08
1970,3.081145827366072e-08,1.3796174869185052e-08
1971,4.419021948365298e-08,1.1818314327172175e-08
1972,5.797065866230966e-08,1.487742551375959e-08
1973,4.686223320504723e-08,1.6539610570021068e-08
1974,4.2191788784951e-08,2.925297254430248e-08
1975,5.9399392515757654e-08,2.227477269300948e-08
1976,6.970503108050252e-08,2.1140049488721502e-08
1977,6.81706687766237e-08,1.469195431980097e-08
1978,5.287126392250485e-08,1.7227714366185864e-08
