year,véritables_ADJ barrières_NOUN
1800,1.2576657937302116e-08
1801,0.0
1802,0.0
1803,1.3652374342143503e-08
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,2.3176038865813098e-09
1817,0.0
1818,0.0
1819,3.1053151161586356e-09
1820,0.0
1821,0.0
1822,0.0
1823,9.882686891060644e-10
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,7.337841001486822e-09
1829,0.0
1830,0.0
1831,3.1182412207897414e-09
1832,1.0823975493678972e-08
1833,9.266902800675325e-09
1834,9.334530925997342e-10
1835,1.5126175867408165e-09
1836,6.720750067579218e-10
1837,4.174734336004349e-09
1838,0.0
1839,4.194885327990505e-09
1840,0.0
1841,6.420548537278137e-10
1842,4.024959032733477e-09
1843,0.0
1844,0.0
1845,7.254296274794569e-09
1846,8.196302303531411e-09
1847,3.235934187273415e-09
1848,1.6090443422100975e-09
1849,7.54147322368226e-09
1850,7.467895635215882e-09
1851,5.159551008659946e-09
1852,8.463708844885787e-09
1853,0.0
1854,7.79349651480743e-09
1855,1.0613874223963649e-08
1856,4.659470143053568e-09
1857,4.881509085841174e-10
1858,1.1255455234504552e-08
1859,9.165912473463322e-09
1860,4.577183909670879e-10
1861,1.3676294763342867e-08
1862,4.517986262886353e-10
1863,1.1987090431375691e-08
1864,2.8768367688059016e-09
1865,3.294791106611683e-09
1866,4.865612912574591e-10
1867,4.85281148598915e-09
1868,1.975949626142892e-09
1869,1.953407657850903e-09
1870,2.8670243956696595e-09
1871,3.18635318130589e-09
1872,1.2094679036067646e-08
1873,1.7958012854535355e-09
1874,5.974609140757536e-10
1875,4.005069165202713e-09
1876,6.650616057868319e-09
1877,7.421779191219002e-09
1878,3.6234530931267273e-09
1879,1.0385853066452455e-08
1880,2.5671385017744797e-09
1881,4.8807553554297556e-09
1882,2.6621540527571597e-09
1883,6.319338941018771e-10
1884,6.601696966868076e-09
1885,3.86738152613475e-09
1886,9.680196200179125e-09
1887,3.9173548849191775e-09
1888,3.1703073499755874e-09
1889,5.6386229019267375e-09
1890,1.3108772956016423e-09
1891,7.0116419337296065e-09
1892,1.002961980134387e-08
1893,6.15841644346915e-09
1894,3.780923574225881e-09
1895,6.6204757231957956e-09
1896,1.1204354777305525e-08
1897,9.322741689743452e-09
1898,3.960848538042683e-09
1899,9.949641111006713e-09
1900,7.786579381274805e-09
1901,1.7325090695408107e-08
1902,8.347482705062248e-09
1903,4.860198465905796e-09
1904,2.364835083312755e-08
1905,3.6125313851442797e-09
1906,7.716276506641861e-09
1907,5.142843484406967e-09
1908,6.384805573134145e-09
1909,3.850688656825696e-09
1910,8.01622590529405e-09
1911,5.3203743632934675e-09
1912,1.1981668990301841e-08
1913,3.71209285532359e-09
1914,6.696743715117748e-10
1915,3.534228465440492e-09
1916,2.197492410260793e-09
1917,8.773139548168274e-09
1918,2.2972752589112133e-09
1919,7.366278698128781e-09
1920,2.2716695191604686e-09
1921,6.815472630705699e-09
