year,des_DET aveux_NOUN
1800,5.659495885268484e-07
1801,4.905235873042812e-07
1802,3.5581658153205353e-07
1803,4.232236197054817e-07
1804,5.487508953905262e-07
1805,1.3077237137615327e-06
1806,4.697120683516687e-07
1807,6.491057527036048e-07
1808,5.415917012641103e-07
1809,6.32528570188029e-07
1810,6.903373983568883e-07
1811,6.969673620460526e-07
1812,4.934335251505217e-07
1813,1.5356459961424207e-06
1814,8.49602827202034e-07
1815,5.691141664598831e-07
1816,5.121904447236147e-07
1817,5.978393700090123e-07
1818,8.452114759194274e-07
1819,6.220980992566183e-07
1820,6.609630123222132e-07
1821,7.475008381163661e-07
1822,6.847495797046577e-07
1823,6.31503716874704e-07
1824,6.029516441685701e-07
1825,5.406542236130463e-07
1826,6.350556525092088e-07
1827,7.548946641122711e-07
1828,7.567148543330404e-07
1829,6.292711063338174e-07
1830,6.679574973134095e-07
1831,7.390231679949011e-07
1832,7.685022480607984e-07
1833,6.486832000440756e-07
1834,8.29839803095922e-07
1835,6.920225601447783e-07
1836,6.344387832868392e-07
1837,5.726344385337256e-07
1838,5.28959176904209e-07
1839,7.012449376730956e-07
1840,7.407948192650338e-07
1841,6.19582950278641e-07
1842,6.480184056023575e-07
1843,7.927074889835239e-07
1844,7.947436451161138e-07
1845,6.813458170995546e-07
1846,7.716232754972907e-07
1847,7.226919533920295e-07
1848,4.971947089593698e-07
1849,6.468908271273222e-07
1850,5.220737975264456e-07
1851,6.185011933723672e-07
1852,5.905064828226614e-07
1853,5.912212754921597e-07
1854,6.354297497068728e-07
1855,6.416086684168931e-07
1856,5.798451683247663e-07
1857,6.25321288083569e-07
1858,6.425396676945638e-07
1859,7.434573134901257e-07
1860,7.071749035247876e-07
1861,6.248652137941235e-07
1862,7.459195305870026e-07
1863,7.766635441441849e-07
1864,7.614027861535533e-07
1865,6.518979578373774e-07
1866,6.052822634217137e-07
1867,6.58041212631133e-07
1868,6.273639936438258e-07
1869,7.759912001858993e-07
1870,6.869390496433425e-07
1871,4.5033791362669717e-07
1872,5.061622836421975e-07
1873,5.189866008059596e-07
1874,5.920837551354197e-07
1875,5.853122124754861e-07
1876,5.532103628524965e-07
1877,6.797112820366991e-07
1878,5.706938721594668e-07
1879,6.262058147576965e-07
1880,6.154714293771235e-07
1881,5.522225956511306e-07
1882,6.182852843039655e-07
1883,5.567337346690238e-07
1884,5.77648464172853e-07
1885,5.4530077253645e-07
1886,6.756776791405628e-07
1887,5.82380089930723e-07
1888,6.264527108168494e-07
1889,5.676214058780715e-07
1890,6.692028691190899e-07
1891,5.513700616077699e-07
1892,5.729420387012851e-07
1893,6.589505692211617e-07
1894,4.700948217362111e-07
1895,5.188045504311845e-07
1896,4.564300448706149e-07
1897,5.762619958993298e-07
1898,8.068814185691053e-07
1899,7.871271368031785e-07
1900,6.400568368647441e-07
1901,5.884942355649514e-07
1902,4.816988408151701e-07
1903,5.006003993557329e-07
1904,4.294325419706979e-07
1905,4.882078243895194e-07
1906,5.710044570506057e-07
1907,5.374271097036143e-07
1908,6.910324490405628e-07
1909,6.782712631547838e-07
1910,5.483098863834357e-07
1911,5.847091273381011e-07
1912,6.058557016075383e-07
1913,4.788599827776352e-07
1914,5.940011469363071e-07
1915,4.2292935997778613e-07
1916,4.1312856424724487e-07
1917,4.518166774047927e-07
1918,5.191842351592868e-07
1919,4.5947164650783634e-07
1920,4.051143847050298e-07
1921,5.058595391460585e-07
1922,5.149799120474086e-07
1923,5.106270801746859e-07
1924,5.362915533879686e-07
1925,4.828200070861044e-07
1926,4.781693352384764e-07
1927,4.783017377718579e-07
1928,4.399025970158732e-07
1929,4.801515252061961e-07
1930,4.274966638462274e-07
1931,3.649714219733369e-07
1932,4.0331095352286184e-07
1933,4.232674315485241e-07
1934,4.361295093957551e-07
1935,4.392360200000667e-07
1936,3.5525412478421003e-07
1937,4.507620205984608e-07
1938,4.032181797342105e-07
1939,3.9458650480383994e-07
1940,3.24580205379732e-07
1941,3.394227992004062e-07
1942,2.700448600290173e-07
1943,4.703240970016509e-07
1944,4.691251813682129e-07
1945,5.032344430055957e-07
1946,5.373546434483956e-07
1947,4.792190066993385e-07
1948,5.022812450405922e-07
1949,6.194532122805185e-07
1950,5.317680988881079e-07
1951,4.904244792491852e-07
1952,4.2495559027244667e-07
1953,5.634711994773056e-07
1954,4.47582163332072e-07
1955,4.955601049516645e-07
1956,4.3605707755745016e-07
1957,4.594219618070383e-07
1958,3.705965050393445e-07
1959,3.898626284026818e-07
1960,4.138658218355573e-07
1961,4.280066132622551e-07
1962,4.2617948281531426e-07
1963,4.306391536701426e-07
1964,3.796396272903735e-07
1965,4.0055356897994443e-07
1966,4.143228018449463e-07
1967,4.2105064501640754e-07
1968,4.0557484393133336e-07
1969,4.042164416517835e-07
1970,3.982495941912134e-07
1971,3.6893694144168876e-07
1972,3.4218080902093106e-07
1973,3.7930840912636654e-07
1974,3.7241284722711043e-07
1975,3.55825214626293e-07
1976,3.7423600129926626e-07
1977,3.2616138678775997e-07
1978,4.45544360516692e-07
1979,4.260236723396815e-07
1980,3.752199457807137e-07
1981,3.732074187468015e-07
1982,3.935556538436913e-07
1983,3.309225711234376e-07
1984,3.560591244067268e-07
1985,3.8619881781443155e-07
1986,3.4228513134948457e-07
1987,2.872083975091755e-07
