year,autres_ADJ ailes_NOUN,autres_ADJ belles_NOUN
1800,2.515331631869344e-08,0.0
1801,3.095537337571841e-08,1.4287095950749062e-08
1802,2.0140561218795483e-08,2.2378401354217203e-09
1803,5.26591594773862e-08,3.900678446910888e-09
1804,1.730295728918918e-08,0.0
1805,1.7057265822018053e-08,2.842877711017877e-09
1806,2.881669125542885e-08,5.76333825108577e-09
1807,8.540865792383556e-09,5.693910232196231e-09
1808,0.0,0.0
1809,0.0,0.0
1810,7.020380277111826e-09,0.0
1811,3.259199843341776e-08,0.0
1812,8.00162425207418e-09,3.200649700829672e-08
1813,1.1502966579257645e-08,5.751483289628823e-09
1814,5.349351184236184e-08,1.2586708564299443e-08
1815,1.3486118000116676e-08,1.6183340889597275e-08
1816,3.476405652236281e-08,6.952811659743929e-09
1817,2.80237220096069e-08,9.341240669868967e-09
1818,3.695565098382758e-08,4.768470951432846e-09
1819,2.3807414706311647e-08,1.035105001712111e-09
1820,1.0679833017945839e-08,1.1866481131050932e-09
1821,2.6626018723163725e-08,4.930744257336528e-09
1822,8.02049271442229e-09,6.015369535816717e-09
1823,3.063632902922109e-08,7.906149512848515e-09
1824,2.3579115548955087e-08,8.421112696055388e-09
1825,1.584979791857677e-08,8.805443485471187e-09
1826,3.787433300317389e-08,1.8496766784892316e-08
1827,1.3825909306319772e-08,8.295545583791863e-09
1828,1.559291185060374e-08,2.0179061976932644e-08
1829,5.143905745796928e-09,0.0
1830,3.5485243188304594e-08,1.1480519646056564e-08
1831,2.3386808933878456e-08,2.0268567268999504e-08
1832,1.488296597074168e-08,0.0
1833,3.01174338801502e-08,4.6334514003376626e-09
1834,7.467624740797874e-09,5.600718555598405e-09
1835,2.8739734148075513e-08,8.31939672707449e-09
1836,3.360374944971767e-08,6.048674894287842e-09
1837,1.948209416013924e-08,1.6698938121173512e-08
1838,2.7142295522253335e-08,1.8936486156917454e-08
1839,3.8453112694014635e-08,1.957613093850341e-08
1840,1.7198159341091923e-08,1.9109065441114126e-09
1841,4.55858959469424e-08,3.2102742686390684e-09
1842,2.683306021822318e-08,6.037438549100216e-09
1843,5.847842032835615e-08,0.0
1844,2.4698525891153622e-08,3.2931368743049916e-09
1845,1.562463758375543e-08,1.562463758375543e-08
1846,1.3465353276842507e-08,2.9272506640865004e-09
1847,2.480882876909618e-08,0.0
1848,9.65426583121598e-09,8.84974404868899e-09
1849,3.351765798242923e-08,3.3517659758786067e-09
1850,1.2220192857625989e-08,3.394498016007219e-09
1851,1.2253933867611977e-08,8.384270167027807e-09
1852,2.018269107395554e-08,2.6042181744401205e-09
1853,4.478948767427937e-08,1.7915795513800958e-09
1854,2.3900057044556888e-08,1.1430461910322265e-08
1855,3.449509122788186e-08,3.714855978387277e-09
1856,4.659470143053568e-09,6.212626857404757e-09
1857,2.0502337605421417e-08,2.636014961865385e-08
1858,2.495774786837046e-08,5.872411001917044e-09
1859,2.6988518087023294e-08,4.582956236731661e-09
1860,1.9224172476128842e-08,9.612086321331148e-09
1861,8.960331143725853e-09,1.5562680477643198e-08
1862,1.400575744270327e-08,5.873382225018986e-09
1863,1.6981710260211003e-08,3.496234635136375e-09
1864,3.068625886726295e-08,1.4384183844029508e-09
1865,2.165148416111151e-08,3.765475486972036e-09
1866,1.8489329178805747e-08,2.919367858567057e-09
1867,3.882249366427004e-08,3.88224918879132e-09
1868,3.309715523869272e-08,5.9278488784286765e-09
1869,1.6115613732381462e-08,4.883519366671862e-09
1870,2.8670243512607385e-08,3.4404292748035914e-09
1871,1.5931766128574054e-08,3.18635318130589e-09
1872,7.861540751719076e-09,7.256807155187062e-09
1873,1.0774807712721213e-08,0.0
1874,3.1665429389704514e-08,7.766991494406739e-09
1875,1.7736734747586524e-08,1.716458086775674e-09
1876,1.6928840551599933e-08,1.209202959984168e-09
1877,3.5253449937044934e-08,3.7108897066318036e-09
1878,2.0532901601200138e-08,3.623453259660181e-09
1879,1.2829582729523281e-08,3.6655952717623563e-09
1880,1.8611753915820373e-08,5.776061406947974e-09
1881,1.9523021421719022e-08,2.7890030285249168e-09
1882,3.660461800336634e-08,5.324308105514319e-09
1883,8.847074184359371e-09,9.479008689083912e-09
1884,1.2543224237049344e-08,3.9610181801208455e-09
1885,2.0626034213933053e-08,4.511945039809007e-09
1886,2.2587123282846733e-08,1.936039106809062e-09
1887,2.546280519766242e-08,6.528924623161458e-10
1888,1.2047167707862627e-08,8.876860135842435e-09
1889,2.6313573542324775e-08,4.385595886446936e-09
1890,9.176140736144589e-09,3.9326319978272295e-09
1891,2.42220359325529e-08,3.824531802365527e-09
1892,1.1910173958185055e-08,6.268512375839919e-09
1893,2.0322774629821794e-08,1.2316833108982905e-09
1894,2.9617234886814003e-08,8.82215522857166e-09
1895,1.5046536461227333e-08,1.2037228991346183e-09
1896,5.307326134129653e-09,5.89702897624278e-10
1897,1.5732126712464378e-08,2.913356778044829e-09
1898,1.1316709347397591e-08,3.3950129374460403e-09
