year,les_DET ailes_NOUN,les_DET belles_NOUN
1800,1.8475111232874042e-05,1.7921737391901615e-06
1801,1.1441582614679646e-05,1.409660109530364e-06
1802,1.4664566151623148e-05,1.4255041946853453e-06
1803,3.2675984812158276e-05,1.6070794712774727e-06
1804,1.1432310998316098e-05,1.8217541004617033e-06
1805,7.857714081183076e-06,1.61475449722559e-06
1806,8.941819430674514e-06,1.498467985250329e-06
1807,5.258326098100952e-06,1.7024791940656314e-06
1808,8.434327696704713e-06,1.475214217450116e-06
1809,8.308714143367979e-06,1.3644544836211026e-06
1810,7.5141470574635605e-06,1.9352847955289576e-06
1811,8.428791886672116e-06,1.6496565038437438e-06
1812,5.035689184751391e-06,1.5843216836231022e-06
1813,4.468902290000187e-06,1.492509890343996e-06
1814,3.6186786189773557e-06,1.1107770596652244e-06
1815,4.890066520601977e-06,1.08428388312376e-06
1816,1.8174650563196337e-05,1.1333083005382605e-06
1817,2.5939067199942656e-05,1.3217854988312183e-06
1818,1.7289283334775973e-05,1.11105368283404e-06
1819,9.65338972491736e-06,1.3497769719705843e-06
1820,7.814077662260388e-06,1.1320623407584662e-06
1821,8.51342321084303e-06,1.3441208004394412e-06
1822,8.333292271345272e-06,1.29029680806525e-06
1823,1.447813610866433e-05,1.3825878966144955e-06
1824,5.645513965646387e-06,1.3170620691838053e-06
1825,8.09308278348908e-06,1.2565367233374758e-06
1826,1.0075453246827237e-05,1.000587019017729e-06
1827,7.177490374488116e-06,1.0203521454421605e-06
1828,1.1165442629135214e-05,9.823534435904335e-07
1829,9.187015621137107e-06,8.427431923974105e-07
1830,9.887858368529123e-06,1.0092420297258542e-06
1831,7.533670782322588e-06,1.00875101605169e-06
1832,9.918820978782605e-06,1.214991268039256e-06
1833,7.698479521422996e-06,1.0714855923632527e-06
1834,1.1200503877262236e-05,9.78258849704261e-07
1835,1.0076302487505018e-05,1.017991664298279e-06
1836,1.0169839242735179e-05,9.362004657620382e-07
1837,8.309809231832332e-06,8.363384628173876e-07
1838,9.506747346677002e-06,8.609788562097265e-07
1839,8.365999065063079e-06,9.263704852102705e-07
1840,6.221911803550029e-06,7.465274828311053e-07
1841,7.749601991235977e-06,8.892459839593414e-07
1842,6.1253166450114804e-06,9.022616440645947e-07
1843,6.828389132351731e-06,7.00559652622168e-07
1844,5.756951964031032e-06,7.415046350267573e-07
1845,6.118719852565846e-06,6.757656019207303e-07
1846,9.569182566337986e-06,7.277145306350263e-07
1847,4.578846755975974e-06,5.981085253736751e-07
1848,5.280883613067999e-06,6.806257437097507e-07
1849,6.573651148755744e-06,7.491196978293146e-07
1850,7.061234668981342e-06,6.992665788629893e-07
1851,4.839013911350776e-06,7.320112955788716e-07
1852,9.334169135399861e-06,7.597806734871426e-07
1853,7.545535709141404e-06,7.339504293213395e-07
1854,6.589661325051566e-06,7.601257197009659e-07
1855,7.1574659159523435e-06,7.912642985274942e-07
1856,5.612590967984943e-06,9.743469995271425e-07
1857,7.68544794027548e-06,8.61586324951702e-07
1858,5.307680908117618e-06,7.903286989296987e-07
1859,5.8514164607004204e-06,7.078121084802547e-07
1860,8.621583560852741e-06,9.287105846578214e-07
1861,6.140184893865808e-06,8.762260312877856e-07
1862,5.444625173822715e-06,8.421526698221271e-07
1863,5.5799906135689525e-06,8.341016661805867e-07
1864,5.629010729535366e-06,7.896916951466437e-07
1865,5.142698398685752e-06,8.975952062728609e-07
1866,5.4587310955867e-06,8.47103222678669e-07
1867,7.226321713460493e-06,8.657415815349623e-07
1868,6.345268047880381e-06,8.269349121015068e-07
1869,6.588355574876914e-06,7.408298579036909e-07
1870,6.169263258470892e-06,7.752434059149493e-07
1871,5.990343993289571e-06,5.72481454463869e-07
1872,5.863500348368689e-06,7.196333792203191e-07
1873,6.050054878414812e-06,7.410673498742248e-07
1874,9.975207376555772e-06,7.743093384249278e-07
1875,5.0835768661272596e-06,7.941479962525477e-07
1876,5.468015842780005e-06,1.104002320673203e-06
1877,6.557141773555486e-06,9.567910623786702e-07
1878,7.665415182600555e-06,8.647974698572369e-07
1879,6.4447272052348126e-06,9.585531053346585e-07
1880,5.045069087827869e-06,1.0153032636850412e-06
1881,5.393931814978714e-06,8.75746933748367e-07
1882,5.219152882318667e-06,7.953184999465179e-07
1883,5.704467241685052e-06,9.055612917308054e-07
1884,5.762621185567696e-06,9.354604459943516e-07
1885,5.4149784318724414e-06,8.662934374292774e-07
1886,6.601893403512804e-06,7.273053865830548e-07
1887,5.408561321473826e-06,7.482147839632525e-07
1888,5.855557617451268e-06,9.51726271125608e-07
1889,5.2357749495968164e-06,7.850216405813626e-07
1890,5.7449195765002514e-06,6.672365391313662e-07
1891,6.072719372696156e-06,7.381346951440548e-07
1892,4.544044543308701e-06,8.418611994187586e-07
1893,5.423101754331583e-06,7.149921670279724e-07
1894,5.593876494458527e-06,6.906487199920264e-07
1895,4.609054997217754e-06,7.017704417577875e-07
1896,5.634611056848371e-06,7.31231582173919e-07
1897,5.100705152472074e-06,7.289218806327824e-07
1898,4.304876341620911e-06,6.439207748121234e-07
1899,4.828339569939999e-06,7.163741368998444e-07
1900,4.5857763097956195e-06,6.872954467773695e-07
1901,4.538615030469373e-06,6.304097373011075e-07
1902,8.705442155587662e-06,6.260611939978844e-07
1903,5.334337743079232e-06,7.036486968647893e-07
1904,4.887683985543845e-06,7.777082364768262e-07
1905,4.4418653430966515e-06,7.534708359457909e-07
1906,4.535113134807034e-06,7.062965596826842e-07
1907,4.642959140710445e-06,7.65255119272723e-07
1908,5.436416529391863e-06,8.403386786426381e-07
1909,5.786484734926489e-06,8.311986423592543e-07
1910,5.657317956320185e-06,8.721653887988623e-07
1911,6.015747032961372e-06,7.863512831995934e-07
1912,6.1830621689296095e-06,7.350493298474703e-07
1913,6.579419505214901e-06,7.49842741676332e-07
1914,5.2850702445539355e-06,8.230298029765493e-07
1915,4.078499756587917e-06,4.924358467661705e-07
1916,6.885842367410078e-06,5.636568003453135e-07
1917,5.690477564712637e-06,5.845104107393695e-07
1918,5.806363446936302e-06,6.179670464234732e-07
1919,5.415135774455848e-06,8.084490588089466e-07
1920,5.043106170887768e-06,9.571300836341834e-07
1921,5.203234820783109e-06,8.572350083113633e-07
1922,6.553082414484379e-06,9.672473808564064e-07
1923,5.367423284496908e-06,1.4809247730340758e-06
1924,5.302324922240587e-06,1.363933836984188e-06
1925,5.890624265703082e-06,1.4957521941028062e-06
1926,5.092670789963449e-06,1.972866527921724e-06
1927,5.587991495303868e-06,2.0046305877485793e-06
1928,5.057165992639057e-06,1.8441630729171266e-06
1929,5.737309095366072e-06,2.0743436763837053e-06
1930,4.698262046076707e-06,2.0534544376005215e-06
1931,5.407279502378515e-06,2.330114355686419e-06
1932,4.512041243742715e-06,2.195195108356529e-06
1933,4.424234504085689e-06,1.8593943380551536e-06
1934,4.592539710301935e-06,2.0105091422806254e-06
1935,5.10327657821108e-06,1.9699795146266297e-06
1936,5.773788927854184e-06,2.2442847225079277e-06
1937,4.6700458256054844e-06,2.038501985879293e-06
1938,5.384453743317863e-06,2.000532575152647e-06
1939,5.363623415632901e-06,1.826109645719498e-06
1940,4.29561634973652e-06,2.8476842288682747e-06
1941,6.118464966675674e-06,1.5790539080740018e-06
1942,7.251766305671481e-06,2.1330509127892583e-06
1943,6.480021113475232e-06,2.360330221051754e-06
1944,6.853726176814234e-06,2.159261057954609e-06
1945,5.925531183947896e-06,1.7275536805527736e-06
1946,4.8932682830127305e-06,2.0115995553737775e-06
1947,5.03299173715277e-06,1.932373216106953e-06
1948,6.06868792374371e-06,1.7699433101370232e-06
1949,5.525012227280968e-06,1.8927192186879438e-06
1950,5.932404519626289e-06,1.7463263048966837e-06
1951,5.116406612160063e-06,2.0683119288378293e-06
1952,5.294545985634613e-06,1.9729328002426882e-06
1953,4.480834888909158e-06,2.013628396468903e-06
1954,5.771659743913915e-06,2.226183667630721e-06
1955,4.370877547898999e-06,2.106130452261823e-06
