year,leurs_DET os_NOUN,leurs_DET bosses_NOUN
1800,8.237711046632512e-07,3.144164439916608e-08
1801,5.667214679760946e-07,0.0
1802,4.520437073551875e-07,4.475680270843441e-09
1803,8.210928008622886e-07,3.900678446910888e-09
1804,6.352656960473269e-07,2.9662210465630778e-08
1805,7.050336705560767e-07,0.0
1806,7.031272453161819e-07,2.305335300434308e-08
1807,4.83982385279802e-07,0.0
1808,5.869131616265122e-07,1.3596443526608937e-08
1809,4.924686400897826e-07,0.0
1810,5.663107032205517e-07,1.1700633351097167e-08
1811,3.911039723192289e-07,5.0141535368197765e-09
1812,7.414838680830371e-07,1.8670457180292033e-08
1813,3.0482860791103406e-07,0.0
1814,2.926409639059102e-07,0.0
1815,3.6412516735140343e-07,0.0
1816,7.068691658673742e-07,2.3176038865813098e-09
1817,6.974792654546036e-07,4.670620157298799e-08
1818,7.760686528968108e-07,3.5763532135746345e-09
1819,6.200279045742718e-07,1.035105001712111e-09
1820,3.5124784503182127e-07,3.5599443393152796e-09
1821,3.116230424815569e-07,9.86148829262845e-10
1822,6.386317323858748e-07,1.2030739071633434e-08
1823,4.842516467817859e-07,4.941343334508019e-09
1824,4.6905597717028513e-07,5.894778887238772e-09
1825,6.427973140432641e-07,8.805443263426582e-09
1826,4.3335281674217185e-07,3.5231937367541377e-09
1827,4.5441155549497125e-07,1.8434546111834038e-09
1828,4.439393741506592e-07,2.8434134158317192e-08
1829,5.015307920075429e-07,1.714635211591542e-09
1830,3.788571483198666e-07,1.1480519201967354e-08
1831,4.770908930140649e-07,2.3386808489789246e-08
1832,3.9372211446675465e-07,9.470978779013706e-09
1833,7.320853185888154e-07,1.390035431203529e-08
1834,5.946096166553616e-07,1.586870257419548e-08
1835,6.768963771719427e-07,1.1344631900556124e-08
1836,6.411595840916107e-07,9.409049983588602e-09
1837,5.656765198480684e-07,1.6698938676285024e-08
1838,4.3364552659852507e-07,2.5248647617104325e-09
1839,4.2927656274116543e-07,2.7965901816529026e-09
1840,3.681679974221197e-07,1.910906599622564e-09
1841,4.1669359518436977e-07,1.219904266491767e-08
1842,3.427923296328572e-07,1.0062397581833693e-08
1843,3.8867474660975176e-07,1.3585895519696578e-08
1844,5.137293221935124e-07,6.0374173438404455e-09
1845,4.1014676810391393e-07,1.2276501148988928e-08
1846,3.7117539264386323e-07,3.5127007969038004e-09
1847,3.3222258455367637e-07,2.1572894581822766e-09
1848,3.1778625952938455e-07,9.65426583121598e-09
