year,vos_DET heures_NOUN
1800,5.973912431400663e-08
1801,7.143547975374531e-08
1802,7.832440473976021e-08
1803,2.925508790774245e-08
1804,1.211206934748077e-07
1805,1.0802935435094696e-07
1806,4.610670600868616e-08
1807,6.26330107778017e-08
1808,4.7587552121086674e-08
1809,2.4849335034105025e-08
1810,1.8018975822542416e-07
1811,8.774768422981083e-08
1812,1.0402111882967802e-07
1813,6.326631307729258e-08
1814,6.608021863030444e-08
1815,3.776113022269101e-08
1816,3.476405652236281e-08
1817,5.137682246303399e-08
1818,3.45714128435759e-08
1819,3.312336027683216e-08
1820,4.9839222526770754e-08
1821,1.0255947635595675e-07
1822,1.012587205195814e-07
1823,4.941343334508019e-08
1824,6.06320114115988e-08
1825,5.195211216779683e-08
1826,3.7874332003973166e-08
1827,9.40161830054187e-08
1828,4.310981671640235e-08
1829,3.943660908944935e-08
1830,5.948996473215118e-08
1831,1.0757932500382594e-07
1832,8.929779782285152e-08
1833,6.486832138108412e-08
1834,8.12104157255078e-08
1835,1.0437061348511634e-07
1836,8.53535250255888e-08
1837,8.140732354888769e-08
1838,5.8703107042035185e-08
1839,4.754203164480941e-08
1840,4.840963518937258e-08
1841,4.879616843922463e-08
1842,1.2007794669699479e-07
1843,9.27385014337645e-08
1844,6.696044613230256e-08
1845,8.537749018877605e-08
1846,5.737411346018462e-08
1847,4.476375803363908e-08
1848,5.47075091339444e-08
1849,8.211826951765033e-08
1850,6.72110589405861e-08
1851,6.642922234512127e-08
1852,5.9245963246468136e-08
1853,7.226037301855115e-08
1854,7.585670180887405e-08
1855,1.050773583699538e-07
1856,9.991975402634523e-08
1857,6.248331591018896e-08
1858,9.053300398242925e-08
1859,7.53641646866754e-08
1860,8.650877381111144e-08
1861,9.101810088951723e-08
1862,9.081152585466157e-08
1863,9.989241567254226e-08
1864,9.493561625717462e-08
1865,1.1484700102037948e-07
1866,6.9091704024693e-08
1867,6.842464017609018e-08
1868,5.28566540536346e-08
1869,6.885761716368677e-08
1870,1.014926662712412e-07
1871,4.779529882981137e-08
1872,7.438227267453357e-08
1873,9.158587221946846e-08
1874,5.616132670027696e-08
1875,1.3788879993370529e-07
1876,6.227395243918465e-08
1877,9.33907227107511e-08
1878,9.602151163079498e-08
