year,ses_DET aveux_NOUN
1800,3.14416435998055e-07
1801,2.333558910549982e-07
1802,1.8350289110458107e-07
1803,1.7943121011221308e-07
1804,4.177428252205573e-07
1805,6.083758563590891e-07
1806,2.1324350996110297e-07
1807,3.1316506010625744e-07
1808,2.0394666622181035e-07
1809,3.9984841571083507e-07
1810,2.2231203722355986e-07
1811,1.8301660986708157e-07
1812,3.467370688348126e-07
1813,6.21160182845415e-07
1814,3.8704128879629707e-07
1815,1.915028722265788e-07
1816,2.850652727204306e-07
1817,5.604744082177149e-07
1818,7.140785491799306e-07
1819,3.6435695394132495e-07
1820,3.9396717355089095e-07
1821,3.155676324695378e-07
1822,4.5315783836485934e-07
1823,3.3403482557758934e-07
1824,4.5137162896224936e-07
1825,3.416511900056207e-07
1826,4.923663468048289e-07
1827,4.885154591960372e-07
1828,4.5402892467905076e-07
1829,5.135332283856542e-07
1830,4.905312955827412e-07
1831,4.1316694776583063e-07
1832,4.667839448302402e-07
1833,4.3670279659124844e-07
1834,5.143326617940147e-07
1835,4.454658721897431e-07
1836,3.790503049216909e-07
1837,4.3834712570856027e-07
1838,3.471688927447758e-07
1839,4.3696719309593846e-07
1840,4.0129037870428874e-07
1841,3.422152454746197e-07
1842,4.2127904187339027e-07
1843,3.6445641171667376e-07
1844,4.3304747432415525e-07
1845,4.1907511860728164e-07
1846,3.9283704822423715e-07
1847,3.8669414781367095e-07
1848,3.0330486922025557e-07
1849,3.267971893095023e-07
1850,2.627341579852782e-07
1851,3.044135041818663e-07
1852,3.860753547968443e-07
1853,3.129292149850471e-07
1854,3.1381811993469455e-07
1855,4.2349357087800854e-07
1856,3.31857821223025e-07
1857,3.24132216178441e-07
1858,4.4238830287923747e-07
1859,4.465835949929442e-07
1860,4.4673313936982595e-07
1861,4.117036311868105e-07
1862,4.829727267008366e-07
1863,4.575072729551266e-07
1864,3.6823510018990646e-07
1865,3.2241883829442486e-07
1866,3.454585097983909e-07
1867,3.387262506038269e-07
1868,3.5023706690395784e-07
1869,4.3756330470046123e-07
1870,3.142258755417515e-07
1871,2.485355392600752e-07
1872,2.5217405674737847e-07
1873,2.0292554614442793e-07
1874,3.106796810925516e-07
1875,3.1754476559342493e-07
1876,2.5756023802614436e-07
1877,3.018190248837982e-07
1878,2.3854399788802993e-07
1879,3.0180067245311193e-07
1880,2.862359309574458e-07
1881,2.4055151293111976e-07
1882,3.2212063239001054e-07
1883,2.6288448573552614e-07
1884,2.4294244127531783e-07
1885,2.823188527401044e-07
1886,3.0202212109031734e-07
1887,2.4875202875307423e-07
1888,2.70744248354049e-07
1889,2.963409784229043e-07
1890,2.870821145251057e-07
1891,2.1226153101849832e-07
1892,2.0184609761386696e-07
1893,2.1492873281125924e-07
1894,2.9680251145691727e-07
1895,2.4856876912338066e-07
1896,2.1760037194340498e-07
1897,2.3539922300308547e-07
1898,3.3384294439997575e-07
1899,3.2446886244485995e-07
1900,2.8706524712873716e-07
1901,2.744070930482678e-07
1902,2.2145380018656624e-07
1903,1.9926812999671029e-07
1904,2.327212662578404e-07
1905,2.477164313674507e-07
1906,2.2891621576093257e-07
1907,2.309136728495531e-07
1908,2.5048083784895425e-07
1909,2.3214150068895378e-07
1910,2.2231666330085886e-07
1911,2.18667379314752e-07
1912,2.792249738092778e-07
1913,2.699221806068408e-07
1914,2.7724517615013156e-07
1915,1.9791679317648914e-07
1916,1.3844202761958968e-07
1917,1.7984936384607408e-07
1918,2.745243845581058e-07
1919,2.1362207647257492e-07
1920,1.9990691857429965e-07
1921,1.7417319420065525e-07
1922,2.087955781604478e-07
1923,2.4416681210226443e-07
1924,1.959526900741082e-07
1925,2.474589959611251e-07
1926,1.9282819341270852e-07
1927,2.586620109212845e-07
1928,1.553941588738894e-07
1929,2.4843105173033564e-07
1930,2.2057567328204186e-07
1931,2.2924766973630994e-07
1932,1.8631211795572256e-07
1933,2.408838994938378e-07
1934,1.9290343722389025e-07
1935,1.675559708758101e-07
1936,1.8550813063455962e-07
1937,1.9390321881473938e-07
1938,1.7243735239702573e-07
1939,1.7282277031682725e-07
1940,1.8764792919512274e-07
1941,1.2986611075405108e-07
1942,1.5777900830293845e-07
1943,1.4806499937236595e-07
1944,2.3134940363433998e-07
1945,2.134933989594856e-07
1946,1.7679802866155114e-07
1947,2.46762033029313e-07
1948,2.5005342418893406e-07
1949,2.5720561325215385e-07
1950,2.478039138331667e-07
1951,2.2388943943241202e-07
1952,2.1511400039031514e-07
1953,2.2409560962444175e-07
1954,2.1304128150489987e-07
1955,1.7081806635843577e-07
1956,1.970978011911484e-07
1957,2.1469141575636286e-07
1958,1.7206266011982052e-07
1959,2.0772003983537957e-07
1960,1.584870874538069e-07
1961,2.2025665025182661e-07
1962,2.15626519306511e-07
1963,2.0562048774763753e-07
1964,1.7886866476857222e-07
1965,1.9152152042067883e-07
1966,2.1436219732606787e-07
1967,1.9277612128831834e-07
1968,2.142405417515647e-07
1969,2.1073756784062425e-07
1970,1.9866491385300833e-07
1971,2.0399438493967637e-07
1972,1.7134691177034256e-07
1973,1.81935718934767e-07
1974,1.850813013959396e-07
1975,1.365043784673503e-07
1976,1.6283551129703255e-07
1977,1.9334612666455087e-07
1978,2.637622555923258e-07
1979,2.25886168436773e-07
1980,1.677119465526289e-07
1981,1.5371086004023482e-07
1982,1.564290597055873e-07
1983,1.7051354017638687e-07
1984,1.8034916404729984e-07
1985,1.8227140330395741e-07
1986,1.9422132346846865e-07
1987,1.6560313742530752e-07
1988,1.6310626360649394e-07
1989,1.9208427115557924e-07
1990,1.9015792052101688e-07
1991,1.822915649540846e-07
1992,2.4574350554473767e-07
1993,2.5369569822686344e-07
1994,2.1205204259189259e-07
1995,2.52143954604378e-07
1996,2.0338130646280206e-07
1997,1.7789057960015953e-07
1998,1.6974539995828763e-07
1999,1.9697567221754753e-07
2000,2.2178517422588584e-07
2001,1.8576338511877566e-07
2002,2.821506548400521e-07
2003,1.920951486766853e-07
2004,2.5371598155743413e-07
2005,2.2698897339523683e-07
2006,2.878405069850487e-07
2007,2.868036208525382e-07
2008,2.7630783883125787e-07
2009,2.841842876577516e-07
2010,3.0799131423009385e-07
2011,2.940634509229767e-07
2012,3.485954831461413e-07
2013,4.1223269064971646e-07
2014,5.1559248070987e-07
2015,4.4796988696305107e-07
2016,4.208962955942752e-07
2017,4.540678482101157e-07
2018,4.734409841944398e-07
2019,4.71167451721044e-07
