year,ces_DET arts_NOUN,ces_DET barres_NOUN
1800,1.8613453391935764e-06,3.898764049381498e-07
1801,1.0715321216991924e-06,3.786080213785681e-07
1802,1.8036990923064877e-06,1.6783801015662903e-07
1803,1.5290658978983629e-06,1.8528223111324849e-07
1804,1.7846763444850922e-06,2.249384429831025e-07
1805,1.239494731741786e-06,4.1790302951483227e-07
1806,1.455242912840049e-06,1.642551339386955e-07
1807,1.79642871245278e-06,3.046241943138739e-07
1808,1.4253605664649172e-06,2.0621272778242883e-07
1809,1.19954516009102e-06,1.8975856619363185e-07
1810,1.2683486758646723e-06,2.6911458439471403e-07
1811,1.1432269886313406e-06,3.8358275133987263e-07
1812,1.2509206577249188e-06,4.6942865949972656e-07
1813,9.489947192520276e-07,2.6169249167651287e-07
1814,1.0352568011740004e-06,5.506684850331567e-07
1815,1.057311649788062e-06,8.091670622434322e-08
1816,8.204317882842815e-07,2.6884203840893406e-07
1817,1.3217855674430012e-06,2.6778221418055637e-07
1818,1.2493393768409078e-06,2.4557625266652394e-07
1819,1.2711089310002421e-06,2.3289862838282716e-07
1820,1.121382496194201e-06,1.5307760392602177e-07
1821,1.0315116751868914e-06,9.762873531826699e-08
1822,1.150940676097889e-06,1.4336630727029842e-07
1823,1.1701101758632149e-06,2.184073792932395e-07
1824,8.867431589010266e-07,2.27370048122566e-07
1825,1.0689807763419878e-06,1.602590593563491e-07
1826,1.0366997047484006e-06,4.051672917171345e-07
1827,9.49379131753858e-07,2.8297028364931975e-07
1828,8.016591381831972e-07,2.283903057787029e-07
1829,9.224737400614913e-07,1.9203913836918218e-07
1830,9.560141460696059e-07,3.089303319825376e-07
1831,5.924658061928767e-07,2.2139512267926875e-07
1832,9.227439328185483e-07,3.0713029985918183e-07
1833,7.274518623034965e-07,2.6874017677869233e-07
1834,8.130376194515065e-07,2.996384438347377e-07
1835,5.952150203825113e-07,2.405061962917898e-07
1836,6.828282295145982e-07,1.6600253260889986e-07
1837,7.076175028153386e-07,1.5585674972840025e-07
