year,quelques_DET heures_NOUN
1800,1.1139775097035454e-05
1801,9.372335085799932e-06
1802,9.235566494680825e-06
1803,8.700462842625711e-06
1804,8.33013734791166e-06
1805,7.9231002700908e-06
1806,8.183940366279785e-06
1807,9.022001165703841e-06
1808,6.82088250414381e-06
1809,8.765038160163385e-06
1810,8.929924064204897e-06
1811,7.814558159680018e-06
1812,9.193866844725562e-06
1813,1.0234764886263292e-05
1814,1.1249371084431914e-05
1815,1.0165835647057975e-05
1816,1.0190504553975188e-05
1817,8.811903455807624e-06
1818,9.401040756529255e-06
1819,7.926834172167219e-06
1820,9.977337782629547e-06
1821,9.021289116617481e-06
1822,8.265117457995075e-06
1823,1.049343728709573e-05
1824,9.408067512595153e-06
1825,8.457627586722083e-06
1826,9.517908210909809e-06
1827,9.628363841329701e-06
1828,9.848300152270895e-06
1829,9.276176854200457e-06
1830,1.0711325046486309e-05
1831,1.184307984658517e-05
1832,1.2532810160337249e-05
1833,1.2138484464685462e-05
1834,1.0733777344285045e-05
1835,1.0859837686894025e-05
1836,9.648981119880773e-06
1837,1.046466815068925e-05
1838,9.756077758993342e-06
1839,1.0807422427205893e-05
1840,9.739253812313109e-06
1841,9.887645035178139e-06
1842,1.0729199061643158e-05
1843,1.0286294582328992e-05
1844,9.657123712258908e-06
1845,1.0142621988507017e-05
1846,1.0206737897533458e-05
1847,1.0226630763554567e-05
1848,1.091575717282467e-05
1849,1.2305170571380586e-05
1850,1.0938430591522774e-05
1851,1.0757664142602152e-05
1852,1.0327677955501713e-05
1853,1.0935204159068235e-05
1854,1.0147651892111753e-05
1855,1.0738587150171952e-05
1856,1.0464652746122738e-05
1857,1.0778372313779983e-05
1858,1.1021047839676612e-05
1859,1.214177831343477e-05
1860,1.1710267642683903e-05
1861,1.1830466519313632e-05
1862,1.1664084809126507e-05
1863,1.0941216714854818e-05
1864,1.0612170967760903e-05
1865,1.0919879343873617e-05
1866,1.0596331776469015e-05
1867,1.0851371939679666e-05
1868,1.1453098011315888e-05
1869,1.1011846879682707e-05
1870,1.1114880294371687e-05
1871,1.433009265383589e-05
1872,1.2087422021522798e-05
1873,1.2389233631893148e-05
1874,1.2981033592041058e-05
1875,1.1752016519039898e-05
1876,1.1070252696754324e-05
1877,1.145242379152478e-05
1878,1.1019524947641912e-05
1879,1.0822669707977184e-05
1880,1.084616042135167e-05
1881,1.1132305985483981e-05
1882,1.164226529226653e-05
1883,1.1138466902593791e-05
1884,1.1589279097279359e-05
1885,1.1335295312164817e-05
1886,1.0832139366812044e-05
1887,1.1370775212071749e-05
1888,1.134526178248052e-05
1889,1.1047942166442226e-05
1890,1.1111651588180393e-05
1891,1.1189305723746656e-05
1892,1.1539077263478248e-05
1893,1.099277375260499e-05
1894,1.1467541639831325e-05
1895,1.137999629463593e-05
1896,1.1093491252722743e-05
1897,1.1161652707869507e-05
1898,1.0805194222029968e-05
1899,1.0847320197626686e-05
1900,1.0210801747234655e-05
1901,1.0450942056650092e-05
1902,9.51662082115945e-06
1903,1.0586052098915388e-05
1904,1.0801384519254498e-05
1905,1.0276102955231181e-05
1906,1.0252360084450629e-05
1907,1.0221401396393048e-05
1908,1.0036914432021149e-05
1909,1.0743421285042132e-05
1910,1.0399717552900256e-05
1911,1.0209797778770735e-05
1912,1.04026932490342e-05
1913,1.0108558740284934e-05
1914,1.0453617051098263e-05
1915,1.2656072328809387e-05
1916,1.2122466387154418e-05
1917,1.2863615665992256e-05
1918,1.1983736612819484e-05
1919,1.0844082964922563e-05
1920,9.37063663286608e-06
1921,1.0205034584487294e-05
1922,1.0249427589315019e-05
1923,8.980030315797194e-06
1924,9.107933010454872e-06
1925,8.790843992301234e-06
1926,8.964838798419805e-06
1927,9.196995506499661e-06
1928,9.291656738241727e-06
1929,8.990307605927228e-06
1930,8.522624170836934e-06
1931,8.819762683742738e-06
1932,8.763245432419353e-06
1933,8.906968787414371e-06
1934,8.973005208190443e-06
1935,8.888844433840859e-06
1936,9.078986408894707e-06
1937,9.056790986505803e-06
1938,9.066574534699612e-06
1939,9.37984134452563e-06
1940,8.319903770370729e-06
1941,9.140803683749255e-06
1942,9.248277024198615e-06
1943,9.560353362303431e-06
1944,9.202564740462549e-06
1945,1.0476425700289838e-05
1946,9.105794731567585e-06
1947,9.521199672235525e-06
1948,9.022579945394682e-06
1949,8.062708843681321e-06
1950,8.090319283837744e-06
1951,8.259388096121256e-06
1952,8.047794324284041e-06
1953,8.060977734203334e-06
1954,8.179612905223621e-06
1955,7.546028768956603e-06
1956,7.740885450857604e-06
1957,7.453237685695058e-06
1958,7.558348897873657e-06
1959,7.158590733524761e-06
1960,7.464118766620231e-06
1961,7.5179082159593236e-06
1962,7.5634170570992865e-06
1963,7.271723632129579e-06
1964,7.098774403857533e-06
1965,6.632116367200069e-06
1966,7.24732541357298e-06
1967,7.387614857634617e-06
1968,7.554112130492285e-06
1969,6.6296039449298405e-06
1970,6.15447356722143e-06
1971,6.114693121617165e-06
1972,6.133090721505141e-06
1973,5.870459517609561e-06
1974,5.461304908749298e-06
1975,5.236284948750836e-06
1976,5.509553858473737e-06
1977,5.294392707355655e-06
1978,5.476631201872806e-06
1979,5.636620699078776e-06
1980,5.558371839242682e-06
1981,5.767635855136177e-06
1982,5.780426022283791e-06
1983,5.764620539139287e-06
1984,5.833222530782223e-06
1985,5.7671155104799254e-06
1986,5.889581871088012e-06
1987,5.796720813577849e-06
1988,5.777679803031788e-06
1989,5.8146653714175045e-06
1990,6.008227387610532e-06
1991,5.997451125949738e-06
1992,5.749075739913678e-06
1993,6.048814384485013e-06
1994,6.059835584437678e-06
1995,6.06989146945125e-06
1996,5.64716793860498e-06
1997,5.7649016298455535e-06
1998,5.922493414800556e-06
1999,5.984221502330911e-06
2000,5.889677879622468e-06
2001,5.8681952168626594e-06
2002,5.9970158190481015e-06
2003,6.503733516183274e-06
2004,6.807605018366303e-06
2005,6.6006954284603125e-06
2006,7.151539591632172e-06
2007,8.272966226741119e-06
2008,9.045782348948705e-06
2009,1.01891507711116e-05
2010,1.2161877293692669e-05
2011,1.3427495105133858e-05
2012,1.5732073393337487e-05
2013,1.5573358268738957e-05
2014,1.7255132661375683e-05
2015,1.6898062426662364e-05
2016,1.7588577634342073e-05
2017,1.7152696500488673e-05
2018,1.876261626421183e-05
