year,aux_ADP arts_NOUN,aux_ADP bars_NOUN
1800,9.492232409868961e-06,3.144164484325529e-09
1801,6.767321032441487e-06,0.0
1802,6.494211845620157e-06,0.0
1803,7.22015596466008e-06,0.0
1804,6.491080696946483e-06,0.0
1805,7.110037023139171e-06,0.0
1806,7.797796595099271e-06,0.0
1807,9.60847353326244e-06,0.0
1808,6.39712692063199e-06,2.2660739951163578e-09
1809,5.988689963487559e-06,0.0
1810,7.455644006171269e-06,0.0
1811,5.773797786545742e-06,0.0
1812,6.291944060876631e-06,0.0
1813,5.906773560937495e-06,0.0
1814,5.242364110813469e-06,0.0
1815,4.436932698581586e-06,0.0
1816,5.51126220216247e-06,0.0
1817,5.103430922304142e-06,0.0
1818,4.667141027425714e-06,0.0
1819,5.145506875692263e-06,1.035105001712111e-09
1820,4.7655788080192e-06,0.0
1821,5.1703782375511764e-06,0.0
1822,5.469976002814292e-06,0.0
1823,5.026334470414895e-06,0.0
1824,4.880876732116235e-06,0.0
1825,6.023803607035916e-06,0.0
1826,5.874925456339497e-06,0.0
1827,6.737826716118889e-06,0.0
1828,5.504298016489884e-06,4.310981616129084e-08
1829,5.674585082715566e-06,0.0
1830,5.496037545071886e-06,0.0
1831,4.755317764448819e-06,1.5591206548037917e-08
1832,4.849140797791307e-06,0.0
1833,4.679786020034271e-06,0.0
1834,4.5113788909034724e-06,0.0
1835,4.065916122897306e-06,0.0
1836,3.365079589201514e-06,6.720750067579218e-10
1837,4.265187053320574e-06,0.0
1838,4.1319410399864864e-06,0.0
1839,4.060648924664179e-06,0.0
1840,4.030738871563244e-06,0.0
1841,4.0353148307303854e-06,0.0
1842,4.245661074264717e-06,6.708265054555795e-10
1843,3.979486013605538e-06,1.7720733769266417e-09
1844,3.5774441826674774e-06,5.488561272137815e-10
1845,3.26443331033488e-06,0.0
1846,3.301353384443928e-06,0.0
1847,3.817323626975622e-06,0.0
1848,3.193148550906244e-06,6.43617736884039e-09
1849,3.0953558542989867e-06,0.0
1850,3.6321129783800643e-06,6.788996032014438e-10
1851,3.092505846069571e-06,1.9348316282474798e-09
1852,3.875727676572183e-06,0.0
1853,3.4583457058090517e-06,0.0
1854,3.6463172250478237e-06,0.0
1855,3.852305589191474e-06,5.306937111981824e-10
1856,3.835261829010506e-06,5.177189232874468e-10
1857,3.3199143771867057e-06,2.4407544874094356e-09
1858,3.3898493256856455e-06,4.893676019968041e-10
1859,3.293108463253702e-06,0.0
1860,3.3207470337970335e-06,1.8308735638683515e-09
1861,3.4332216429788787e-06,0.0
1862,3.5872811423587336e-06,2.710791813242963e-09
1863,3.5177115229600986e-06,2.4973103585068657e-09
