year,ces_DET ailes_NOUN,ces_DET belles_ADJ
1800,7.231578535993322e-07,3.961647223604814e-06
1801,4.309940493385511e-07,4.067059819590213e-06
1802,5.706492345325387e-07,4.287701841576563e-06
1803,5.909527942549175e-07,3.764154712371237e-06
1804,4.597642870862728e-07,4.370232645101169e-06
1805,3.951599971685482e-07,4.38940313074454e-06
1806,3.890253381655384e-07,4.368610603933121e-06
1807,2.4483813731990267e-07,3.5330712080394733e-06
1808,2.673967252064813e-07,3.3424591237007917e-06
1809,2.530114144860818e-07,3.1377934419651865e-06
1810,5.031272607425308e-07,4.2449901798136125e-06
1811,4.312171952847166e-07,4.585443349469642e-06
1812,3.494042886131865e-07,3.883455121922452e-06
1813,1.437870835729882e-07,3.686700722482783e-06
1814,1.2272040450511668e-07,3.923906319869275e-06
1815,1.8880565022527662e-07,3.859726888322257e-06
1816,6.350234684759926e-07,3.9793259105636025e-06
1817,6.071806240015576e-07,3.758292493216686e-06
1818,5.579111075348919e-07,4.2487077109854e-06
1819,3.747080228322375e-07,4.20459636529813e-06
1820,3.0852852006546527e-07,4.315839163382407e-06
1821,3.6487505639115625e-07,4.5471322920320745e-06
1822,5.383755734555962e-07,4.3731737946473e-06
1823,3.765303837610645e-07,4.523305847214942e-06
1824,2.871599491527377e-07,4.117924191859856e-06
1825,3.8039515004584246e-07,4.527758932226789e-06
1826,2.3517318048504876e-07,3.4492067015889916e-06
1827,2.4425773048619703e-07,3.528372218397635e-06
1828,2.834241144000771e-07,3.26442196296739e-06
1829,1.7917937800149275e-07,3.7576230909053265e-06
1830,3.057992934429876e-07,3.877284427744598e-06
1831,1.7929886553247343e-07,3.640546651695331e-06
1832,4.857259057189367e-07,4.086050566343147e-06
1833,3.1854977322609557e-07,4.879024288584333e-06
1834,3.0617261614906965e-07,4.563652197475676e-06
1835,3.4109527291548147e-07,4.035663522472532e-06
1836,3.158752477361304e-07,4.640677900624723e-06
1837,2.56050391556073e-07,4.20047879856611e-06
1838,2.9793403300004684e-07,4.407151266150322e-06
1839,3.285993415147459e-07,4.000522025648934e-06
1840,2.458699874807735e-07,4.096346756909952e-06
1841,2.5874811271364706e-07,4.6934211468396825e-06
1842,2.0795621225033756e-07,4.636082110209827e-06
1843,2.811689725490396e-07,4.339807759379255e-06
1844,2.3216613698195943e-07,4.63783436543963e-06
1845,3.1137672706904596e-07,4.648329735346124e-06
1846,2.7574701277899294e-07,4.208215358403322e-06
1847,2.1842555497642024e-07,3.840514509079185e-06
1848,2.2446168657097587e-07,4.104671944560323e-06
1849,2.7652069789496636e-07,4.092506173947186e-06
1850,2.58660744378858e-07,3.894168031592926e-06
1851,1.6768540334055615e-07,4.243730529651657e-06
1852,3.8216901465659703e-07,4.188234044022465e-06
1853,2.3648849989399423e-07,4.6640787161322805e-06
1854,1.9951351148961294e-07,5.095907681607059e-06
1855,2.3881217359189577e-07,5.121725109802355e-06
1856,1.9518003213647717e-07,4.790453289160723e-06
1857,3.1876254524831893e-07,5.064565812062938e-06
1858,2.397901290862592e-07,4.937719126019147e-06
1859,2.0826989555189357e-07,5.514314381116492e-06
1860,4.2933983479542803e-07,5.358509355346541e-06
1861,2.1551954532128548e-07,5.1394573574725655e-06
1862,2.1324894916574522e-07,4.796746196689128e-06
1863,2.1426923169087786e-07,4.84927721799977e-06
1864,2.77135271176121e-07,5.600242417358459e-06
1865,2.376956338423497e-07,4.917240460144967e-06
1866,2.063019906017871e-07,4.937137589422491e-06
1867,2.5719900875742496e-07,4.95035314429515e-06
1868,2.326680750286414e-07,4.504177326225545e-06
1869,2.2610693406477367e-07,4.7795001592021435e-06
1870,2.603258124622698e-07,4.494920688102866e-06
1871,2.2835530799625303e-07,3.857611602597899e-06
1872,2.8724862133344686e-07,4.106748207277633e-06
1873,1.8975634219486892e-07,3.938192406849339e-06
1874,2.1867069222025748e-07,4.25571388973367e-06
1875,1.8137241042381902e-07,4.314603557986629e-06
1876,2.4304979007183647e-07,4.275741559922608e-06
1877,1.818335917391778e-07,4.137023438488541e-06
1878,1.781531118183466e-07,4.012974358147403e-06
1879,1.6739551078615023e-07,4.109132078156108e-06
1880,1.1423766643758881e-07,3.855842123812181e-06
1881,1.6873468311473516e-07,3.5859605986843235e-06
1882,1.6505354771823022e-07,3.6910766425535257e-06
1883,2.1612138567661532e-07,3.574850040877209e-06
1884,1.8880854035785433e-07,3.43684354220386e-06
1885,1.4953874760692543e-07,3.3265925054593026e-06
1886,2.0522015375945557e-07,3.3403128156805906e-06
1887,1.397189866025883e-07,3.1613053863566165e-06
1888,2.231896445437087e-07,3.271123162562617e-06
1889,1.8106244858984155e-07,3.1970993745744636e-06
1890,1.9335440271106563e-07,3.0359919094280485e-06
1891,2.664423952580819e-07,3.077473451185142e-06
1892,1.5044429169108753e-07,3.0233036056870333e-06
1893,2.4818418253858e-07,3.073049938961958e-06
1894,2.451298790617784e-07,3.0467942337963905e-06
1895,1.8055842687658696e-07,2.9220374244687264e-06
1896,1.5155364252450454e-07,3.016920118170674e-06
1897,1.8179345673274838e-07,2.84751480705836e-06
1898,1.8389653178019216e-07,2.836533354866333e-06
1899,1.6361632226846723e-07,2.7262017283646856e-06
1900,1.4534949066558056e-07,2.63861228688711e-06
1901,1.5424919475037768e-07,2.6630340954625353e-06
1902,5.951263943870799e-07,2.325510422451771e-06
