year,nos_DET arts_NOUN,nos_DET bars_NOUN
1800,6.38265364116819e-07,0.0
1801,9.45329502677339e-07,0.0
1802,8.682819725436275e-07,0.0
1803,6.221581958509859e-07,0.0
1804,6.822308380449726e-07,0.0
1805,6.026900787325928e-07,0.0
1806,9.394241118343416e-07,0.0
1807,1.207109001200024e-06,0.0
1808,1.2644693296870457e-06,0.0
1809,8.539135638585549e-07,0.0
1810,8.424456368061328e-07,0.0
1811,8.549131917945374e-07,0.0
1812,7.734904023948275e-07,0.0
1813,9.576219959228638e-07,0.0
1814,6.765356008742174e-07,0.0
1815,7.902865224451716e-07,0.0
1816,5.608601494344612e-07,0.0
1817,8.329272809248778e-07,0.0
1818,8.845513477240274e-07,0.0
1819,9.885252687524826e-07,0.0
1820,8.342135995320632e-07,0.0
1821,6.784703837636741e-07,0.0
1822,6.747239353899204e-07,0.0
1823,6.858584820079727e-07,0.0
1824,7.107419053298258e-07,0.0
1825,1.0804278349763052e-06,0.0
1826,9.644742933190287e-07,0.0
1827,9.005275920515032e-07,0.0
1828,6.136269755652179e-07,9.172301251858528e-10
1829,6.455601662125332e-07,0.0
1830,6.387343500779963e-07,9.39315203396518e-09
1831,5.987022868580993e-07,0.0
1832,7.63090292288382e-07,0.0
1833,8.652970500122592e-07,0.0
1834,6.608848170941428e-07,0.0
1835,5.052142952877148e-07,0.0
1836,5.699196027886266e-07,0.0
1837,5.350618107469174e-07,0.0
1838,5.396898217213675e-07,0.0
1839,3.873277290011856e-07,0.0
1840,4.758157468032209e-07,0.0
1841,7.300163495926881e-07,0.0
1842,4.0853334271062636e-07,0.0
1843,5.564310487926605e-07,0.0
1844,4.4841545054907783e-07,0.0
1845,3.5434446576942946e-07,0.0
1846,4.2562225166520307e-07,0.0
1847,3.6296395222734645e-07,0.0
1848,3.588168988599705e-07,0.0
1849,3.9383250038937945e-07,0.0
1850,3.5031218370562556e-07,0.0
1851,3.173123972466385e-07,0.0
1852,4.2904493113837816e-07,0.0
1853,3.881755823442745e-07,5.971931837933653e-10
1854,3.7408784853143473e-07,0.0
1855,3.1045581394550936e-07,0.0
1856,3.8259427448394945e-07,0.0
1857,3.5781460994144254e-07,0.0
1858,3.298337523105488e-07,0.0
1859,4.450559367707996e-07,0.0
1860,3.5610490378701343e-07,0.0
1861,3.923681894946185e-07,0.0
1862,3.478849368854231e-07,0.0
1863,4.2154599866339737e-07,0.0
1864,4.176208174833107e-07,0.0
1865,2.767624440735972e-07,0.0
1866,2.899905249265089e-07,0.0
1867,3.6541671555312405e-07,0.0
1868,4.3372093450066984e-07,0.0
1869,2.7787222955932833e-07,0.0
1870,2.471375095680628e-07,0.0
1871,2.3260377846057168e-07,0.0
1872,2.6305926326131157e-07,0.0
1873,2.3824298089891727e-07,0.0
1874,2.4973865864197364e-07,0.0
1875,2.7692190007755357e-07,0.0
1876,2.714660718439177e-07,0.0
1877,2.591437890941961e-07,0.0
1878,2.947075388171072e-07,0.0
1879,2.1565918462140843e-07,6.10932526790009e-10
1880,3.131909105391628e-07,0.0
1881,2.2521199100067335e-07,0.0
1882,1.956683171044915e-07,0.0
1883,2.8437024701677416e-07,0.0
1884,3.2678400785357553e-07,0.0
1885,1.643637115300578e-07,0.0
1886,1.664993745098542e-07,0.0
1887,1.717107175336352e-07,0.0
1888,1.9148657059986363e-07,0.0
1889,2.2366537866247427e-07,0.0
1890,1.8942176299718838e-07,0.0
1891,2.8301537646768793e-07,0.0
1892,1.748914986166028e-07,1.2537024751679837e-09
1893,1.8598417833581848e-07,6.158416554491453e-10
1894,1.8022402148432093e-07,0.0
1895,1.8296587511734685e-07,0.0
