year,des_DET arrières_NOUN,des_DET barrières_NOUN
1800,4.4018303668735825e-08,8.363477519424123e-07
1801,3.5717739876872656e-08,6.262510261478837e-07
1802,1.5664880947952042e-08,9.04087414710375e-07
1803,3.1205427575287104e-08,8.249934768667089e-07
1804,3.213406252200457e-08,8.429011735255898e-07
1805,3.1271653710973624e-08,8.528632946536163e-07
1806,3.1698359492793315e-08,8.587374118462776e-07
1807,4.27043254092041e-08,5.466153627509129e-07
1808,3.852325747288887e-08,5.59720261250618e-07
1809,5.6475762733043666e-08,7.499981578007464e-07
1810,3.2761775514700275e-08,4.727055937792102e-07
1811,2.5070768572277302e-08,6.142337838355161e-07
1812,2.6672083208723052e-08,9.068508060039449e-07
1813,2.8757416004054903e-08,5.751483058702433e-07
1814,8.18136065561248e-08,1.189443967319903e-06
1815,1.8880564667256294e-08,1.122045024004592e-06
1816,3.2446456188495176e-08,9.502175792874823e-07
1817,2.80237220096069e-08,1.0680151740771748e-06
1818,5.6029534789558966e-08,9.143542829548323e-07
1819,5.175524897538253e-09,9.243487468779676e-07
1820,3.322614716694261e-08,1.1296889477208083e-06
1821,1.7750679148775816e-08,8.618940920968043e-07
1822,2.105379337535851e-08,7.228468916764541e-07
1823,6.127265805844218e-08,7.372484454037931e-07
1824,1.6842225392110777e-08,9.861123295706875e-07
1825,2.905796137042671e-08,1.1411853861886812e-06
1826,2.642395191543301e-09,7.988841548289827e-07
1827,8.295545583791863e-09,7.926854870277111e-07
1828,1.2841221863624241e-08,8.200037058259113e-07
1829,3.1720752247110795e-08,9.447639968129806e-07
1830,1.3567886369969528e-08,8.339031936088759e-07
1831,1.4032085715598441e-08,9.853642044532762e-07
1832,1.7588959622116818e-08,9.092139396926768e-07
1833,2.3167256557599103e-08,8.537134066344265e-07
1834,5.600718555598405e-09,8.279729017957038e-07
1835,1.1344631900556124e-08,9.431170653328991e-07
1836,6.72075017860152e-09,9.617393352812087e-07
1837,6.957891152126194e-09,8.627784495729429e-07
1838,1.64116205070286e-08,7.644028343634091e-07
1839,6.9914751765765e-10,8.865190501694542e-07
1840,4.458782232319436e-09,9.216939602652019e-07
1841,1.926164561183441e-09,9.219907539659289e-07
1842,9.391571076378114e-09,9.176906772268012e-07
1843,2.3627644285539873e-09,7.962516104242923e-07
1844,6.037417288329294e-09,7.59616906265137e-07
1845,1.1160455670733427e-08,9.860263077143827e-07
1846,5.269051195355701e-09,9.724326659465987e-07
1847,1.0247124926365814e-08,8.979717414092647e-07
1848,1.045878850192139e-08,9.702537173694736e-07
1849,7.54147322368226e-09,8.111273874789049e-07
1850,1.4935791270431764e-08,6.91798703655877e-07
1851,7.094382858952031e-09,8.261731068159861e-07
1852,4.557382027314816e-09,8.138181897265895e-07
1853,1.0152284346531815e-08,7.255897074287532e-07
1854,1.1430461910322265e-08,8.240323978725428e-07
1855,2.653468555990912e-09,6.962701597501564e-07
1856,5.694908100650764e-09,6.725168546495297e-07
1857,1.1715622250108026e-08,8.196053720155305e-07
1858,6.361778659424999e-09,7.316045795846549e-07
1859,3.055304009791371e-09,8.035449461374355e-07
1860,4.57718396518203e-09,9.323723553222862e-07
1861,3.772770984511453e-09,7.880375578750431e-07
1862,9.035972914350765e-09,8.557065900305361e-07
