year,serions_VERB au_ADP
1800,4.087413785214267e-08
1801,5.000483582762172e-08
1802,1.3427040812530322e-08
1803,3.315576790896557e-08
1804,1.4831105232815389e-08
1805,2.2743021688143017e-08
1806,0.0
1807,2.8469550272802735e-08
1808,1.8128591960930862e-08
1809,4.518061036407062e-09
1810,2.574139479349924e-08
1811,2.5070768572277302e-08
1812,4.5342538612658245e-08
1813,1.1502966579257645e-08
1814,3.1466771410748606e-09
1815,3.236668177919455e-08
1816,2.3176038865813098e-08
1817,2.3353100786493997e-08
1818,2.98029441125891e-08
1819,4.7614829412623294e-08
1820,3.559944161679596e-08
1821,3.8459806006585495e-08
1822,5.81485721795616e-08
1823,2.8659792761231984e-08
1824,6.989523626543814e-08
1825,4.754939197937347e-08
1826,3.2589543508265706e-08
1827,3.133872894522938e-08
1828,2.2930752408001354e-08
1829,1.971830521085849e-08
1830,4.383471008395645e-08
1831,4.053713453799901e-08
1832,1.488296597074168e-08
1833,3.70676112027013e-08
1834,3.827157613045529e-08
1835,4.310960122211327e-08
1836,3.8980349614803345e-08
1837,2.922314124020886e-08
1838,2.1461350030449466e-08
1839,1.4682098203877558e-08
1840,2.8663599493938818e-08
1841,3.0818632978935057e-08
1842,2.5491406319133603e-08
1843,2.008349753168659e-08
1844,2.085653250105679e-08
1845,3.4039391749729475e-08
1846,2.985795788390533e-08
1847,3.613459753637471e-08
1848,2.494018680465615e-08
1849,5.781796375003978e-08
1850,2.7834882843080777e-08
1851,2.4507867735223954e-08
1852,4.687592536356533e-08
1853,2.5679307569248522e-08
1854,4.000661490977109e-08
1855,1.4328730202350926e-08
1856,2.2779632402603056e-08
1857,3.514686497396724e-08
1858,4.697928801533635e-08
1859,4.3283474582267445e-08
1860,5.080674014834585e-08
1861,3.584132457490341e-08
1862,3.5240294238292336e-08
1863,5.3442441583229083e-08
1864,2.7809422320501653e-08
1865,3.718406915709238e-08
1866,3.2113046444237625e-08
1867,2.232293283555009e-08
1868,2.1241458370013788e-08
1869,3.564969119906891e-08
1870,3.669791226457164e-08
1871,2.442870794538976e-08
1872,3.507456725060365e-08
1873,4.42964314117944e-08
1874,2.4495896866483235e-08
1875,2.689117728493784e-08
1876,2.3579458385825092e-08
1877,3.3398006138440905e-08
1878,2.3552445327368332e-08
1879,3.787781821529279e-08
1880,1.7328185109022343e-08
1881,3.2073533162702006e-08
1882,2.7952617998039386e-08
1883,3.728409936343269e-08
1884,2.9047466654219534e-08
1885,2.2559724754955823e-08
1886,3.743009102663564e-08
1887,2.0239665943222462e-08
1888,3.106901047544852e-08
1889,1.628935564212952e-08
1890,2.818386235503567e-08
1891,3.1871099537283953e-08
1892,3.0715710863660206e-08
1893,2.155445777418663e-08
1894,1.764431090123253e-08
1895,2.5880042997528108e-08
1896,1.6511680911435178e-08
1897,2.2724183423861177e-08
1898,3.281845906144554e-08
1899,3.205995469102163e-08
1900,2.1283318218934255e-08
1901,3.353243371861936e-08
1902,2.356936334990678e-08
1903,2.5381035939631147e-08
1904,1.8811189050893518e-08
1905,1.2385822145688508e-08
1906,2.1091157265118454e-08
1907,3.9085609415678846e-08
1908,2.357466755142923e-08
1909,2.8605114721358404e-08
1910,2.7255168788542505e-08
1911,2.979409430281521e-08
1912,2.2921453179947093e-08
1913,2.4924052155483878e-08
1914,1.4063162190325329e-08
1915,2.591767689352764e-08
1916,3.84561182897869e-08
1917,3.5092558192673096e-08
1918,3.101321510712296e-08
1919,2.2098836538475553e-08
1920,1.2872794385998532e-08
1921,2.877644078580488e-08
1922,2.8036154731125862e-08
1923,2.0170300985000722e-08
1924,3.2229060309418855e-08
1925,2.969508017258704e-08
1926,3.1209186346359274e-08
1927,2.0068604555945058e-08
1928,1.3711249025050165e-08
1929,3.230717737778832e-08
1930,1.6805765667982087e-08
1931,1.8248570654577634e-08
1932,3.1782654730250215e-08
1933,1.0323596200123575e-08
1934,3.2350264689284813e-08
1935,2.2739740757060645e-08
1936,2.0612015205756506e-08
1937,2.5182236740306507e-08
1938,2.3337385357535823e-08
1939,1.8352860564618823e-08
1940,2.2822046474857416e-08
1941,2.066051862925633e-08
1942,2.1239483061208375e-08
1943,3.4838823381733164e-08
1944,2.2492303131116387e-08
1945,2.3963544037997053e-08
1946,1.6705325123211878e-08
1947,4.172304812755101e-08
1948,1.3046265401328583e-08
1949,1.668891336237266e-08
1950,2.9779013033248702e-08
1951,2.8785784422780125e-08
1952,1.687168627029223e-08
1953,2.3702419582605216e-08
1954,2.6385848173049453e-08
1955,2.815682265122632e-08
1956,2.7907653077363648e-08
1957,1.9437083054185678e-08
1958,1.2408365002158916e-08
1959,2.5577467255288866e-08
1960,1.7302083321624195e-08
1961,2.501337270643944e-08
1962,3.55149545328004e-08
1963,2.9743844720542256e-08
1964,4.258777863697105e-08
1965,3.3926667697414814e-08
1966,2.4925835617750636e-08
1967,2.3665609916179164e-08
1968,3.5931325470528463e-08
1969,2.4071315607443466e-08
1970,3.678979965116014e-08
1971,3.494110245583215e-08
1972,2.61637485010624e-08
1973,2.0398854161385316e-08
1974,2.4752514704573514e-08
1975,1.1994108817248161e-08
1976,1.542652228181396e-08
1977,2.291944944943225e-08
1978,2.8514838490423244e-08
1979,2.0481905949054635e-08
1980,3.411090432337005e-08
1981,3.28928564385933e-08
1982,1.738100685599875e-08
1983,2.5261265079734585e-08
1984,1.681712546997005e-08
1985,2.045289804186723e-08
1986,1.558566253834215e-08
1987,2.627651163322753e-08
1988,2.7584148298842592e-08
1989,2.1952487827547884e-08
1990,2.45189291092629e-08
1991,2.5790447111262438e-08
1992,1.4325855168806356e-08
1993,1.883330469354405e-08
1994,2.637463225596548e-08
1995,1.4098372247417501e-08
1996,2.1886178203089912e-08
1997,2.5412941084823615e-08
1998,2.1456582288692516e-08
1999,1.690974471557638e-08
2000,2.164835422036049e-08
2001,1.621048362210331e-08
2002,1.752488643091965e-08
2003,1.7917768602160322e-08
2004,1.761916479381398e-08
2005,2.1167622321627277e-08
2006,2.3060183096390574e-08
2007,1.757570977645173e-08
2008,1.9158479247494142e-08
2009,3.4330987830344384e-08
2010,2.267420740054149e-08
2011,3.6710130046913036e-08
2012,2.5531894820574053e-08
2013,3.625862632361532e-08
2014,3.919455693335294e-08
2015,4.144995813248897e-08
2016,4.2669604738421185e-08
2017,3.5721679836342446e-08
2018,4.904786621295898e-08
2019,3.239754420292229e-08
