year,ces_DET oeufs_NOUN,ces_DET boeufs_NOUN
1800,3.615789267996661e-07,4.087413785214267e-08
1801,6.976865258856435e-07,6.905429650316819e-08
1802,4.788977889802482e-07,5.370816325012129e-08
1803,1.9054813833463413e-06,1.755305234496518e-08
1804,3.781931923185766e-07,1.730295684509997e-08
1805,2.1321583432154512e-07,3.127165504324125e-08
1806,3.1698359492793315e-08,5.76333825108577e-09
1807,1.2811298155668283e-07,2.2775640928784924e-08
1808,6.571614541428517e-08,1.8128591516841652e-08
1809,2.0331274441787173e-08,1.1295152813062259e-08
1810,6.084329395861232e-08,1.6380887757350138e-08
1811,1.7549537822958428e-08,1.504246061045933e-08
1812,5.867858199337661e-08,0.0
1813,7.189354267467252e-08,5.751483289628823e-09
1814,1.1013369771717407e-07,6.293354282149721e-09
1815,2.1577788444915313e-08,1.0788894000413052e-08
1816,5.7940095388175905e-08,9.270415546325239e-09
1817,7.784367150875937e-08,4.670620223912181e-09
1818,1.2994083675721413e-07,3.457141417584353e-08
1819,1.6354659493345025e-07,1.035105001712111e-09
1820,4.153268395867826e-08,4.746592452420373e-09
1821,2.465372128668264e-08,6.903041693817613e-09
1822,3.208197085768916e-08,9.023054303725075e-09
1823,1.9765373338032077e-08,7.906149623870817e-09
1824,3.705289586264371e-08,2.5263338088166165e-09
1825,3.698285966358128e-08,8.805443041381977e-10
1826,4.4039921931471326e-08,5.284790716153509e-09
1827,1.0415518292283821e-07,6.4520911946530646e-09
1828,6.787503004090922e-08,1.8344602503717056e-09
1829,2.4004893184326193e-08,2.571952872898464e-09
1830,5.009681003365074e-08,3.1310507520032616e-09
1831,2.962329048727952e-08,1.09138444948087e-08
1832,2.1647950543268735e-08,9.470978779013706e-09
1833,3.011743432423941e-08,1.2741991461950875e-08
1834,2.426977996350388e-08,1.8669061851994684e-09
1835,4.689114518896531e-08,1.5126175867408165e-09
1836,2.8227149950765806e-08,2.688300027031687e-09
1837,3.757261257675282e-08,6.957891041103892e-09
1838,5.996553897880119e-08,3.787297142565649e-09
1839,3.425822836522485e-08,4.894032734625853e-09
1840,1.2102408630809691e-08,6.3696887764308485e-09
1841,1.9903700021473014e-08,1.2841097074556274e-09
1842,6.372851713010164e-08,4.024959032733477e-09
