year,avions_VERB eu_VERB,avions_VERB bu_VERB
1800,8.740777275306755e-07,1.8864987794131594e-08
1801,6.905429472681135e-07,0.0
1802,5.706492629542481e-07,0.0
1803,3.5106106111015833e-07,1.950339267864365e-08
1804,4.6470796633002465e-07,9.887403784603066e-09
1805,4.065315124535118e-07,1.421438877713399e-08
1806,5.129371061229904e-07,0.0
1807,8.085352760645037e-07,0.0
1808,4.282879899619729e-07,6.798221985349073e-09
1809,3.411136049180641e-07,0.0
1810,7.230991627693584e-07,1.6380887757350138e-08
1811,3.334412213007454e-07,7.521229861140455e-09
1812,3.4673706750254496e-07,5.3344164641089264e-09
1813,6.642962944169994e-07,2.5881675469463516e-08
1814,6.041619826646638e-07,0.0
1815,4.531335662250058e-07,0.0
1816,7.416332437060191e-07,4.6352077731626196e-09
1817,5.417919624051137e-07,3.113746815941454e-09
1818,5.507583864527987e-07,1.3113295338484932e-08
1819,3.7988354506524047e-07,7.24573512300708e-09
1820,6.372300163093314e-07,1.0679833017945839e-08
1821,5.404095304584189e-07,2.9584463767662328e-09
1822,4.962680009157339e-07,0.0
1823,6.670813377240847e-07,3.5577674140085946e-08
1824,6.374782515194966e-07,7.57900142644985e-09
1825,7.167630542426195e-07,6.163809906922779e-09
1826,4.765119570038223e-07,7.0463874735082754e-09
1827,5.880619937670417e-07,1.2904182611350734e-08
1828,4.586150623708818e-07,4.586150570418113e-09
1829,5.315368980518542e-07,1.714635211591542e-09
1830,5.604580906037882e-07,8.349468672008697e-09
1831,5.659607609231898e-07,1.091384405071949e-08
1832,6.169665880406683e-07,2.705993873419743e-09
1833,9.151066251433804e-07,2.4325620628928846e-08
1834,7.056905246827228e-07,5.600718555598405e-09
1835,7.033671636236249e-07,1.5882484660778573e-08
1836,4.334883669798728e-07,7.392825018825988e-09
1837,5.879417699361511e-07,4.174734336004349e-09
1838,4.797242922904843e-07,1.1361890983607736e-08
1839,5.495299433277978e-07,2.7965900706306e-09
1840,4.560696993394231e-07,6.369688665408546e-10
1841,6.542538812936982e-07,3.2102742686390684e-09
1842,5.70202530525421e-07,4.024959032733477e-09
1843,4.979526124770928e-07,1.4176587015413133e-08
1844,4.956170869263588e-07,6.037417232818143e-09
1845,4.386059231364925e-07,6.138250796539069e-09
1846,5.456395228975452e-07,1.4636253098387897e-08
1847,4.713677412837569e-07,2.6966118227278457e-09
1848,5.736243338105851e-07,3.218088684420195e-09
1849,7.223055717986426e-07,4.1897072478036534e-09
1850,7.114867912605405e-07,6.788996032014438e-09
1851,5.604562147709657e-07,1.2253933867611977e-08
1852,4.0495592656952795e-07,1.9531636308300904e-09
1853,5.111973564453365e-07,5.3747388761848924e-09
1854,5.793165769318875e-07,3.63696517347023e-09
1855,4.70194635227017e-07,1.0083180512765466e-08
1856,4.56110370805618e-07,1.863788057221427e-08
1857,5.696721245840308e-07,2.4407544874094356e-09
1858,5.72560111322673e-07,9.787352261980686e-09
1859,6.181898584145529e-07,6.619825576592575e-09
1860,6.124271862972819e-07,6.865775947773045e-09
1861,5.960978342045564e-07,9.903524222920623e-09
1862,5.792058459519467e-07,6.776979422085105e-09
1863,5.598969892162131e-07,2.8469338886338846e-08
1864,5.015285182707885e-07,3.3563094525845827e-09
1865,5.507008040694927e-07,9.88437331983505e-09
1866,5.37163657554629e-07,5.352174259343201e-09
1867,5.216772365201905e-07,3.88224918879132e-09
1868,5.532659201890056e-07,7.409810987013543e-09
1869,5.938359208812471e-07,1.2208797528501236e-08
1870,6.433602948163752e-07,2.2936195165357276e-09
1871,1.3403926004684763e-06,2.1242354542039266e-09
1872,1.041956579683756e-06,1.2094679036067646e-08
1873,7.278981684066821e-07,1.3169209722718733e-08
1874,6.77520688441291e-07,5.377148060148329e-09
1875,7.352162469942414e-07,3.432916173551348e-09
1876,6.052060825822991e-07,3.02300739996042e-09
1877,5.87557508424652e-07,4.329371083855449e-09
1878,5.084912686470489e-07,6.039088784604019e-09
1879,6.060450914446847e-07,7.94212251520321e-09
1880,6.109789865149651e-07,6.417846254436199e-09
1881,5.78718129418121e-07,2.091752193678076e-08
1882,5.537280571843439e-07,1.0648616211028639e-08
1883,6.136078241070209e-07,2.5277355764075082e-09
1884,6.337629088193353e-07,5.941527270181268e-09
1885,5.839746108904365e-07,9.023890079618013e-09
1886,6.524451805489662e-07,1.936039240035825e-08
1887,5.732395607083163e-07,1.1099172247952538e-08
1888,5.960177986708004e-07,1.5851536971922542e-08
1889,6.290197234193329e-07,5.012109394186837e-09
1890,5.892393346584868e-07,7.865263995654459e-09
1891,5.85153372867353e-07,5.099376032546843e-09
1892,5.804642455586873e-07,1.5044429702015805e-08
1893,6.792733415750263e-07,7.390100087434348e-09
1894,5.784813197351468e-07,1.8904618315218613e-08
1895,6.548252713400871e-07,6.6204757231957956e-09
1896,6.091630666560377e-07,1.3563166589847242e-08
1897,6.26371729595121e-07,1.1653426668090106e-08
1898,5.912980896027875e-07,1.9238406423482957e-08
1899,5.422554636425048e-07,1.7688250864011934e-08
1900,5.227390715845104e-07,5.19105292084987e-09
1901,5.583150368693168e-07,1.1736351446245408e-08
1902,4.7580650175405026e-07,6.38336894454028e-09
1903,5.3030163371659e-07,1.6200660812870638e-09
1904,4.971528255737212e-07,4.837162670412454e-09
1905,5.042061843596457e-07,5.160758931310738e-09
1906,5.411682195699541e-07,3.600929110447737e-09
1907,5.281700055093097e-07,8.228549397415463e-09
1908,4.6019715682632523e-07,9.331639461152008e-09
1909,5.038900781073608e-07,4.400786846048277e-09
1910,4.7402616587532975e-07,4.275320542035388e-09
1911,5.09691858496808e-07,6.916486494645824e-09
1912,5.110442202749255e-07,6.772247651554153e-09
1913,4.931780495098792e-07,4.242391771214216e-09
1914,5.277033778838813e-07,4.68772043404897e-09
1915,9.082967267204367e-07,1.1780761921542648e-09
1916,8.086772140813991e-07,2.197492410260793e-09
1917,8.466079748359334e-07,4.386569774084137e-09
1918,8.201272407859506e-07,0.0
1919,7.053212129903841e-07,4.603924352863942e-09
1920,6.201657924975734e-07,1.2115570768855832e-08
1921,5.270632073006709e-07,1.6660044011018726e-08
1922,5.031752152717672e-07,1.770704471937279e-08
1923,5.382285621635674e-07,2.229349149729387e-08
1924,4.873033958574524e-07,3.9964035636330664e-08
1925,4.564243738514051e-07,1.4297631523163545e-08
1926,5.0046162414219e-07,1.2260752413340015e-08
1927,5.017151352149085e-07,1.0034302277972529e-08
1928,4.718955040061701e-07,2.170947865920425e-08
1929,5.703888064090279e-07,2.33948540540041e-08
1930,5.1572692427726e-07,1.05036033204442e-08
1931,5.63424634947296e-07,4.5621426636444085e-09
1932,5.523606319002283e-07,9.863582839386709e-09
1933,4.852090000895259e-07,1.4911860191091364e-08
1934,4.804613809028524e-07,9.585264137967897e-09
1935,4.954869723405864e-07,1.196828414151696e-08
1936,4.328523175445298e-07,1.576212937948185e-08
1937,4.923127221445611e-07,1.7627565185307503e-08
1938,4.460033835584909e-07,7.779128452511941e-09
1939,5.062330501459655e-07,9.176430282309411e-09
1940,4.7926295110301e-07,0.0
1941,5.135614742357575e-07,0.0
1942,5.400896725404891e-07,1.517105907566929e-08
1943,3.251623468258913e-07,1.1612940831184915e-08
1944,4.948306582264195e-07,1.6065930807940276e-08
1945,7.014783136582992e-07,4.7927088075994106e-08
1946,5.554520612349734e-07,3.201854070766785e-08
1947,6.127327765170776e-07,1.549713246618012e-08
1948,5.185890472603205e-07,1.9569398546082084e-08
1949,4.947772254126903e-07,2.2579119018928395e-08
1950,4.254144698734308e-07,1.808011518278363e-08
1951,5.053504423813138e-07,1.3859822622919182e-08
1952,3.7328607049857965e-07,2.319856839960721e-08
1953,4.762031835525704e-07,6.464296653518886e-09
1954,4.260825789970113e-07,2.6385848173049453e-08
1955,3.923184124232648e-07,1.8771215692936494e-08
1956,4.901281727143214e-07,1.5698054411927842e-08
1957,4.35567358181288e-07,1.4136060322300636e-08
1958,3.929315539608069e-07,1.9853384713997002e-08
1959,3.797866554577922e-07,1.2401196514133517e-08
1960,3.986399974564847e-07,2.145458388724819e-08
1961,4.1480510049041186e-07,2.779263752472616e-08
1962,4.388633954022225e-07,3.805173776072479e-08
1963,3.782641044836055e-07,3.2330266463986845e-08
1964,3.9606632640243333e-07,3.102823953327061e-08
1965,4.339330530456209e-07,1.641613067704384e-08
1966,4.015829233594559e-07,2.215629990587331e-08
1967,3.801288812610437e-07,2.1693477236794934e-08
1968,4.971997213942814e-07,1.8414805680322388e-08
1969,4.4509226881928043e-07,1.6350327314285096e-08
1970,4.134253686061129e-07,2.7592349738370103e-08
1971,3.987396439697477e-07,2.003974941544584e-08
1972,4.0374254695052514e-07,1.2825367434743384e-08
1973,3.456778756572021e-07,1.543697081274331e-08
1974,3.3865941873045813e-07,1.5751600912494723e-08
1975,3.346927428538038e-07,1.028066431985053e-08
1976,3.4509702118157293e-07,1.1427053969725876e-08
1977,3.8669224977638805e-07,1.23412418062685e-08
1978,3.74257268731526e-07,1.3069301196821925e-08
1979,3.6048155038770346e-07,1.9311512389208474e-08
1980,3.593015094338625e-07,1.9329512213062117e-08
1981,3.2007281447477e-07,1.8344094243616382e-08
1982,4.2273089206901204e-07,2.296775925003658e-08
1983,3.700775152992719e-07,1.5788289786655696e-08
1984,3.757757554012642e-07,2.4935737030773453e-08
1985,3.6333969433144375e-07,1.6843562988810845e-08
1986,3.7825202525709756e-07,1.4386765556650971e-08
1987,3.5381629004405113e-07,2.749867533680117e-08
1988,3.466008138275356e-07,1.3192418713003917e-08
1989,3.4026356843241956e-07,1.7013178421620978e-08
1990,3.634250163031538e-07,2.5063794595325817e-08
1991,3.458264359323948e-07,2.6376593353916178e-08
1992,3.44371500204943e-07,2.0386792698445788e-08
1993,3.561710286703601e-07,1.550978012687665e-08
1994,3.470901788205083e-07,1.160483886764041e-08
1995,3.877052279221971e-07,2.0063067651676647e-08
1996,3.12812204583679e-07,1.2811421257197253e-08
1997,3.140656019695598e-07,1.7261619689179497e-08
1998,3.4330531661908026e-07,1.2397135762398648e-08
1999,3.272264166298555e-07,1.96518641359944e-08
2000,3.229581011510163e-07,1.590491294223284e-08
2001,3.4348701660746883e-07,1.7086726700199506e-08
2002,3.632032701261778e-07,2.541108479192644e-08
2003,3.3210375249836943e-07,1.7084383685528337e-08
2004,3.554666534455464e-07,2.2464435645019876e-08
2005,3.8011646097402263e-07,1.8014997493764895e-08
2006,4.1014183693732775e-07,2.4295550460351478e-08
2007,3.9505403037765063e-07,2.1170741604237264e-08
2008,4.0530827050133666e-07,2.9802077250451475e-08
2009,4.520246363881597e-07,3.385416746937153e-08
2010,5.210343942962936e-07,3.637320489247031e-08
2011,5.277081527310656e-07,4.5887663446819715e-08
2012,5.967655170024955e-07,5.9233997262708726e-08
2013,6.961656140447303e-07,5.327228791429661e-08
2014,7.291054089364479e-07,7.773947885425514e-08
2015,6.77163768614264e-07,6.827052345670381e-08
2016,7.415397362819931e-07,6.400441066034546e-08
2017,6.608510716432647e-07,6.766994431472995e-08
2018,7.56369729515427e-07,7.79602942202473e-08
2019,6.668282139798976e-07,6.887666614829868e-08
